bund_nr,lfd_nr,baumkennzahl,zwiesel,bart,alter,alter_methode,d_mess,bhd_hoehe,hoehe,kransatz,azi,hori,kraft,schi
130017,26,2,0,sei,93,1,NA,NA,NA,NA,99,519,NA,NA
130017,27,2,0,sei,93,1,NA,NA,NA,NA,109,618,NA,NA
130017,28,1,0,sei,130,5,448,130,NA,NA,101,1063,2,1
130017,29,2,0,sei,93,1,NA,NA,NA,NA,127,910,NA,NA
130017,30,1,0,sei,130,5,372,130,NA,NA,139,650,3,1
130017,31,1,0,sei,130,5,443,130,NA,NA,136,878,2,1
130017,32,2,0,sei,93,1,NA,NA,NA,NA,183,836,NA,NA
130017,33,1,0,sei,93,1,322,130,NA,NA,191,1053,2,1
130017,34,1,0,gki,130,5,437,130,220,155,180,1219,2,1
130017,35,2,0,sei,93,1,NA,NA,NA,NA,192,1579,NA,NA
130017,36,1,0,sei,130,5,390,130,NA,NA,200,1575,2,1
130017,37,2,0,sei,93,1,NA,NA,NA,NA,205,1004,NA,NA
130017,38,1,0,bah,73,1,431,130,212,114,250,989,1,1
130017,39,2,0,bah,45,5,NA,NA,NA,NA,265,1049,NA,NA
130017,40,2,0,gki,88,1,NA,NA,NA,NA,275,1340,NA,NA
130017,41,1,0,sei,93,1,271,130,NA,NA,263,395,4,1
130017,42,1,0,sei,93,1,272,130,NA,NA,257,244,3,1
130022,4,1,0,gki,62,1,204,130,NA,NA,26,631,4,1
130022,5,1,0,gki,62,1,368,130,NA,NA,396,722,2,1
130022,6,1,0,gki,62,1,299,130,NA,NA,391,893,3,1
130022,7,1,0,gki,62,1,371,130,NA,NA,383,1202,1,1
130022,8,1,0,gki,62,1,310,130,NA,NA,378,915,1,1
130022,9,1,0,gki,62,1,249,130,NA,NA,360,675,3,1
130022,10,1,0,gki,62,1,231,130,NA,NA,349,788,4,1
130022,11,2,0,gki,62,1,NA,NA,NA,NA,357,889,NA,NA
130022,12,1,0,gki,62,1,336,130,NA,NA,364,1005,1,1
130022,13,1,0,gki,62,1,396,130,NA,NA,367,1454,1,1
130022,14,1,0,gki,62,1,231,130,NA,NA,345,1253,3,1
130022,15,1,0,gki,62,1,252,130,NA,NA,326,1262,3,1
130022,16,1,0,gki,62,1,320,130,NA,NA,319,759,2,1
130022,17,1,0,gki,62,1,225,130,NA,NA,323,646,3,1
130022,18,1,0,gki,62,1,272,130,NA,NA,307,674,3,1
130022,19,1,0,gki,62,1,221,130,239,181,291,472,3,1
130022,20,1,0,gki,62,1,236,130,NA,NA,293,897,3,1
130022,21,1,0,gki,62,1,212,130,NA,NA,302,1048,3,1
130022,22,1,0,gki,62,1,302,130,NA,NA,285,1115,2,1
130022,23,1,0,gki,62,1,208,130,215,170,267,1095,4,1
130022,24,1,0,gki,62,1,236,130,NA,NA,262,937,3,1
130022,25,1,0,gki,62,1,223,130,NA,NA,258,611,3,1
130022,26,1,0,gki,62,1,235,130,NA,NA,256,1103,3,1
130022,27,1,0,gki,62,1,212,130,NA,NA,232,961,3,1
130022,28,2,0,gki,62,1,NA,NA,NA,NA,218,844,NA,NA
130022,29,1,0,gki,62,1,179,130,195,170,227,563,3,1
130022,30,1,0,gki,62,1,344,130,NA,NA,202,481,1,1
130022,31,1,0,gki,62,1,171,130,NA,NA,194,662,4,1
130022,32,1,0,gki,62,1,315,130,NA,NA,207,1109,2,1
130022,33,1,0,gki,62,1,336,130,NA,NA,237,1543,1,1
130022,34,1,0,gki,62,1,271,130,NA,NA,201,1243,2,1
130022,35,1,0,gki,62,1,199,130,NA,NA,183,1259,3,1
130022,36,1,0,gki,62,1,342,130,NA,NA,165,1059,1,1
130022,37,1,0,gki,62,1,386,130,290,170,161,1609,1,1
130022,38,1,0,gki,62,1,380,130,NA,NA,154,1735,1,1
130022,39,2,0,gki,62,1,NA,NA,NA,NA,144,1105,NA,NA
130022,40,1,0,gki,62,1,348,130,NA,NA,137,769,1,1
130022,41,1,0,gki,62,1,195,130,NA,NA,156,612,3,1
130022,42,1,0,gki,62,1,219,130,NA,NA,168,720,3,1
130022,43,3,0,gki,62,1,NA,NA,NA,NA,123,1133,NA,NA
130022,44,1,0,gki,62,1,258,130,NA,NA,108,967,3,1
130022,45,3,0,gki,62,1,NA,NA,NA,NA,99,588,NA,NA
130022,46,1,0,gki,62,1,326,130,NA,NA,102,360,2,1
130022,47,1,0,gki,62,1,272,130,NA,NA,67,298,3,1
130022,48,1,0,gki,62,1,210,130,NA,NA,57,485,3,1
130022,49,1,0,gki,62,1,228,130,NA,NA,75,865,3,1
130022,50,1,0,gki,62,1,356,130,NA,NA,56,970,1,1
130022,51,1,0,gki,62,1,330,130,NA,NA,36,906,2,1
130022,52,1,0,gki,62,1,277,130,NA,NA,53,1168,2,1
130022,53,1,0,gki,62,1,253,130,NA,NA,74,1240,3,1
130022,54,1,0,gki,62,1,269,130,NA,NA,79,1099,3,1
130022,55,1,0,gki,62,1,344,130,NA,NA,97,1111,1,1
130023,1,1,0,gki,72,1,235,130,293,229,384,122,1,1
130023,2,1,0,gki,72,1,255,130,NA,NA,10,316,3,1
130023,3,1,0,gki,72,1,352,130,262,158,59,314,1,1
130023,4,1,0,gki,72,1,348,130,NA,NA,20,794,1,1
130023,5,3,0,gki,72,1,NA,NA,NA,NA,38,1035,NA,NA
130023,6,1,0,gki,72,1,308,130,NA,NA,32,1199,2,1
130023,7,1,0,gki,72,1,396,130,NA,NA,61,1468,1,1
130023,8,1,0,gki,72,1,395,130,NA,NA,81,1397,1,1
130023,9,1,0,gki,72,1,333,130,NA,NA,84,1617,2,1
130023,10,1,0,gki,72,1,358,130,NA,NA,61,949,2,1
130023,11,1,0,gki,72,1,264,130,NA,NA,65,611,3,1
130023,12,1,0,sbi,25,5,154,130,134,80,116,303,0,2
130023,13,1,0,gki,72,1,278,130,NA,NA,143,609,3,1
130023,14,3,0,gki,72,1,NA,NA,NA,NA,128,892,NA,NA
130023,15,1,0,gki,72,1,331,130,NA,NA,133,1164,2,1
130023,16,1,0,gki,72,1,223,130,NA,NA,123,1194,4,1
130023,17,2,0,sbi,72,1,NA,NA,NA,NA,115,1258,NA,NA
130023,18,1,0,gki,72,1,472,130,271,190,96,1639,1,1
130023,19,1,0,gki,72,1,309,130,NA,NA,154,1234,3,1
130023,20,1,0,gki,72,1,338,130,NA,NA,179,961,2,1
130023,21,1,0,gki,72,1,401,130,NA,NA,199,1134,1,1
130023,22,1,0,gki,72,1,295,130,NA,NA,206,747,3,1
130023,23,1,0,gki,72,1,354,130,293,225,205,447,1,1
130023,24,1,0,gki,72,1,259,130,254,207,267,351,3,1
130023,25,1,0,gki,72,1,268,130,NA,NA,239,611,3,1
130023,26,1,0,gki,72,1,260,130,NA,NA,237,1036,3,1
130023,27,3,0,gki,72,1,NA,NA,NA,NA,250,926,NA,NA
130023,28,1,0,gki,72,1,205,130,NA,NA,256,1050,3,1
