bund_nr,lfd_nr,typ,baumgruppe,anzahl,durchmesser,laenge,zersetzung,aufnahmestatus,probeflächengröße
130032,6,4,3,1,38,2,3,1,500
130032,7,1,3,1,17,15,4,1,500
130032,8,1,3,1,12,5,3,1,500
130032,9,1,3,1,11,5,4,1,500
130032,10,1,3,1,11,30,3,1,500
130036,1,4,2,1,22,2,2,1,500
130036,2,4,1,1,13,2,4,1,500
130036,3,4,1,1,24,1,4,1,500
130036,4,1,1,1,10,7,2,1,500
130036,5,4,1,1,32,2,4,1,500
130036,6,4,2,1,26,1,3,1,500
130036,7,4,1,1,36,2,4,1,500
130036,8,1,1,1,13,7,3,1,500
130036,9,4,1,1,29,2,3,1,500
130036,10,4,1,1,27,2,3,1,500
130036,11,2,1,1,25,2,3,1,500
130036,12,4,2,1,41,4,2,1,500
130036,13,1,2,1,14,1,2,1,500
130036,14,1,1,1,16,17,2,1,500
130037,1,1,1,1,31,162,2,1,500
130037,2,4,1,1,23,2,4,1,500
130037,3,1,1,1,14,61,4,1,500
130037,4,4,1,1,42,1,4,1,500
130037,5,4,1,1,11,1,4,1,500
130037,6,4,1,1,25,1,4,1,500
130037,7,2,1,1,42,236,2,1,500
130037,8,2,1,1,14,166,2,1,500
130042,1,4,1,1,32,1,2,1,500
130042,2,4,1,1,32,2,2,1,500
130042,3,4,1,1,31,1,4,1,500
130042,4,4,1,1,26,1,4,1,500
130042,5,4,1,1,34,1,4,1,500
130046,1,2,1,1,15,189,2,1,500
130046,2,1,1,1,19,64,3,1,500
130046,3,1,1,1,12,94,2,1,500
130046,4,1,1,1,14,50,5,1,500
130046,5,1,1,1,21,61,5,1,500
130046,6,1,1,1,13,45,5,1,500
130046,7,1,1,1,12,55,5,1,500
130046,8,1,1,1,11,85,3,1,500
130046,9,4,1,1,26,2,4,1,500
130047,1,4,1,1,38,2,4,1,500
130047,2,1,1,1,26,48,3,1,500
130047,3,1,1,1,16,88,3,1,500
130047,4,4,1,1,16,2,4,1,500
130047,5,5,1,1,36,46,3,1,500
130047,6,5,1,1,22,21,4,1,500
130048,1,1,1,1,18,141,2,1,500
130048,2,1,1,1,16,18,4,1,500
130048,3,4,1,1,26,3,2,1,500
130048,4,4,1,1,33,2,2,1,500
130048,5,1,1,1,17,47,4,1,500
130048,6,1,1,1,11,7,2,1,500
130048,7,1,1,1,11,7,2,1,500
130048,8,4,1,1,21,3,3,1,500
130048,9,1,1,1,9,71,2,1,500
130048,10,1,1,1,12,20,2,1,500
130050,1,4,2,1,33,2,4,1,500
130050,2,4,2,1,26,2,4,1,500
130050,3,4,2,1,40,6,4,1,500
130050,4,1,2,1,11,7,2,1,500
130050,5,4,2,1,36,1,1,1,500
130050,6,1,2,1,14,2,2,1,500
130050,7,4,2,1,28,2,3,1,500
130050,8,4,1,1,39,3,4,1,500
130050,9,4,2,1,32,1,3,1,500
130050,10,4,1,1,38,2,4,1,500
130050,11,4,1,1,16,2,5,1,500
130050,12,4,2,1,12,2,3,1,500
130050,13,4,1,1,29,1,4,1,500
130050,14,4,2,1,29,1,4,1,500
130050,15,4,1,1,24,3,4,1,500
130051,1,4,1,1,20,3,3,1,500
130051,2,1,1,1,13,135,2,1,500
130051,3,1,1,1,24,73,4,1,500
130051,4,3,1,1,12,44,2,1,500
130051,5,4,1,1,22,1,4,1,500
130051,6,4,1,1,24,2,3,1,500
130051,7,1,1,1,12,24,3,1,500
130051,8,1,1,1,13,100,1,1,500
130051,9,4,1,1,22,1,4,1,500
130051,10,4,1,1,23,1,5,1,500
130051,11,4,1,1,29,1,4,1,500
130056,1,4,2,1,28,1,4,1,500
130056,2,1,2,1,13,48,2,1,500
130056,3,1,2,1,10,35,2,1,500
130056,4,1,2,1,27,38,5,1,500
130056,5,1,2,1,15,42,4,1,500
130056,6,1,2,1,10,53,2,1,500
130056,7,1,2,1,25,40,1,1,500
130056,8,1,2,1,10,52,1,1,500
130056,9,1,2,1,26,62,1,1,500
130056,10,1,2,1,14,116,1,1,500
130056,11,1,2,1,21,122,1,1,500
130056,12,1,2,1,18,127,1,1,500
130056,13,1,2,1,28,149,1,1,500
130056,14,1,2,1,22,175,1,1,500
130056,15,1,2,1,17,60,1,1,500
130056,16,1,2,1,28,127,1,1,500
130056,17,1,2,1,17,113,1,1,500
130057,1,2,2,1,11,62,2,1,500
130057,2,2,2,1,11,73,2,1,500
130057,3,2,2,1,12,156,2,1,500
130057,4,5,2,1,10,83,2,1,500
130057,5,5,2,1,13,89,2,1,500
130057,6,4,2,1,22,1,3,1,500
130057,7,5,2,1,13,88,3,1,500
130057,8,5,2,1,11,115,2,1,500
130057,9,4,2,1,12,5,3,1,500
130057,10,5,2,1,15,70,2,1,500
130057,11,5,2,1,14,87,3,1,500
130057,12,1,2,1,14,23,4,1,500
130057,13,1,2,1,10,38,3,1,500
130057,14,1,2,1,14,69,3,1,500
130057,15,2,2,1,21,146,2,1,500
130057,16,1,2,1,15,124,1,1,500
130057,17,1,2,1,10,128,1,1,500
130057,18,1,2,1,10,44,1,1,500
130057,19,2,2,1,12,96,2,1,500
130057,20,2,2,1,10,33,2,1,500
130057,21,1,2,1,10,10,2,1,500
130059,1,4,2,1,28,1,2,1,500
130059,2,4,1,1,23,2,2,1,500
130059,3,4,2,1,12,1,2,1,500
130059,4,4,1,1,18,1,2,1,500
130059,5,4,1,1,17,1,2,1,500
130059,6,4,1,1,21,1,3,1,500
130059,7,4,2,1,34,2,2,1,500
130059,8,4,1,1,14,3,2,1,500
130059,9,1,1,1,12,93,2,1,500
130059,10,4,1,1,25,1,3,1,500
130059,11,3,2,1,12,27,3,1,500
130059,12,1,2,1,10,44,3,1,500
130059,13,1,1,1,22,90,2,1,500
130059,14,4,1,1,27,2,2,1,500
130059,15,4,1,1,26,2,2,1,500
130059,16,4,1,1,20,1,2,1,500
130059,17,4,1,1,28,2,2,1,500
130059,18,4,1,1,26,1,3,1,500
130059,19,1,1,1,12,83,2,1,500
130059,20,1,1,1,11,59,2,1,500
130059,21,4,2,1,12,2,3,1,500
130059,22,4,2,1,23,2,4,1,500
130059,23,4,1,1,15,1,2,1,500
130059,24,4,1,1,21,1,2,1,500
130059,25,4,1,1,13,1,2,1,500
130059,26,3,1,1,38,181,2,1,500
130059,27,1,1,1,9,53,2,1,500
130059,28,1,1,1,11,10,2,1,500
130060,1,2,1,1,18,197,2,1,500
130060,2,2,1,1,14,155,2,1,500
130060,3,2,1,1,10,127,2,1,500
130060,4,2,1,1,13,140,2,1,500
130060,5,2,1,1,33,219,2,1,500
130060,6,1,1,1,10,90,2,1,500
130060,7,4,1,1,13,1,3,1,500
130060,8,1,1,1,12,8,4,1,500
130060,9,4,1,1,22,1,3,1,500
130060,10,1,1,1,17,18,3,1,500
130060,11,4,1,1,24,1,2,1,500
130060,12,1,1,1,10,77,2,1,500
130060,13,4,1,1,22,1,4,1,500
130060,14,4,1,1,22,1,4,1,500
130060,15,4,1,1,16,1,3,1,500
130060,16,1,1,1,8,139,2,1,500
130060,17,4,1,1,10,2,4,1,500
130060,18,1,1,1,7,120,2,1,500
130060,19,1,1,1,9,99,3,1,500
130060,20,4,1,1,13,1,4,1,500
130060,21,1,1,1,13,19,4,1,500
130060,22,1,1,1,8,119,2,1,500
130060,23,4,1,1,17,1,3,1,500
130060,24,1,1,1,9,86,2,1,500
130060,25,4,1,1,17,1,3,1,500
130060,26,4,1,1,12,1,4,1,500
130060,27,4,1,1,20,1,3,1,500
130060,28,4,1,1,18,1,4,1,500
130069,1,2,2,1,30,127,2,1,500
130069,2,4,2,1,15,2,5,1,500
130069,3,4,2,1,35,1,5,1,500
130069,4,4,2,1,37,4,5,1,500
130069,5,4,2,1,24,4,5,1,500
130069,6,4,2,3,15,3,5,1,500
130069,7,4,2,1,20,6,5,1,500
130069,8,4,2,1,34,4,5,1,500
130070,1,1,1,1,12,13,3,1,500
130070,2,1,1,1,10,16,3,1,500
130070,3,1,1,1,15,10,4,1,500
130070,4,4,1,1,10,1,5,1,500
130070,5,4,1,1,26,2,5,1,500
130070,6,4,1,1,29,2,5,1,500
130070,7,4,1,1,16,2,5,1,500
130070,8,4,1,1,36,2,5,1,500
130070,9,4,1,1,24,2,5,1,500
130070,10,4,1,1,33,2,5,1,500
130070,11,4,1,1,26,2,5,1,500
130070,12,4,1,1,23,2,5,1,500
130070,13,4,1,1,18,2,5,1,500
130070,14,1,1,1,9,72,3,1,500
130070,15,4,1,1,29,2,5,1,500
130070,16,1,1,1,19,83,3,1,500
130070,17,1,1,1,14,83,3,1,500
130070,18,1,1,1,12,25,4,1,500
130070,19,1,1,1,10,8,5,1,500
130071,1,4,1,1,25,2,5,1,250
130071,2,1,1,1,14,62,3,1,250
130071,3,1,1,1,34,6,4,1,250
130071,4,4,1,1,27,2,1,1,250
130071,5,1,1,1,22,2,1,1,250
130071,6,1,1,1,22,8,1,1,250
130071,7,1,1,1,18,43,5,1,250
130071,8,1,1,1,10,15,1,1,250
130071,9,1,1,1,14,13,1,1,250
130071,10,1,1,1,15,28,1,1,250
130071,11,4,1,1,46,1,1,1,250
130071,12,1,1,1,13,24,1,1,250
130071,13,1,1,1,8,13,1,1,250
130071,14,1,1,1,18,30,2,1,250
130071,15,1,1,1,12,24,1,1,250
130071,16,1,1,1,12,17,1,1,250
130071,17,1,1,1,13,17,1,1,250
130071,18,4,1,1,53,2,1,1,250
130071,19,1,1,1,12,13,4,1,250
130071,20,1,1,1,48,65,1,1,250
130071,21,1,1,1,8,9,1,1,250
130071,22,1,1,1,31,3,1,1,250
130071,23,1,1,1,18,30,1,1,250
130071,24,1,1,1,10,46,4,1,250
130071,25,2,1,1,29,265,1,1,250
130071,26,1,1,1,20,50,5,1,250
130072,1,1,2,1,22,85,1,1,500
130072,2,4,2,1,64,3,4,1,500
130072,3,1,2,1,11,755,1,1,500
130072,4,1,2,1,11,35,1,1,500
130072,5,1,2,1,12,39,3,1,500
130072,6,1,2,1,11,48,3,1,500
130072,7,1,2,1,11,16,4,1,500
130072,8,1,2,1,36,93,3,1,500
130072,9,1,2,1,9,46,3,1,500
130072,10,3,2,1,25,15,3,1,500
130072,11,4,2,1,24,2,4,1,500
130072,12,1,2,1,10,65,3,1,500
130072,13,1,2,1,18,85,3,1,500
130072,14,5,2,1,39,171,3,1,500
130072,15,1,2,1,18,158,3,1,500
130072,16,1,2,1,28,1610,3,1,500
130072,17,1,2,1,15,55,3,1,500
130072,18,1,2,1,10,22,3,1,500
130072,19,1,2,1,9,39,3,1,500
130072,20,1,2,1,9,41,3,1,500
130072,21,1,2,1,12,24,4,1,500
130072,22,4,2,1,51,3,5,1,500
130072,23,1,2,1,13,29,4,1,500
130072,24,1,2,1,9,30,4,1,500
130072,25,1,2,1,13,40,2,1,500
130072,26,1,2,1,12,45,2,1,500
130072,27,1,2,1,9,38,2,1,500
130072,28,1,2,1,10,20,3,1,500
130072,29,1,2,1,11,39,3,1,500
130072,30,1,2,1,9,14,3,1,500
130072,31,1,2,1,11,21,3,1,500
130072,32,1,2,1,12,35,3,1,500
130072,33,1,2,1,19,177,2,1,500
130072,34,5,2,1,44,192,2,1,500
130072,35,1,2,1,11,23,4,1,500
130072,36,1,2,1,10,78,4,1,500
130072,37,1,2,1,10,51,4,1,500
130072,38,1,2,1,9,49,4,1,500
130072,39,1,2,1,9,26,4,1,500
130072,40,4,2,1,27,2,4,1,500
130072,41,4,2,1,58,3,4,1,500
130072,42,1,2,1,28,161,3,1,500
130072,43,1,2,1,31,85,2,1,500
130072,44,1,2,1,21,41,2,1,500
130072,45,1,2,1,18,51,5,1,500
130072,46,1,2,1,15,22,5,1,500
130072,47,1,2,1,11,57,4,1,500
130072,48,4,2,1,32,3,4,1,500
130073,1,1,1,1,13,8,5,1,500
130073,2,1,1,1,10,17,5,1,500
130073,3,4,1,1,14,5,4,1,500
130073,4,4,1,1,13,5,5,1,500
130073,5,4,1,1,13,6,5,1,500
130073,6,1,1,1,10,12,5,1,500
130073,7,1,1,1,12,18,5,1,500
130073,8,4,1,1,13,6,5,1,500
130073,9,4,1,1,12,8,5,1,500
130073,10,1,1,1,12,2,5,1,500
130073,11,1,1,1,12,4,5,1,500
130073,12,1,1,1,12,4,5,1,500
130073,13,1,1,1,9,4,4,1,500
130073,14,4,1,1,13,4,5,1,500
130073,15,4,1,1,11,6,5,1,500
130073,16,4,1,1,12,5,5,1,500
130073,17,1,1,1,10,38,5,1,500
130073,18,1,1,1,12,40,5,1,500
130073,19,1,1,1,15,6,5,1,500
130074,1,1,2,1,10,7,2,1,500
130074,2,4,2,1,13,2,3,1,500
130074,3,1,2,1,10,12,2,1,500
130074,4,4,2,1,14,2,3,1,500
130074,5,1,2,1,15,4,3,1,500
130074,6,4,2,1,15,1,5,1,500
130074,7,1,3,1,10,19,4,1,500
130074,8,4,2,1,17,3,4,1,500
130074,9,4,2,1,15,1,5,1,500
130074,10,1,2,1,11,17,3,1,500
130074,11,1,2,1,7,85,3,1,500
130074,12,1,2,1,10,14,3,1,500
130074,13,4,2,1,17,3,2,1,500
130074,14,1,2,1,11,15,2,1,500
130074,15,1,2,1,10,13,2,1,500
130074,16,4,2,1,13,2,5,1,500
130074,17,4,3,1,10,2,2,1,500
130074,18,1,3,1,14,5,3,1,500
130074,19,1,3,1,13,7,3,1,500
130074,20,1,3,1,11,11,3,1,500
130074,21,1,3,1,11,11,3,1,500
130074,22,4,2,1,17,1,3,1,500
130074,23,1,2,1,14,10,4,1,500
130074,24,1,2,1,10,21,3,1,500
130074,25,4,2,1,16,2,2,1,500
130074,26,4,3,1,15,1,4,1,500
130074,27,4,3,1,12,1,5,1,500
130074,28,1,2,1,11,4,5,1,500
130074,29,1,2,1,15,2,5,1,500
130074,30,1,2,1,13,1,5,1,500
130074,31,4,2,1,10,1,5,1,500
130074,32,1,3,1,11,1,3,1,500
130074,33,1,3,1,12,12,3,1,500
130074,34,4,2,1,13,1,5,1,500
130075,1,1,1,1,11,37,2,1,500
130075,2,1,1,1,17,11,2,1,500
130075,3,1,1,1,20,5,4,1,500
130075,4,4,1,1,20,1,4,1,500
130075,5,1,1,1,16,9,3,1,500
130075,6,1,1,1,10,9,4,1,500
130075,7,1,1,1,12,3,4,1,500
130075,8,1,1,1,12,10,4,1,500
130075,9,4,1,1,19,2,3,1,500
130075,10,1,1,1,11,11,3,1,500
130075,11,4,1,1,27,2,3,1,500
130075,12,1,1,1,14,5,3,1,500
130075,13,4,1,1,23,1,4,1,500
130075,14,4,1,1,32,2,2,1,500
130075,15,1,1,1,12,8,2,1,500
130075,16,1,1,1,11,4,2,1,500
130075,17,1,1,1,11,28,2,1,500
130075,18,1,1,1,13,9,2,1,500
130075,19,1,1,1,14,3,2,1,500
130075,20,1,1,1,14,24,2,1,500
130075,21,1,1,1,10,63,3,1,500
130075,22,4,1,1,21,2,2,1,500
130075,23,1,1,1,11,14,2,1,500
130075,24,4,1,1,23,2,4,1,500
130075,25,1,1,1,10,10,4,1,500
130075,26,1,1,1,11,5,4,1,500
130075,27,1,1,1,10,2,3,1,500
130075,28,4,1,1,11,1,4,1,500
130075,29,4,1,1,19,2,4,1,500
130075,30,4,1,1,12,1,4,1,500
130075,31,1,1,1,10,2,3,1,500
130075,32,4,1,1,18,2,4,1,500
130075,33,1,1,1,10,23,4,1,500
130075,34,4,1,1,27,3,2,1,500
130075,35,4,1,1,22,2,3,1,500
130075,36,4,1,1,13,2,4,1,500
130075,37,1,1,1,11,12,4,1,500
130075,38,1,1,1,14,8,3,1,500
130075,39,4,1,1,24,1,4,1,500
130075,40,1,1,1,11,2,2,1,500
130076,1,2,1,1,13,93,1,1,500
130076,2,4,1,1,17,8,2,1,500
130076,3,2,1,1,15,79,2,1,500
130076,4,4,1,1,18,2,3,1,500
130076,5,4,2,1,10,2,3,1,500
130076,6,4,1,1,17,1,3,1,500
130076,7,4,1,1,35,1,4,1,500
130076,8,1,1,1,1,5,4,1,500
130076,9,1,1,1,12,6,4,1,500
130076,10,1,1,1,28,61,4,1,500
130077,1,4,1,1,24,2,3,1,500
130077,2,4,1,1,22,1,4,1,500
130077,3,4,1,1,23,2,3,1,500
130077,4,4,1,1,16,1,4,1,500
130077,5,3,1,1,16,131,2,1,500
130077,6,1,1,1,9,86,2,1,500
130077,7,1,1,1,9,44,4,1,500
130077,8,1,1,1,13,18,5,1,500
130077,9,4,1,1,16,2,4,1,500
130077,10,1,1,1,12,44,4,1,500
130077,11,4,1,1,18,1,3,1,500
130077,12,1,1,1,12,13,3,1,500
130077,13,4,1,1,13,1,4,1,500
130077,14,4,1,1,26,2,4,1,500
130077,15,1,1,1,18,26,3,1,500
130077,16,1,1,1,13,73,4,1,500
130077,17,4,1,1,26,2,4,1,500
130077,18,1,1,1,12,14,5,1,500
130077,19,4,1,1,19,2,4,1,500
130077,20,1,1,1,15,39,4,1,500
130077,21,4,1,1,28,1,5,1,500
130077,22,1,1,1,19,74,2,1,500
130077,23,1,1,1,13,8,5,1,500
130077,24,1,1,1,17,35,1,1,500
130077,25,4,1,1,17,2,5,1,500
130077,26,1,1,1,12,4,5,1,500
130077,27,1,1,1,10,17,5,1,500
130078,1,4,1,1,28,3,1,1,500
130078,2,1,1,1,22,2,1,1,500
130078,3,1,1,1,10,8,1,1,500
130078,4,4,1,1,16,1,2,1,500
130078,5,4,1,1,28,2,2,1,500
130078,6,1,1,1,10,13,1,1,500
130078,7,4,1,1,29,2,1,1,500
130078,8,4,1,1,30,2,2,1,500
130078,9,4,1,1,17,1,2,1,500
130078,10,1,1,1,26,2,1,1,500
130078,11,4,1,1,16,2,1,1,500
130078,12,4,1,1,28,3,1,1,500
130078,13,1,1,1,22,2,1,1,500
130078,14,4,1,1,30,2,1,1,500
130078,15,4,1,1,26,2,1,1,500
130078,16,1,1,1,10,14,3,1,500
130078,17,4,1,1,23,4,1,1,500
130078,18,4,1,1,24,1,4,1,500
130078,19,1,1,1,27,2,1,1,500
130078,20,4,1,1,27,2,1,1,500
130078,21,4,1,1,17,1,1,1,500
130078,22,1,1,1,14,14,1,1,500
130078,23,4,1,1,26,1,1,1,500
130078,24,1,1,1,12,14,3,1,500
130078,25,1,1,1,13,10,2,1,500
130078,26,1,1,1,15,5,4,1,500
130078,27,4,1,1,25,2,1,1,500
130078,28,4,1,1,21,5,1,1,500
130078,29,4,1,1,19,11,1,1,500
130078,30,1,1,1,13,56,1,1,500
130078,31,1,1,1,10,45,1,1,500
130078,32,1,1,1,16,7,1,1,500
130078,33,1,1,1,18,8,2,1,500
130078,34,1,1,1,9,33,1,1,500
130078,35,1,1,1,11,19,1,1,500
130078,36,1,1,1,8,61,1,1,500
130078,37,1,1,1,8,39,1,1,500
130078,38,4,1,1,33,4,1,1,500
130078,39,4,1,1,15,1,3,1,500
130078,40,4,1,1,17,1,1,1,500
130078,41,4,1,1,26,1,4,1,500
130078,42,4,1,1,17,1,4,1,500
130078,43,4,1,1,19,1,4,1,500
130078,44,1,1,1,17,8,4,1,500
130078,45,4,1,1,31,1,2,1,500
130078,46,4,1,1,23,2,1,1,500
130078,47,4,1,1,23,1,3,1,500
130078,48,4,1,1,22,1,4,1,500
130078,49,4,1,1,23,1,3,1,500
130078,50,4,1,1,22,1,4,1,500
130078,51,4,1,1,16,2,3,1,500
130078,52,4,1,1,18,1,4,1,500
130078,53,4,1,1,10,1,2,1,500
130078,54,4,1,1,14,1,3,1,500
130078,55,1,1,1,16,17,1,1,500
130078,56,1,1,1,12,16,2,1,500
130078,57,4,1,1,26,1,3,1,500
130078,58,1,1,1,18,4,1,1,500
130078,59,4,1,1,23,2,1,1,500
130079,1,2,1,1,17,197,2,1,500
130079,2,1,1,1,15,10,3,1,500
130079,3,1,1,1,16,22,3,1,500
130079,4,4,1,1,19,1,4,1,500
130079,5,1,1,1,9,93,4,1,500
130079,6,4,1,1,14,2,3,1,500
130079,7,4,1,1,34,1,5,1,500
130079,8,1,1,1,8,78,3,1,500
130079,9,1,1,1,8,53,4,1,500
130079,10,4,1,1,14,3,4,1,500
130079,11,2,1,1,11,86,2,1,500
130079,12,4,2,1,24,2,4,1,500
130079,13,1,1,1,10,28,4,1,500
130079,14,4,1,1,10,1,4,1,500
130079,15,4,1,1,30,1,5,1,500
130079,16,2,1,1,18,158,1,1,500
130079,17,1,1,1,12,156,2,1,500
130079,18,2,1,1,14,132,2,1,500
130079,19,4,1,1,15,1,3,1,500
130079,20,2,1,1,13,133,2,1,500
130079,21,2,1,1,14,113,2,1,500
130079,22,2,1,1,15,145,2,1,500
130079,23,2,1,1,14,142,2,1,500
130079,24,4,1,1,25,1,4,1,500
130079,25,1,3,1,9,12,4,1,500
130080,1,1,1,1,19,78,3,1,500
130080,2,1,1,1,18,19,2,1,500
130080,3,4,1,1,15,1,5,1,500
130080,4,1,1,1,11,85,2,1,500
130080,5,4,1,1,21,1,5,1,500
130080,6,2,1,1,19,169,2,1,500
130080,7,1,1,1,15,29,2,1,500
130080,8,1,1,1,16,98,2,1,500
130080,9,1,1,1,8,74,2,1,500
130080,10,1,1,1,11,5,5,1,500
130080,11,1,1,1,8,141,2,1,500
130080,12,4,1,1,21,1,5,1,500
130080,13,2,1,1,12,190,2,1,500
130080,14,2,1,1,19,270,2,1,500
130080,15,1,1,1,12,106,3,1,500
130081,1,1,3,1,7,80,4,1,500
