bund_nr,team,datum,aufnahmestatus,ort,flaechegröße,zersetzung,baumgruppe,faktor,distanz,azimut,anmerkung
130026,Thiede / Martin,44964,1,1,10000,1,2,1,1000,390,NA
130026,Thiede / Martin,44964,2,2,10000,-2,-2,-2,1000,90,NA
130026,Thiede / Martin,44964,1,3,10000,2,2,1,1000,290,NA
130010,Bettac / Priebe,44894,1,1,10000,1,2,1,1000,390,NA
130010,Bettac / Priebe,44894,2,2,10000,-2,-2,-2,1000,90,NA
130010,Bettac / Priebe,44894,1,3,10000,2,2,1,1000,290,NA
130022,Bettac / Priebe,44896,1,1,10000,3,1,1,1000,390,NA
130022,Bettac / Priebe,44896,2,2,10000,-2,-2,-2,1000,90,NA
130022,Bettac / Priebe,44896,1,3,10000,3,1,1,1000,290,NA
130047,Heuer / Ziegler,44907,1,1,10000,3,1,1,1000,390,NA
130047,Heuer / Ziegler,44907,1,2,10000,4,1,1,1000,90,NA
130047,Heuer / Ziegler,44907,1,3,10000,4,1,1,1000,290,NA
130048,Thiede / Martin,44944,2,1,10000,-2,-2,-2,1000,390,NA
130048,Thiede / Martin,44944,1,2,10000,2,1,1,1000,90,NA
130048,Thiede / Martin,44944,1,3,10000,2,1,1,1000,290,NA
130050,Heuer / Ziegler,44901,2,1,10000,-2,-2,-2,1000,390,NA
130050,Heuer / Ziegler,44901,1,2,10000,3,1,1,1000,90,NA
130050,Heuer / Ziegler,44901,2,3,10000,-2,-2,-2,1000,290,NA
130078,Thiede / Martin,44872,1,1,10000,2,1,1,1000,390,NA
130078,Thiede / Martin,44872,1,2,10000,3,2,1,1000,90,NA
130078,Thiede / Martin,44872,1,3,10000,3,1,1,1000,290,NA
130077,Thiede / Martin,44834,1,1,10000,3,1,1,1000,390,NA
130077,Thiede / Martin,44772,1,2,10000,3,1,1,1000,90,NA
130077,Thiede / Martin,44772,1,3,10000,3,1,1,1000,290,NA
130072,Thiede / Martin,45036,1,1,10000,-2,-2,1,1000,390,NA
130072,Thiede / Martin,45036,1,2,10000,2,2,1,1000,90,NA
130072,Thiede / Martin,45036,1,3,10000,3,2,1,1000,290,NA
130070,Thiede / Martin,44670,2,1,10000,-2,-2,-2,1000,390,NA
130070,Thiede / Martin,44670,1,2,10000,2,2,1,1000,90,NA
130070,Thiede / Martin,44670,1,3,10000,3,2,1,1000,290,NA
130028,Thiede / Nowotny / Martin,44888,1,1,10000,-2,-2,1,1000,390,NA
130028,Thiede / Martin,44888,1,2,10000,2,1,1,1000,90,NA
130028,Thiede / Martin,44888,1,3,10000,2,1,1,1000,290,NA
130081,Thiede / Martin,44873,1,1,10000,3,2,1,1000,390,NA
130081,Thiede / Martin,44873,2,2,10000,-2,-2,-2,1000,90,NA
130081,Thiede / Martin,44873,1,3,10000,2,1,1,1000,290,NA
130075,Thiede / Martin,44868,1,1,10000,2,2,1,1000,390,NA
130075,Thiede / Martin,44868,1,2,10000,2,2,1,1000,90,NA
130083,Thiede / Martin,44833,2,1,10000,-2,-2,-2,1000,390,NA
130083,Thiede / Martin,44833,1,2,10000,3,1,1,1000,90,NA
130083,Thiede / Martin,44833,1,3,10000,3,1,1,1000,290,NA
130069,Thiede / Martin,44768,1,1,10000,2,2,1,1000,390,NA
130069,Thiede / Martin,44768,2,2,10000,-2,-2,-2,1000,90,NA
130069,Thiede / Martin,44768,1,3,10000,3,2,1,1000,290,NA
130080,Thiede / Martin,44838,2,1,10000,-2,-2,-2,1000,390,NA
130080,Thiede / Martin,44838,1,2,10000,2,1,1,1000,90,NA
130080,Thiede / Martin,44838,1,3,10000,3,1,1,1000,290,NA
130074,Thiede / Martin,44700,1,1,10000,4,2,1,1000,390,NA
130074,Thiede / Martin,44700,1,2,10000,2,2,1,1000,90,NA
130074,Thiede / Martin,44700,1,3,10000,4,2,1,1000,290,NA
130079,Thiede / Martin,44734,1,1,10000,2,1,1,1000,390,NA
130079,Thiede / Martin,44734,1,2,10000,2,2,1,1000,90,NA
130079,Thiede / Martin,44734,1,3,10000,2,1,1,1000,290,NA
130076,Thiede / Martin,44767,1,1,10000,2,2,1,1000,390,NA
130076,Thiede / Martin,44767,1,2,10000,3,1,1,1000,90,NA
130076,Thiede / Martin,44767,1,3,10000,-2,-2,1,1000,290,NA
