bund_nr,ort,bover_1,bover_2,bover_3,bover_4,auswirkung,richtungskorr,entfkorr
50001,4,,,,,0,-9,-2
50001,7,,,,,0,-9,-2
50001,8,,,,,0,-9,-2
50001,3,,,,,0,-9,-2
50001,1,,,,,0,-9,-2
50001,2,,,,,0,-9,-2
50001,5,,,,,0,-9,-2
50001,6,,,,,0,-9,-2
50002,5,,,,,0,-9,-2
50002,2,,,,,0,-9,-2
50002,1,,,,,0,-9,-2
50002,8,,,,,0,-9,-2
50002,4,,,,,0,-9,-2
50002,7,,,,,0,-9,-2
50002,6,,,,,0,-9,-2
50002,3,,,,,0,-9,-2
50003,8,,,,,0,-9,-2
50003,5,,,,,0,-9,-2
50003,2,,,,,0,-9,-2
50003,3,,,,,0,-9,-2
50003,6,,,,,0,-9,-2
50003,4,,,,,0,-9,-2
50003,7,,,,,0,-9,-2
50003,1,,,,,0,-9,-2
50004,4,,,,,0,-9,-2
50004,5,,,,,0,-9,-2
50004,7,,,,,0,-9,-2
50004,6,,,,,0,-9,-2
50004,1,,,,,0,-9,-2
50004,2,,,,,0,-9,-2
50004,3,,,,,0,-9,-2
50004,8,,,,,0,-9,-2
50005,4,,,,,0,-9,-2
50005,5,,,,,0,-9,-2
50005,7,,,,,0,-9,-2
50005,2,,,,,0,-9,-2
50005,1,,,,,0,-9,-2
50005,3,,,,,0,-9,-2
50005,6,,,,,0,-9,-2
50005,8,,,,,0,-9,-2
50006,7,,,,,0,-9,-2
50006,8,,,,,0,-9,-2
50006,1,,,,,0,-9,-2
50006,6,,,,,0,-9,-2
50006,4,,,,,0,-9,-2
50006,2,,,,,0,-9,-2
50006,5,,,,,0,-9,-2
50006,3,,,,,0,-9,-2
50007,4,,,,,0,-9,-2
50007,7,,,,,0,-9,-2
50007,6,,,,,0,-9,-2
50007,8,,,,,0,-9,-2
50007,5,,,,,0,-9,-2
50007,2,,,,,0,-9,-2
50007,1,,,,,0,-9,-2
50007,3,,,,,0,-9,-2
50008,6,,,,,0,-9,-2
50008,8,,,,,0,-9,-2
50008,4,,,,,0,-9,-2
50008,1,,,,,0,-9,-2
50008,7,,,,,0,-9,-2
50008,2,,,,,0,-9,-2
50008,5,,,,,0,-9,-2
50008,3,,,,,0,-9,-2
50009,7,,,,,0,-9,-2
50009,2,,,,,0,-9,-2
50009,4,,,,,0,-9,-2
50009,5,,,,,0,-9,-2
50009,1,,,,,0,-9,-2
50009,8,,,,,0,-9,-2
50009,6,,,,,0,-9,-2
50009,3,,,,,0,-9,-2
50010,6,,,,,0,-9,-2
50010,2,,,,,0,-9,-2
50010,7,,,,,0,-9,-2
50010,3,,,,,0,-9,-2
50010,1,,,,,0,-9,-2
50010,5,,,,,0,-9,-2
50010,8,,,,,0,-9,-2
50010,4,,,,,0,-9,-2
50011,1,,,,,0,-9,-2
50011,3,,,,,0,-9,-2
50011,7,,,,,0,-9,-2
50011,2,,,,,0,-9,-2
50011,5,,,,,0,-9,-2
50011,8,,,,,0,-9,-2
50011,6,,,,,0,-9,-2
50011,4,,,,,0,-9,-2
50012,8,,,,,0,-9,-2
50012,5,,,,,0,-9,-2
50012,1,,,,,0,-9,-2
50012,6,,,,,0,-9,-2
50012,4,,,,,0,-9,-2
50012,7,,,,,0,-9,-2
50012,2,,,,,0,-9,-2
50012,3,,,,,0,-9,-2
50013,4,,,,,0,-9,-2
50013,7,,,,,0,-9,-2
50013,6,,,,,0,-9,-2
50013,5,,,,,0,-9,-2
50013,2,,,,,0,-9,-2
50013,8,,,,,0,-9,-2
50013,3,,,,,0,-9,-2
50013,1,,,,,0,-9,-2
50014,7,,,,,0,-9,-2
50014,2,,,,,0,-9,-2
50014,3,,,,,0,-9,-2
50014,1,,,,,0,-9,-2
