bund_nr,pk_nr,pk_aufnahme,pk_richtung,pk_dist
50001,1,2,n,1000
50001,2,2,o,1000
50001,3,2,s,1000
50001,4,2,w,1000
50002,1,2,n,1000
50002,2,2,o,1000
50002,3,2,s,1000
50002,4,2,w,1000
50003,1,1,n,1000
50003,2,1,o,1000
50003,3,1,s,1000
50003,4,1,w,1000
50004,1,1,n,1000
50004,2,1,o,1000
50004,3,1,s,1000
50004,4,1,w,1000
50005,1,1,n,1000
50005,2,1,o,1000
50005,3,1,s,1000
50005,4,1,w,1000
50006,1,2,n,1000
50006,2,1,o,1000
50006,3,2,s,1000
50006,4,1,w,1000
50007,1,1,n,1000
50007,2,1,o,1000
50007,3,1,s,1000
50007,4,1,w,1000
50008,1,2,n,1000
50008,2,1,o,1000
50008,3,1,s,1000
50008,4,2,w,1000
50009,1,1,n,1000
50009,2,1,o,1000
50009,3,1,s,1000
50009,4,1,w,1000
50010,1,1,n,1000
50010,2,1,o,1000
50010,3,1,s,1000
50010,4,1,w,1000
50011,1,1,n,1000
50011,2,1,o,1000
50011,3,2,s,1000
50011,4,2,w,1000
50012,1,1,n,1000
50012,2,1,o,1000
50012,3,1,s,1000
50012,4,1,w,1000
50013,1,1,n,1000
50013,2,1,o,1000
50013,3,2,s,1000
50013,4,1,w,1000
50014,1,1,n,1000
50014,2,2,o,1000
50014,3,2,s,1000
50014,4,1,w,1000
50015,1,1,n,1000
50015,2,1,o,1000
50015,3,1,s,1000
50015,4,1,w,1000
50016,1,1,n,1000
50016,2,1,o,1000
50016,3,1,s,1000
50016,4,1,w,1000
50017,1,1,n,1000
50017,2,1,o,1000
50017,3,1,s,1000
50017,4,1,w,1000
50018,1,1,n,1000
50018,2,1,o,1000
50018,3,1,s,1000
50018,4,1,w,1000
50019,1,2,n,1000
50019,2,1,o,1000
50019,3,2,s,1000
50019,4,2,w,1000
50020,1,1,n,1000
50020,2,1,o,1000
50020,3,1,s,1000
50020,4,1,w,1000
50021,1,1,n,1000
50021,2,1,o,1000
50021,3,1,s,1000
50021,4,1,w,1000
50022,1,1,n,1000
50022,2,1,o,1000
50022,3,1,s,1000
50022,4,1,w,1000
50023,1,1,n,1000
50023,2,1,o,1000
50023,3,1,s,1000
50023,4,1,w,1000
50024,1,1,n,1000
50024,2,1,o,1000
50024,3,1,s,1000
50024,4,2,w,1000
50025,1,1,n,1000
50025,2,1,o,1000
50025,3,1,s,1000
50025,4,1,w,1000
50026,1,1,n,1000
50026,2,1,o,1000
50026,3,1,s,1000
50026,4,1,w,1000
50027,1,1,n,1000
50027,2,1,o,1000
50027,3,1,s,1000
50027,4,1,w,1000
50028,1,2,n,1000
