"";"stand_component";"plot_ID";"inv_year";"dom_SP";"stand_type";"n_stands";"SP_code";"compartiment";"B_t_ha";"C_t_ha";"N_t_ha";"BA_m2_ha";"BA_percent";"mean_DBH_cm";"sd_DBH_cm";"Dg_cm";"mean_BA_m2";"mean_H_m";"sd_H_m";"Hg_m";"n_ha";"n_SP"
"1";"LT";"50001";2023;"gki";"Ki-Rein";"1";"ela";"ag";6,81422519158958;3,40711259579479;0,00982532190847952;1,06955479951336;4,67754344395491;36,9;0;36,9;0,10694059932636;25,3;0;25,3;NA;NA
"2";"LT";"50001";2023;"gki";"Ki-Rein";"1";"ela";"bg";1,19345489782842;0,596727448914211;0,00334167371391958;1,06955479951336;4,67754344395491;36,9;0;36,9;0,10694059932636;25,3;0;25,3;NA;NA
"3";"LT";"50001";2023;"gki";"Ki-Rein";"1";"ela";"fwb";0,858649261390196;0,429324630695098;0,00348439870272142;1,06955479951336;4,67754344395491;36,9;0;36,9;0,10694059932636;25,3;0;25,3;NA;NA
"4";"LT";"50001";2023;"gki";"Ki-Rein";"1";"ela";"ndl";0,3637091656738;0,181854582836899;0;1,06955479951336;4,67754344395491;36,9;0;36,9;0,10694059932636;25,3;0;25,3;NA;NA
"5";"LT";"50001";2023;"gki";"Ki-Rein";"1";"ela";"sb";0,519887528418477;0,259943764209238;0,00225579198580777;1,06955479951336;4,67754344395491;36,9;0;36,9;0,10694059932636;25,3;0;25,3;NA;NA
"6";"LT";"50001";2023;"gki";"Ki-Rein";"1";"ela";"stb";0,0163553473854122;0,0081776736927061;7,09658523053035e-05;1,06955479951336;4,67754344395491;36,9;0;36,9;0,10694059932636;25,3;0;25,3;NA;NA
"7";"LT";"50001";2023;"gki";"Ki-Rein";"1";"ela";"stw";0,185256602707611;0,0926283013538056;0,000147093742549843;1,06955479951336;4,67754344395491;36,9;0;36,9;0,10694059932636;25,3;0;25,3;NA;NA
"8";"LT";"50001";2023;"gki";"Ki-Rein";"1";"ela";"sw";4,87036728601409;2,43518364300705;0,00386707162509518;1,06955479951336;4,67754344395491;36,9;0;36,9;0,10694059932636;25,3;0;25,3;NA;NA
"9";"LT";"50001";2023;"gki";"Ki-Rein";"1";"ela";"total";8,00768008941801;4,003840044709;0,0131669956223991;1,06955479951336;4,67754344395491;36,9;0;36,9;0,10694059932636;25,3;0;25,3;NA;NA
"10";"LT";"50001";2023;"gki";"Ki-Rein";"1";"gfi";"ag";5,34177331963607;2,67088665981804;0,00938641176583003;1,10461985209837;4,83089538712376;37,5;0;37,5;0,110446616727766;17,3;0;17,3;NA;NA
"11";"LT";"50001";2023;"gki";"Ki-Rein";"1";"gfi";"bg";0,924763310778304;0,462381655389152;0,00382852010662218;1,10461985209837;4,83089538712376;37,5;0;37,5;0,110446616727766;17,3;0;17,3;NA;NA
"12";"LT";"50001";2023;"gki";"Ki-Rein";"1";"gfi";"fwb";1,23086074496545;0,615430372482724;0,00534562821538493;1,10461985209837;4,83089538712376;37,5;0;37,5;0,110446616727766;17,3;0;17,3;NA;NA
"13";"LT";"50001";2023;"gki";"Ki-Rein";"1";"gfi";"ndl";0,634812009950118;0,317406004975059;0;1,10461985209837;4,83089538712376;37,5;0;37,5;0,110446616727766;17,3;0;17,3;NA;NA
"14";"LT";"50001";2023;"gki";"Ki-Rein";"1";"gfi";"sb";0,289193068537893;0,144596534268946;0,0013996944517234;1,10461985209837;4,83089538712376;37,5;0;37,5;0,110446616727766;17,3;0;17,3;NA;NA
"15";"LT";"50001";2023;"gki";"Ki-Rein";"1";"gfi";"stb";0,0132373912168335;0,00661869560841675;6,40689734894742e-05;1,10461985209837;4,83089538712376;37,5;0;37,5;0,110446616727766;17,3;0;17,3;NA;NA
"16";"LT";"50001";2023;"gki";"Ki-Rein";"1";"gfi";"stw";0,16893043904464;0,0844652195223198;0,000137171516504248;1,10461985209837;4,83089538712376;37,5;0;37,5;0,110446616727766;17,3;0;17,3;NA;NA
"17";"LT";"50001";2023;"gki";"Ki-Rein";"1";"gfi";"sw";3,00473966592115;1,50236983296057;0,00243984860872797;1,10461985209837;4,83089538712376;37,5;0;37,5;0,110446616727766;17,3;0;17,3;NA;NA
"18";"LT";"50001";2023;"gki";"Ki-Rein";"1";"gfi";"total";6,26653663041438;3,13326831520719;0,0132149318724522;1,10461985209837;4,83089538712376;37,5;0;37,5;0,110446616727766;17,3;0;17,3;NA;NA
"19";"LT";"50001";2023;"gki";"Ki-Rein";"1";"gki";"ag";106,168193254383;53,0840966271914;0,150209463406591;20,6915627237539;90,4915611689213;34,1681818181818;5,48800155454439;34,6041313876091;0,0940471817767788;22,6221934343204;0,886364795776444;22,6221934343204;NA;NA
