"plot_ID","CCS_nr","plot_A_ha","inv_year","compartiment","B_t_ha","C_t_ha","N_t_ha"
"140044","1","0.00785398163397448","2022","ag","0","0","0"
"140044","1","0.00785398163397448","2022","bg","0","0","0"
"140044","1","0.00785398163397448","2022","total","0","0","0"
"140047","3","0.00785398163397448","2022","ag","0","0","0"
"140047","3","0.00785398163397448","2022","bg","0","0","0"
"140047","3","0.00785398163397448","2022","total","0","0","0"
"140049","1","0.00785398163397448","2022","ag","0","0","0"
"140049","1","0.00785398163397448","2022","bg","0","0","0"
"140049","1","0.00785398163397448","2022","total","0","0","0"
"140049","2","0.00785398163397448","2022","ag","0","0","0"
"140049","2","0.00785398163397448","2022","bg","0","0","0"
"140049","2","0.00785398163397448","2022","total","0","0","0"
"140049","3","0.00785398163397448","2022","ag","0","0","0"
"140049","3","0.00785398163397448","2022","bg","0","0","0"
"140049","3","0.00785398163397448","2022","total","0","0","0"
"140049","4","0.00785398163397448","2022","ag","0","0","0"
"140049","4","0.00785398163397448","2022","bg","0","0","0"
"140049","4","0.00785398163397448","2022","total","0","0","0"
"140050","3","0.00785398163397448","2022","ag","0","0","0"
"140050","3","0.00785398163397448","2022","bg","0","0","0"
"140050","3","0.00785398163397448","2022","total","0","0","0"
"140054","1","0.00785398163397448","2022","ag","0","0","0"
"140054","1","0.00785398163397448","2022","bg","0","0","0"
"140054","1","0.00785398163397448","2022","total","0","0","0"
"140054","3","0.00785398163397448","2022","ag","0","0","0"
"140054","3","0.00785398163397448","2022","bg","0","0","0"
"140054","3","0.00785398163397448","2022","total","0","0","0"
"140054","4","0.00785398163397448","2022","ag","0","0","0"
"140054","4","0.00785398163397448","2022","bg","0","0","0"
"140054","4","0.00785398163397448","2022","total","0","0","0"
"140058","1","0.00785398163397448","2022","ag","0","0","0"
"140058","1","0.00785398163397448","2022","bg","0","0","0"
"140058","1","0.00785398163397448","2022","total","0","0","0"
"140058","2","0.00785398163397448","2022","ag","0","0","0"
"140058","2","0.00785398163397448","2022","bg","0","0","0"
"140058","2","0.00785398163397448","2022","total","0","0","0"
"140068","4","0.00785398163397448","2022","ag","0","0","0"
"140068","4","0.00785398163397448","2022","bg","0","0","0"
"140068","4","0.00785398163397448","2022","total","0","0","0"
"140316","1","0.00785398163397448","2022","ag","0","0","0"
"140316","1","0.00785398163397448","2022","bg","0","0","0"
"140316","1","0.00785398163397448","2022","total","0","0","0"
"140316","4","0.00785398163397448","2022","ag","0","0","0"
"140316","4","0.00785398163397448","2022","bg","0","0","0"
"140316","4","0.00785398163397448","2022","total","0","0","0"
