"","plot_ID","tree_ID","inv","lon","lat","t_stat"
"1",50001,1,"HBI",-0.325353540357613,4.07703876284942,"A"
"2",50001,2,"HBI",14.5379063615849,-0.966529162410038,"A"
"3",50001,3,"HBI",-4.84083095054275,8.95537579938817,"A"
"4",50001,4,"HBI",-6.08991727216031,-0.350581828170759,"A"
"5",50001,5,"HBI",-15.7778605874942,-5.59345289437546,"A"
"6",50001,6,"HBI",-7.84851416799144,8.2404626905798,"A"
"7",50001,7,"HBI",-13.8129450942494,-7.07622412189233,"A"
"8",50001,8,"HBI",12.0269931753593,-3.09965081256929,"A"
"9",50001,9,"HBI",-10.1478727616947,-12.5121052749909,"A"
"10",50001,10,"HBI",0.139430387337556,-7.88876791185334,"A"
"11",50001,11,"HBI",-11.685496000057,5.1001650201393,"A"
"12",50001,12,"HBI",13.5316401681043,-1.86823830411058,"A"
"13",50001,13,"HBI",6.48845117870302,-0.895824369833406,"A"
"14",50001,14,"HBI",1.40302951575315,9.84048312726187,"A"
"15",50001,15,"HBI",11.0087880851646,1.42006510271129,"A"
"16",50001,17,"HBI",7.98827094386674,3.57071804086718,"A"
"17",50001,18,"HBI",5.35898862177117,2.39544170284461,"A"
"18",50001,19,"HBI",-1.30387833757471,-8.11592886124585,"A"
"19",50001,20,"HBI",9.97308225405321,4.24773237785632,"A"
"20",50001,21,"HBI",-0.460662522315824,-17.3438833610162,"A"
"21",50001,22,"HBI",-14.6002243261344,-1.62158861199561,"A"
"22",50001,23,"HBI",6.906357328674,4.0967216708816,"A"
"23",50001,24,"HBI",10.8092003271254,11.551345734938,"A"
"24",50001,25,"HBI",-8.12920494912523,-11.1886070131683,"A"
"25",50001,26,"HBI",-14.6199889799491,7.81999502724699,"A"
"26",50002,1,"HBI",1.18372320090694,1.48620300889032,"A"
"27",50002,2,"HBI",14.0091393652131,7.02089127148669,"A"
"28",50002,3,"HBI",-4.34603418884332,-2.13016122145836,"A"
"29",50002,4,"HBI",11.1697768690348,-1.34111323010943,"A"
"30",50002,5,"HBI",13.3195388153928,2.19997403285693,"A"
"31",50002,6,"HBI",-7.48612328203984,-4.99579405160992,"A"
"32",50002,7,"HBI",-3.30443146550288,-2.9052939076442,"A"
"33",50002,8,"HBI",-1.95466750537262,6.50256679653815,"A"
"34",50002,9,"HBI",4.39045967940076,-9.48295121803103,"A"
"35",50002,10,"HBI",-9.38866324447916,-10.772980204278,"A"
"36",50002,11,"HBI",9.98725189347814,1.28829329588312,"A"
"37",50002,12,"HBI",12.9504721957575,-8.64350449221328,"A"
"38",50002,13,"HBI",-9.42975909153679,-8.14439951596061,"A"
"39",50002,14,"HBI",4.6650697233047,7.05752962988508,"A"
"40",50002,15,"HBI",1.80417195966928,-2.8936246370155,"A"
"41",50002,16,"HBI",-1.52277762052521,-9.47845706422873,"A"
"42",50002,17,"HBI",11.6914144270988,7.21792412635561,"A"
"43",50002,18,"HBI",-1.29247700319869,11.1855756756728,"A"
"44",50002,19,"HBI",-9.491996013086,6.58061636076435,"A"
"45",50002,20,"HBI",15.5406863778627,-2.85080109879913,"A"
"46",50002,21,"HBI",-0.725137493814313,-16.3739511302271,"A"
"47",50002,22,"HBI",1.66372959535093,-6.83029310012048,"A"
"48",50002,23,"HBI",-7.16989541985073,-13.843435255326,"A"
"49",50002,24,"HBI",12.1676021412025,2.90681236639102,"A"
"50",50002,25,"HBI",3.89074676101469,8.40295719622882,"A"
"51",50002,26,"HBI",2.03469145489633,3.84480567563198,"A"
"52",50002,27,"HBI",11.0508431299205,0.931110153467099,"A"
"53",50002,28,"HBI",6.56269063258076,1.44550740608159,"A"
"54",50002,29,"HBI",10.3272225343442,0.686275983940212,"A"
"55",50002,30,"HBI",7.79686770077379,-14.7342374779501,"A"
"56",50002,31,"HBI",-7.85930171913824,3.10384865732057,"A"
"57",50002,32,"HBI",-7.854694432805,15.1667457078723,"A"
"58",50002,33,"HBI",-5.82457717948363,-5.49858169715051,"A"
"59",50002,34,"HBI",-15.1499423850476,3.76182744550289,"A"
"60",50003,1,"HBI",0.405853714770849,-1.16111272588268,"A"
"61",50003,2,"HBI",-6.08055369400671,-7.77455894403672,"A"
"62",50003,3,"HBI",1.79800593987522,-0.728542819725404,"A"
"63",50003,4,"HBI",2.10318137263434,5.12525395603027,"A"
"64",50003,5,"HBI",0.9880829720095,9.26747495493917,"A"
"65",50003,6,"HBI",-4.18772777418578,8.44913226842337,"A"
"66",50003,7,"HBI",-1.45216010833378,2.92986877176505,"A"
"67",50003,8,"HBI",-1.42995582533173,2.88506955507139,"A"
"68",50003,9,"HBI",3.24931520143269,-4.73175979121282,"A"
"69",50003,10,"HBI",4.41275546641234,5.34345292799029,"A"
"70",50003,11,"HBI",-0.504325441170862,3.13975410651659,"A"
"71",50003,12,"HBI",-3.80202020138993,8.02490139429905,"A"
"72",50003,13,"HBI",-0.681765390408077,-5.10467393203932,"A"
"73",50003,14,"HBI",5.69813424104865,-8.96190081238288,"A"
"74",50003,15,"HBI",-1.3923066032145,4.94783612528197,"A"
"75",50003,16,"HBI",2.38714548502403,-1.59324713504509,"A"
"76",50003,17,"HBI",2.4120982252856,-1.6099012862825,"A"
"77",50003,18,"HBI",-2.33311940996103,8.01742189353056,"A"
"78",50003,19,"HBI",5.16252070974691,4.3796438121649,"A"
"79",50003,20,"HBI",11.0890225285896,-0.14723912670373,"A"
"80",50003,21,"HBI",-5.35111328141172,8.75403830523371,"A"
"81",50003,22,"HBI",-6.90987129719076,8.52024522277729,"A"
