"";"plot_ID";"CCS_DW_inv_status";"dist_cm";"azi";"inv_year";"inv";"plot_A_ha"
"1";130016;-1;-9;-9;NA;NA;0,0500343869018386
"2";130031;-1;-9;-9;NA;NA;0,0500343869018386
"3";130046;-1;-9;-9;2012;"HBI";0,0500343869018386
"4";130046;-1;-9;-9;2012;"HBI";0,0500343869018386
"5";130046;-1;-9;-9;2012;"HBI";0,0500343869018386
"6";130062;-1;-9;-9;NA;NA;0,0500343869018386
"7";130066;-1;-9;-9;NA;NA;0,0500343869018386
"8";130085;-1;-9;-9;NA;NA;0,0500343869018386
"9";130086;-1;-9;-9;NA;NA;0,0500343869018386
"10";130087;-1;-9;-9;NA;NA;0,0500343869018386
