"";"stand_component";"plot_ID";"inv";"compartiment";"SP_code";"B_t_ha";"C_t_ha";"N_t_ha";"stand";"n_ha";"n_SP"
"1";"RG";140001;"HBI";"ag";"bah";0,656863502558266;0,328431751279133;0,00281006051399205;"all";NA;NA
"2";"RG";140001;"HBI";"ag";"rbu";1,64442088072685;0,822210440363426;0,00756597630478027;"all";NA;NA
"3";"RG";140001;"HBI";"ag";"tei";0,241961665595778;0,120980832797889;0,0015023384086396;"all";NA;NA
"4";"RG";140001;"HBI";"ag";"vbe";3,06814260984038;1,53407130492019;0,0141165166464764;"all";NA;NA
"5";"RG";140001;"HBI";"ag";"wta";2,48760433379317;1,24380216689659;0,00867091000895319;"all";NA;NA
"6";"RG";140001;"HBI";"bg";"bah";2,37970732804615e-07;1,18985366402308e-07;7,21051320397984e-10;"all";NA;NA
"7";"RG";140001;"HBI";"bg";"rbu";5,94926832011537e-07;2,97463416005769e-07;1,80262830099496e-09;"all";NA;NA
"8";"RG";140001;"HBI";"bg";"tei";1,63743356153148e-07;8,18716780765742e-08;6,07487851328181e-10;"all";NA;NA
"9";"RG";140001;"HBI";"bg";"vbe";1,07086829762077e-06;5,35434148810384e-07;3,24473094179093e-09;"all";NA;NA
"10";"RG";140001;"HBI";"bg";"wta";0,842612195632898;0,42130609781645;0,0034884144899202;"all";NA;NA
"11";"RG";140001;"HBI";"fwb";"bah";0,656863140250596;0,328431570125298;0,00281006051399205;"all";NA;NA
"12";"RG";140001;"HBI";"fwb";"rbu";1,64215785062649;0,821078925313245;0,00755556827073248;"all";NA;NA
"13";"RG";140001;"HBI";"fwb";"tei";0,241961412246674;0,120980706123337;0,0015023384086396;"all";NA;NA
"14";"RG";140001;"HBI";"fwb";"vbe";2,95588413112768;1,47794206556384;0,0136000228873185;"all";NA;NA
"15";"RG";140001;"HBI";"fwb";"wta";1,99652544530352;0,998262722651761;0,00867091000895319;"all";NA;NA
"16";"RG";140001;"HBI";"ndl";"bah";3,62307669099579e-07;1,8115383454979e-07;0;"all";NA;NA
"17";"RG";140001;"HBI";"ndl";"rbu";9,05769172748948e-07;4,52884586374474e-07;0;"all";NA;NA
"18";"RG";140001;"HBI";"ndl";"tei";2,53349104158392e-07;1,26674552079196e-07;0;"all";NA;NA
"19";"RG";140001;"HBI";"ndl";"vbe";1,63038451094811e-06;8,15192255474053e-07;0;"all";NA;NA
"20";"RG";140001;"HBI";"ndl";"wta";0,491078888489651;0,245539444244826;0;"all";NA;NA
"21";"RG";140001;"HBI";"total";"bah";0,656863740529001;0,3284318702645;0,00281006123504337;"all";NA;NA
"22";"RG";140001;"HBI";"total";"rbu";1,6421593513225;0,821079675661249;0,00755557007336078;"all";NA;NA
"23";"RG";140001;"HBI";"total";"tei";0,241961829339134;0,120980914669567;0,00150233901612745;"all";NA;NA
"24";"RG";140001;"HBI";"total";"vbe";2,9558868323805;1,47794341619025;0,0136000261320494;"all";NA;NA
"25";"RG";140001;"HBI";"total";"wta";3,33021652942608;1,66510826471304;0,0121593244988734;"all";NA;NA
"26";"RG";140001;"HBI";"ag";"all";8,09899299251445;4,04949649625723;0,0346658018828415;"A";NA;NA
"27";"RG";140001;"HBI";"bg";"all";0,842614263142117;0,421307131571059;0,00348842086581861;"A";NA;NA
"28";"RG";140001;"HBI";"fwb";"all";7,49339197955496;3,74669598977748;0,0341389000896358;"A";NA;NA
"29";"RG";140001;"HBI";"ndl";"all";0,491082040300108;0,245541020150054;0;"A";NA;NA
"30";"RG";140001;"HBI";"total";"all";8,82708828299722;4,4135441414986;0,0376273209554544;"A";NA;NA
"31";"RG";140001;"HBI";"ag";"all";8,09899299251445;4,04949649625723;0,0346658018828415;"all";8430,65416146441;5
"32";"RG";140001;"HBI";"bg";"all";0,842614263142117;0,421307131571059;0,00348842086581861;"all";8430,65416146441;5
"33";"RG";140001;"HBI";"fwb";"all";7,49339197955496;3,74669598977748;0,0341389000896358;"all";8430,65416146441;5
"34";"RG";140001;"HBI";"ndl";"all";0,491082040300108;0,245541020150054;0;"all";8430,65416146441;5
"35";"RG";140001;"HBI";"total";"all";8,82708828299722;4,4135441414986;0,0376273209554544;"all";8430,65416146441;5
"36";"RG";140002;"HBI";"ag";"ges";0,00211402449495886;0,00105701224747943;7,86628514574191e-06;"all";NA;NA
"37";"RG";140002;"HBI";"ag";"hbu";5,0834681730668e-05;2,5417340865334e-05;2,33890370642804e-07;"all";NA;NA
"38";"RG";140002;"HBI";"ag";"sah";5,0834681730668e-05;2,5417340865334e-05;2,17470768443798e-07;"all";NA;NA
