"";"plot_ID";"inv_year";"dw_sp";"dw_type";"decay";"compartiment";"B_t_ha";"C_t_ha";"N_t_ha";"plot_A_ha";"stand_component";"n_ha"
"47";50003;2012;"1";"1";"4";"ag";0,930113697725293;0,465056848862646;0,00450175029699041;NA;"DW";NA
"48";50003;2012;"1";"1";"5";"ag";6,5430410060252;3,2715205030126;0,031668318469162;NA;"DW";NA
"49";50003;2012;"1";"4";"4";"ag";2,61711499870655;1,30855749935328;0,0126668365937397;NA;"DW";NA
"50";50003;2012;"1";"4";"5";"ag";3,9954754483739;1,99773772418695;0,0193381011701297;NA;"DW";NA
"51";50003;2012;"1";"1";"all";"ag";7,4731547037505;3,73657735187525;0,0361700687661524;NA;"DW";NA
"52";50003;2012;"1";"4";"all";"ag";6,61259044708046;3,30629522354023;0,0320049377638694;NA;"DW";NA
"53";50003;2012;"1";"all";"4";"ag";3,54722869643185;1,77361434821592;0,0171685868907301;NA;"DW";NA
"54";50003;2012;"1";"all";"5";"ag";10,5385164543991;5,26925822719955;0,0510064196392917;NA;"DW";NA
"55";50003;2012;"all";"1";"4";"ag";0,930113697725293;0,465056848862646;0,00450175029699041;NA;"DW";NA
"56";50003;2012;"all";"1";"5";"ag";6,5430410060252;3,2715205030126;0,031668318469162;NA;"DW";NA
"57";50003;2012;"all";"4";"4";"ag";2,61711499870655;1,30855749935328;0,0126668365937397;NA;"DW";NA
"58";50003;2012;"all";"4";"5";"ag";3,9954754483739;1,99773772418695;0,0193381011701297;NA;"DW";NA
"59";50003;2012;"all";"1";"all";"ag";7,4731547037505;3,73657735187525;0,0361700687661524;NA;"DW";NA
"60";50003;2012;"all";"4";"all";"ag";6,61259044708046;3,30629522354023;0,0320049377638694;NA;"DW";NA
"61";50003;2012;"all";"all";"4";"ag";3,54722869643185;1,77361434821592;0,0171685868907301;NA;"DW";NA
"62";50003;2012;"all";"all";"5";"ag";10,5385164543991;5,26925822719955;0,0510064196392917;NA;"DW";NA
"63";50003;2012;"1";"all";"all";"ag";14,085745150831;7,04287257541548;0,0681750065300218;NA;"DW";NA
"64";50003;2012;"all";"all";"all";"ag";14,085745150831;7,04287257541548;0,0681750065300218;NA;"DW";999,31273462177
"65";50004;2012;"1";"1";"2";"ag";7,706656352581;3,8533281762905;0,037300216746492;NA;"DW";NA
"66";50004;2012;"1";"1";"3";"ag";1,83873954254686;0,919369771273431;0,0088994993859268;NA;"DW";NA
"67";50004;2012;"1";"1";"4";"ag";0,0854428233804919;0,0427214116902458;0,000413543265161582;NA;"DW";NA
"68";50004;2012;"1";"1";"5";"ag";0,164719799277177;0,0823598996385884;0,000797243828501536;NA;"DW";NA
"69";50004;2012;"1";"4";"2";"ag";2,83728190355158;1,41864095177579;0,00314377149350283;NA;"DW";NA
"70";50004;2012;"1";"4";"2";"stb";0,208515041663093;0,104257520831546;0,00100921280164937;NA;"DW";NA
"71";50004;2012;"1";"4";"2";"stw";2,62876686188849;1,31438343094424;0,00213455869185345;NA;"DW";NA
"72";50004;2012;"1";"4";"3";"ag";1,05414329881631;0,527071649408154;0,00510205356627094;NA;"DW";NA
"73";50004;2012;"1";"4";"4";"ag";0,151074251370677;0,0755371256853384;0,000731199376634075;NA;"DW";NA
"74";50004;2012;"1";"4";"5";"ag";0,254874912409804;0,127437456204902;0,00123359457606345;NA;"DW";NA
"75";50004;2012;"1";"1";"all";"ag";9,79555851778553;4,89777925889276;0,0474105032260819;NA;"DW";NA
"76";50004;2012;"1";"4";"all";"ag";4,29737436614837;2,14868718307419;0,0102106190124713;NA;"DW";NA
"77";50004;2012;"1";"4";"all";"stb";0,208515041663093;0,104257520831546;0,00100921280164937;NA;"DW";NA
"78";50004;2012;"1";"4";"all";"stw";2,62876686188849;1,31438343094424;0,00213455869185345;NA;"DW";NA
"79";50004;2012;"1";"all";"2";"ag";10,5439382561326;5,27196912806629;0,0404439882399948;NA;"DW";NA
"80";50004;2012;"1";"all";"2";"stb";0,208515041663093;0,104257520831546;0,00100921280164937;NA;"DW";NA
"81";50004;2012;"1";"all";"2";"stw";2,62876686188849;1,31438343094424;0,00213455869185345;NA;"DW";NA
"82";50004;2012;"1";"all";"3";"ag";2,89288284136317;1,44644142068159;0,0140015529521977;NA;"DW";NA
"83";50004;2012;"1";"all";"4";"ag";0,236517074751169;0,118258537375584;0,00114474264179566;NA;"DW";NA
"84";50004;2012;"1";"all";"5";"ag";0,419594711686981;0,20979735584349;0,00203083840456499;NA;"DW";NA
"85";50004;2012;"all";"1";"2";"ag";7,706656352581;3,8533281762905;0,037300216746492;NA;"DW";NA
"86";50004;2012;"all";"1";"3";"ag";1,83873954254686;0,919369771273431;0,0088994993859268;NA;"DW";NA
"87";50004;2012;"all";"1";"4";"ag";0,0854428233804919;0,0427214116902458;0,000413543265161582;NA;"DW";NA
"88";50004;2012;"all";"1";"5";"ag";0,164719799277177;0,0823598996385884;0,000797243828501536;NA;"DW";NA
"89";50004;2012;"all";"4";"2";"ag";2,83728190355158;1,41864095177579;0,00314377149350283;NA;"DW";NA
"90";50004;2012;"all";"4";"2";"stb";0,208515041663093;0,104257520831546;0,00100921280164937;NA;"DW";NA
"91";50004;2012;"all";"4";"2";"stw";2,62876686188849;1,31438343094424;0,00213455869185345;NA;"DW";NA
"92";50004;2012;"all";"4";"3";"ag";1,05414329881631;0,527071649408154;0,00510205356627094;NA;"DW";NA
"93";50004;2012;"all";"4";"4";"ag";0,151074251370677;0,0755371256853384;0,000731199376634075;NA;"DW";NA
"94";50004;2012;"all";"4";"5";"ag";0,254874912409804;0,127437456204902;0,00123359457606345;NA;"DW";NA
"95";50004;2012;"all";"1";"all";"ag";9,79555851778553;4,89777925889276;0,0474105032260819;NA;"DW";NA
"96";50004;2012;"all";"4";"all";"ag";4,29737436614837;2,14868718307419;0,0102106190124713;NA;"DW";NA
"97";50004;2012;"all";"4";"all";"stb";0,208515041663093;0,104257520831546;0,00100921280164937;NA;"DW";NA
"98";50004;2012;"all";"4";"all";"stw";2,62876686188849;1,31438343094424;0,00213455869185345;NA;"DW";NA
"99";50004;2012;"all";"all";"2";"ag";10,5439382561326;5,27196912806629;0,0404439882399948;NA;"DW";NA
"100";50004;2012;"all";"all";"2";"stb";0,208515041663093;0,104257520831546;0,00100921280164937;NA;"DW";NA
"101";50004;2012;"all";"all";"2";"stw";2,62876686188849;1,31438343094424;0,00213455869185345;NA;"DW";NA
"102";50004;2012;"all";"all";"3";"ag";2,89288284136317;1,44644142068159;0,0140015529521977;NA;"DW";NA
"103";50004;2012;"all";"all";"4";"ag";0,236517074751169;0,118258537375584;0,00114474264179566;NA;"DW";NA
"104";50004;2012;"all";"all";"5";"ag";0,419594711686981;0,20979735584349;0,00203083840456499;NA;"DW";NA
"105";50004;2012;"1";"all";"all";"ag";14,0929328839339;7,04646644196695;0,0576211222385532;NA;"DW";NA
"106";50004;2012;"1";"all";"all";"stb";0,208515041663093;0,104257520831546;0,00100921280164937;NA;"DW";NA
"107";50004;2012;"1";"all";"all";"stw";2,62876686188849;1,31438343094424;0,00213455869185345;NA;"DW";NA
"108";50004;2012;"all";"all";"all";"ag";14,0929328839339;7,04646644196695;0,0576211222385532;NA;"DW";779,463933004981
"109";50004;2012;"all";"all";"all";"stb";0,208515041663093;0,104257520831546;0,00100921280164937;NA;"DW";779,463933004981
"110";50004;2012;"all";"all";"all";"stw";2,62876686188849;1,31438343094424;0,00213455869185345;NA;"DW";779,463933004981
"111";50005;2012;"1";"1";"4";"ag";0,506130057941386;0,253065028970693;0,00244966948043631;NA;"DW";NA
"112";50005;2012;"2";"1";"3";"ag";0,281961317155623;0,140980658577812;0,00203773443908369;NA;"DW";NA
"113";50005;2012;"2";"1";"4";"ag";0,248022470809547;0,124011235404773;0,0017924583965406;NA;"DW";NA
"114";50005;2012;"2";"3";"2";"ag";0,410490825748984;0,205245412874493;0,000792004297007537;NA;"DW";NA
"115";50005;2012;"2";"3";"2";"sb";0,041411922035411;0,0207059610177054;0,000299283960549916;NA;"DW";NA
"116";50005;2012;"2";"3";"2";"sw";0,369078903713574;0,184539451856787;0,000492720336457621;NA;"DW";NA
"117";50005;2012;"2";"5";"2";"ag";0,611331749885831;0,305665874942915;0,00193364299876107;NA;"DW";NA
"118";50005;2012;"2";"5";"2";"fwb";0,291018558600146;0,145509279300073;0,00133897638811927;NA;"DW";NA
"119";50005;2012;"2";"5";"2";"sb";0,027470748042221;0,0137353740211105;0,000198531096101131;NA;"DW";NA
"120";50005;2012;"2";"5";"2";"stb";0,000881000137584056;0,000440500068792029;6,36698799431998e-06;NA;"DW";NA
"121";50005;2012;"2";"5";"2";"stw";0,0118648543794939;0,00593242718974695;1,58395805966243e-05;NA;"DW";NA
"122";50005;2012;"2";"5";"2";"sw";0,280096588726387;0,140048294363193;0,000373928945949726;NA;"DW";NA
"123";50005;2012;"1";"1";"all";"ag";0,506130057941386;0,253065028970693;0,00244966948043631;NA;"DW";NA
"124";50005;2012;"2";"1";"all";"ag";0,52998378796517;0,264991893982585;0,00383019283562429;NA;"DW";NA
"125";50005;2012;"2";"3";"all";"ag";0,410490825748984;0,205245412874493;0,000792004297007537;NA;"DW";NA
"126";50005;2012;"2";"3";"all";"sb";0,041411922035411;0,0207059610177054;0,000299283960549916;NA;"DW";NA
"127";50005;2012;"2";"3";"all";"sw";0,369078903713574;0,184539451856787;0,000492720336457621;NA;"DW";NA
"128";50005;2012;"2";"5";"all";"ag";0,611331749885831;0,305665874942915;0,00193364299876107;NA;"DW";NA
"129";50005;2012;"2";"5";"all";"fwb";0,291018558600146;0,145509279300073;0,00133897638811927;NA;"DW";NA
"130";50005;2012;"2";"5";"all";"sb";0,027470748042221;0,0137353740211105;0,000198531096101131;NA;"DW";NA
"131";50005;2012;"2";"5";"all";"stb";0,000881000137584056;0,000440500068792029;6,36698799431998e-06;NA;"DW";NA
"132";50005;2012;"2";"5";"all";"stw";0,0118648543794939;0,00593242718974695;1,58395805966243e-05;NA;"DW";NA
"133";50005;2012;"2";"5";"all";"sw";0,280096588726387;0,140048294363193;0,000373928945949726;NA;"DW";NA
"134";50005;2012;"1";"all";"4";"ag";0,506130057941386;0,253065028970693;0,00244966948043631;NA;"DW";NA
"135";50005;2012;"2";"all";"2";"ag";1,02182257563482;0,510911287817408;0,00272564729576861;NA;"DW";NA
"136";50005;2012;"2";"all";"2";"fwb";0,291018558600146;0,145509279300073;0,00133897638811927;NA;"DW";NA
"137";50005;2012;"2";"all";"2";"sb";0,068882670077632;0,0344413350388159;0,000497815056651047;NA;"DW";NA
"138";50005;2012;"2";"all";"2";"stb";0,000881000137584056;0,000440500068792029;6,36698799431998e-06;NA;"DW";NA
"139";50005;2012;"2";"all";"2";"stw";0,0118648543794939;0,00593242718974695;1,58395805966243e-05;NA;"DW";NA
"140";50005;2012;"2";"all";"2";"sw";0,649175492439961;0,32458774621998;0,000866649282407347;NA;"DW";NA
"141";50005;2012;"2";"all";"3";"ag";0,281961317155623;0,140980658577812;0,00203773443908369;NA;"DW";NA
"142";50005;2012;"2";"all";"4";"ag";0,248022470809547;0,124011235404773;0,0017924583965406;NA;"DW";NA
"143";50005;2012;"all";"1";"3";"ag";0,281961317155623;0,140980658577812;0,00203773443908369;NA;"DW";NA
"144";50005;2012;"all";"1";"4";"ag";0,754152528750933;0,377076264375466;0,00424212787697691;NA;"DW";NA
"145";50005;2012;"all";"3";"2";"ag";0,410490825748984;0,205245412874493;0,000792004297007537;NA;"DW";NA
"146";50005;2012;"all";"3";"2";"sb";0,041411922035411;0,0207059610177054;0,000299283960549916;NA;"DW";NA
"147";50005;2012;"all";"3";"2";"sw";0,369078903713574;0,184539451856787;0,000492720336457621;NA;"DW";NA
