"";"plot_ID";"SP_code";"b0";"b1";"b2";"bias";"rsme";"R2";"mean_h";"SSres";"SStot";"pseu_R2";"diff_h"
"33";"50022";"gki";24,7688888594697;0,0517302886247897;0,950879763194657;-0,00233048878497093;2,33159060333461;0,968919664291372;19,575;1,6664723842936;53,615;0,968917795686028;-0,00045619317965806
"34";"50022";"tei";17,858672746589;0,326941175387714;145,014648851749;-0,0119017788673242;0,128092749341027;0,999982048903766;14,7;0,00106366536702228;57,66;0,999981552803208;-0,00174956149349666
"35";"50023";"ela";28,2808958882872;0,0898220848414911;3,36065551619671;0,0193331427666703;3,40810762801134;0,982982674174847;20,6;2,95741515316785;173,7;0,982974006026668;0,00398262740993408
"36";"50023";"rbu";20,5305730057135;0,29954513772647;9,97617349876816;0,000535598676804558;3,80984482603253;0,980427278139852;15,66;1,77978726310283;90,932;0,980427272433216;8,38747527875938e-05
"37";"50024";"rbu";91,1250527883793;0,00106452909716517;0,435851817260305;0,00774285934318292;6,03129492468312;0,430861798485202;30,375;13,4249814940434;23,5875;0,430843391879453;0,00235189352549181
"38";"50025";"sbi";23,1312016699017;0,476459371741581;4212,2664466197;-0,0236207081634921;1,97820540815444;0,940029737009418;22,1;0,764517284161853;12,74;0,939990794021832;-0,00522017650413176
"39";"50025";"sei";63,1808466438343;0,000783337798412079;0,320844227360531;0,0404753351171473;2,06521397724025;0,935405460562712;20,9714285714286;1,31305882368782;20,3142857142857;0,935362786456999;0,0084882559931389
"40";"50026";"rbu";36,303342259158;0,0117119521644512;0,617086766769844;0,00063565449800225;5,32091161169961;0,957876119977769;12,26;2,12776192950235;50,512;0,957876110043111;7,79312414550759e-05
"41";"50026";"rei";37,8959520071798;0,000509612293409862;0,104984234457209;0,0176237192870161;7,54288784276387;0,0217613766498707;25;14,2237892521287;14,54;0,0217476442827551;0,00440592982175403
"42";"50027";"gki";58,0876348109457;0,00366100421027169;0,473529930200318;0,0245506209833235;2,22363390852678;0,870073349565901;21,32;1,12375330267935;8,648;0,870056278598595;0,00523419239364458
"43";"50027";"rbu";88,9353268037076;0,00148734869908931;0,455503335325547;0,0282408783324444;7,97807297844541;0,893539582901377;18,5285714285714;15,2960016383455;143,674285714286;0,89353695713676;0,00523263131388292
"44";"50028";"gki";27,4941459476768;0,0665005092233092;5,3295302411514;0,00105216748576033;1,31766299341297;0,99364889057828;20,16;0,35282533110526;55,552;0,993648737559309;0,000212116965129283
"45";"50028";"rbu";118,222907905004;0,000869041437392207;0,509587089227374;0,0943671396862228;5,31983253023263;0,957083269520955;16,04;3,64061415927467;84,772;0,957054048986993;0,0151364892056701
"46";"50028";"slb";136,518342706953;0,00468204896367473;0,868419122538998;0,105637322189365;7,63513435628914;0,816237777605664;8,7;2,20618474438732;11,98;0,81584434520974;0,00919044703047476
"47";"50028";"tei";20,5587773536107;0,116320780636376;2,12895382205004;-0,00429950685152081;4,57510150645431;0,940449105636818;17,1833333333333;3,70823755880121;62,2683333333333;0,940447457635483;-0,000738798593986327
"48";"50029";"ski";18,1823773298437;0,243269609139846;14,2036646543663;-0,00186564642986506;2,96979662769038;0,947885058498169;16,6;1,4582125981391;27,98;0,947883752746994;-0,0003096973073576
"49";"50030";"rbu";28,4588383439979;0,0900518888536791;1,87717199013039;-0,0129302549245334;7,30520168026476;0,812255063454305;26,3;44,2952506663593;235,9;0,812228695776349;-0,00340065704515228
"50";"50031";"rbu";31,0275436183504;0,0642415632239414;1,21727073126773;0,000793604119473628;6,50554389681033;0,699578392519082;27,7571428571429;22,825210137579;75,9771428571429;0,699577935162731;0,000220281829162466
"51";"50031";"sei";31,169455397013;0,0795442384084021;4,65860605989195;-4,50210116219253e-05;1,63608732560478;0,818069293786082;28,72;1,10395618255004;6,068;0,818069185472966;-1,29300345378169e-05
"52";"50032";"gfi";24,9303449572243;0,429846456452349;1110,0451422831;-0,00731536356559788;4,71713892274495;0,630267732073907;24,08;6,45119698128733;17,448;0,630261521017462;-0,00176153954659597
"53";"50033";"bah";23,3979737379266;0,770511694196395;276816,460018934;-0,0563190999504726;6,67826816082769;0,679686909536192;22,4857142857143;15,784801458687;49,2485714285714;0,679487120117164;-0,0126637519031491
"54";"50033";"ges";154,088497912448;0,000774734182257328;0,495790803062271;0,154215142073073;16,5756915003973;0,479216667614412;23,25;89,1128791067866;170,955;0,478734876974721;0,0358550205319895
"55";"50033";"sli";181,602156860298;0,00120390265881055;0,592437721388253;0,221706730317263;12,4417379331477;0,86038518648206;18;20,0616708265077;143,46;0,860158435616146;0,0399072114571073
"56";"50033";"wli";414,946621455437;0,00316335413838821;1,0777849487995;0,303189162120237;2,95083055719046;0,994750490241674;16,475;0,945364700950167;173,3275;0,994545789323967;0,049950414459309
"57";"50034";"rbu";35,8854869982117;0,0476703270736616;1,53798864227636;-0,000164728889348489;3,07778302173467;0,715307412216672;32,7714285714286;7,12139026068977;25,0142857142857;0,715307071245983;-5,39840103093476e-05
"58";"50035";"gki";197,915365722932;0,00253131288683342;0,85285556290395;0,143479269313766;6,00350661985754;0,956829356388284;20,84;7,82664113804118;180,932;0,956742637355243;0,0299010797249888
"59";"50036";"gki";85,2578082624087;0,00130718873279378;0,46814313175138;0,0312427073697314;7,57944536746732;0,546183018351613;23,2;18,5524843537739;40,88;0,546172104848976;0,00724830810977769
"60";"50036";"sbi";13,5656471159634;1,22087498686982;257025,59969728;-0,0684401977404096;10,5918550946806;0,450850178159202;12,85;7,40986520920594;13,49;0,450714217256788;-0,00879456540964263
"61";"50036";"sei";149,305348565695;0,000860027524555592;0,650146970683684;0,319774233187422;9,64997765985534;0,916595824962506;9,5;3,36170668496903;39,92;0,915788910697169;0,030378552152805
"62";"50037";"bah";4,95591671672405;0,00344050011785671;-0,283676076722834;-0,0173160547479315;1,31135742550839;0,895557786693786;12,2;0,102381576396149;0,979999999999999;0,895529003677399;-0,00211255867924764
"63";"50037";"hbu";14,1959092942928;0,797863784212801;1993,82011523533;-0,173961060468349;3,20438586652666;0,986172380480409;10,68;0,585601424920949;42,048;0,98607302547277;-0,0185790412580197
"64";"50037";"tei";27,6362388622287;0,31400188117155;12527,0129462976;-0,00284486452479581;7,1967902935922;0,89527792672911;25,0285714285714;22,7116067438317;216,874285714286;0,895277549069361;-0,000712028949634609
"65";"50038";"rbu";26,8706099818143;0,0978594767882838;1,94421189229043;0,1168083031818;7,32735804321692;0,931965806451727;21,46;24,726022608513;362,124;0,931719459056807;0,0250670618628143
"66";"50039";"bah";20,417780792651;0,338103341401746;15,7669569588395;0,0125450708343506;5,58360003547242;0,907003610762981;18,5857142857143;15,0770075202203;162,097142857143;0,906987826839689;0,00233159102221287
"67";"50039";"ser";22,6310351672314;0,0994371388897518;1,33115387889514;-0,00708634561524635;7,93211283663755;0,730723426214143;19,2833333333333;28,0752240179451;104,256666666667;0,730710515542298;-0,00136648364614
"68";"50039";"wli";NA;NA;NA;NA;NA;NA;14,75;NA;8,40999999999999;NA;NA
"69";"50040";"rbu";80,0902136665461;0,00224586398932625;0,429853426319145;0,00722946155150303;6,64725460144348;0,703161013531791;27,9285714285714;24,1257103872012;81,2742857142857;0,703156906576657;0,00201908533331263
"70";"50040";"sei";51,4864924877928;0,000950545924743247;0,179912218972822;0,0181844155789373;8,21641626154909;0,0178096816361652;29,64;29,6545453389475;30,192;0,0178012275123386;0,00538986077759702
"71";"50041";"dgl";34,7155229805908;0,084615340429349;3,70731210505665;0,00172166915790107;4,08032655979876;0,875650681221309;29,5166666666667;8,7031349264825;69,9883333333333;0,875648775846224;0,000508179346440466
"72";"50041";"gfi";30,5792438416716;0,369736513938702;1942,1921094216;0,000730747860762924;1,97742954355543;0,976915170867168;27,9;1,21750410636103;52,74;0,97691497712626;0,000203878653152856
"73";"50042";"gfi";32,1624125658173;0,0590085324958072;1,1516705529245;-0,00132512695835643;3,16968611128312;0,974871628059032;26,1666666666667;8,25487618920207;328,506666666667;0,974871510910376;-0,000346741554103266
"74";"50042";"ser";195,689767911439;0,000990851657661442;0,636993574711744;0,303949313550114;13,7156363706581;0,827832109544147;12,26;28,2756674641097;163,704;0,827275647118521;0,037264185841244
"75";"50043";"jla";33,9248787014996;0,0584852238855096;1,22435433076874;0,00313224028924681;3,63465978982088;0,90408712690843;26,5;4,63862522147046;48,36;0,904081364320296;0,000830043676650405
"76";"50043";"rbu";26,3500336144692;0,0710552950649176;1,21197171398416;0,0375498880567259;4,80601687934161;0,953139038151629;19,7;5,37841471242864;114,62;0,953076123604706;0,007397327947175
"77";"50044";"ela";28,2643515400697;0,00405667939716413;0,381673103664397;0,0321700694119107;7,02589420719994;0,321423351587544;8,88;1,94625234153614;2,868;0,321390396953926;0,00285670216377767
"78";"50044";"sbi";11,8723024667565;0,229644896407599;1,87892528389362;-0,000685699825138475;3,0382292443642;0,935344937709019;8,72;0,350949035839047;5,428;0,93534468757571;-5,9793024752075e-05
"79";"50045";"jla";33,3155663479355;0,577294940946332;12526768,4048298;0,019007690258487;3,94444333591417;0,37807736216808;32,66;8,29800721802188;13,332;0,377587217370096;0,00620791163842185
