"";"lon";"lat";"plot_ID";"e_ID";"inv_year";"e_form";"CCS_r_m";"stand"
"132";3421023,77633877;5782997,23218603;50069;2;2012;1;17,84;"B"
"133";3421035,03004717;5791012,12422506;50070;1;2012;1;17,84;"B"
"134";3420992,81732319;5790939,27806372;50070;1;2012;1;17,84;"B"
"135";3420962,84646898;5791055,4602185;50070;1;2012;1;17,84;"B"
"136";3421035,03004717;5791012,12422506;50070;1;2012;1;17,84;"B"
"137";3429100,93272098;5639067,68389349;50072;1;2012;1;17,84;"warning"
"138";3429181,17111962;5639082,87112806;50072;1;2012;1;17,84;"warning"
"139";3429110,15935078;5638986,54375537;50072;1;2012;1;17,84;"warning"
"140";3429100,93272098;5639067,68389349;50072;1;2012;1;17,84;"warning"
"141";3428886,66011742;5671042,2032343;50075;2;2012;1;17,84;"B"
"142";3428965,48019164;5671020,34273425;50075;2;2012;1;17,84;"B"
"143";3428859,27664968;5670965,12774366;50075;2;2012;1;17,84;"B"
"144";3428886,66011742;5671042,2032343;50075;2;2012;1;17,84;"B"
"145";3437023,11906688;5663004,01096538;50083;1;2012;1;17,84;"B"
"146";3437059,17173979;5663062,22079324;50083;1;2012;1;17,84;"B"
"147";3436955,98888732;5663017,49125748;50083;1;2012;1;17,84;"B"
"148";3437023,11906688;5663004,01096538;50083;1;2012;1;17,84;"B"
"149";3436938,18509332;5702999,84029485;50086;1;2012;1;17,84;"B"
"150";3437005,10087092;5702954,2599866;50086;1;2012;1;17,84;"B"
"151";3436977,5904186;5703070,56869178;50086;1;2012;1;17,84;"B"
"152";3436938,18509332;5702999,84029485;50086;1;2012;1;17,84;"B"
"153";3445115,75471887;5655036,29195273;50090;1;2012;1;17,84;"B"
"154";3445147,94053606;5654970,01233666;50090;1;2012;1;17,84;"B"
"155";3445043,59441974;5655021,39881455;50090;1;2012;1;17,84;"B"
"156";3445115,75471887;5655036,29195273;50090;1;2012;1;17,84;"B"
"157";3445009,7760219;5687096,04512319;50092;1;2012;1;17,84;"B"
"158";3445083,53082668;5687081,96318031;50092;1;2012;1;17,84;"B"
"159";3444980,02946973;5687027,10155947;50092;1;2012;1;17,84;"B"
"160";3445009,7760219;5687096,04512319;50092;1;2012;1;17,84;"B"
"161";3452995,18348827;5775026,19569764;50102;2;2012;1;17,84;"warning"
"162";3453007,21346815;5774943,68746848;50102;2;2012;1;17,84;"warning"
"163";3452912,31027132;5775017,01102532;50102;2;2012;1;17,84;"warning"
"164";3452995,18348827;5775026,19569764;50102;2;2012;1;17,84;"warning"
"165";3460907,50595158;5662726,75277589;50104;1;2012;1;17,84;"warning"
"166";3460973,82810183;5662772,22122214;50104;1;2012;1;17,84;"warning"
"167";3460855,51327874;5662788,09419085;50104;1;2012;1;17,84;"warning"
"168";3460907,50595158;5662726,75277589;50104;1;2012;1;17,84;"warning"
"169";3461039,08128443;5678956,24709303;50106;1;2012;1;17,84;"no forest"
"170";3461056,75852416;5679007,04584632;50106;1;2012;1;17,84;"no forest"
"171";3460987,7992319;5678940,02521803;50106;1;2012;1;17,84;"no forest"
"172";3461039,08128443;5678956,24709303;50106;1;2012;1;17,84;"no forest"
"173";3460881,77333878;5686871,92871038;50107;1;2012;1;17,84;"no forest"
"174";3460932,42621258;5686832,14413093;50107;1;2012;1;17,84;"no forest"
"175";3460896,34067122;5686934,66880292;50107;1;2012;1;17,84;"no forest"
"176";3460881,77333878;5686871,92871038;50107;1;2012;1;17,84;"no forest"
"177";3469064,05639695;5671077,51252097;50110;1;2012;1;17,84;"warning"
"178";3469035,00776537;5671009,04480556;50110;1;2012;1;17,84;"warning"
"179";3469004,18312795;5671121,63556155;50110;1;2012;1;17,84;"warning"
"180";3469064,05639695;5671077,51252097;50110;1;2012;1;17,84;"warning"
"181";3469031,32303028;5671116,14954431;50110;2;2012;1;17,84;"B"
"182";3469065,72419654;5671054,23911761;50110;2;2012;1;17,84;"B"
"183";3468961,89521957;5671102,14524944;50110;2;2012;1;17,84;"B"
"184";3469031,32303028;5671116,14954431;50110;2;2012;1;17,84;"B"
"185";3469046,9097397;5687095,01285331;50111;1;2012;1;17,84;"no forest"
"186";3469117,2360938;5687081,59359262;50111;1;2012;1;17,84;"no forest"
"187";3469039,50099516;5687166,22368917;50111;1;2012;1;17,84;"no forest"
"188";3469046,9097397;5687095,01285331;50111;1;2012;1;17,84;"no forest"
"189";3477038,7731356;5679098,11195897;50114;1;2012;1;17,84;"warning"
"190";3477114,96518273;5679105,97249069;50114;1;2012;1;17,84;"warning"
"191";3477032,39183903;5679021,78178761;50114;1;2012;1;17,84;"warning"
"192";3477038,7731356;5679098,11195897;50114;1;2012;1;17,84;"warning"
"193";3476975,86050804;5727013,70111403;50117;1;2012;1;17,84;"B"
"194";3477040,11154289;5727042,91205376;50117;1;2012;1;17,84;"B"
"195";3476983,85260383;5726943,57550612;50117;1;2012;1;17,84;"B"
"196";3476975,86050804;5727013,70111403;50117;1;2012;1;17,84;"B"
"197";3477053,48437544;5727038,4842529;50117;2;2012;1;17,84;"no forest"
"198";3477086,0850383;5726999,43461103;50117;2;2012;1;17,84;"no forest"
"199";3477002,6151566;5727038,46624817;50117;2;2012;1;17,84;"no forest"
"200";3477053,48437544;5727038,4842529;50117;2;2012;1;17,84;"no forest"
"201";3484999,56296484;5711068,19927989;50121;1;2012;1;17,84;"warning"
"202";3485080,56926318;5711078,07039915;50121;1;2012;1;17,84;"warning"
"203";3484983,63814805;5711148,23589387;50121;1;2012;1;17,84;"warning"
"204";3484999,56296484;5711068,19927989;50121;1;2012;1;17,84;"warning"
"205";3485090,90102126;5726818,9942136;50122;2;2012;1;17,84;"no forest"
"206";3485051,0566296;5726759,25847846;50122;2;2012;1;17,84;"no forest"
"207";3485044,93489315;5726874,15804836;50122;2;2012;1;17,84;"no forest"
"208";3485090,90102126;5726818,9942136;50122;2;2012;1;17,84;"no forest"
"209";3485085,42765588;5743007,28045315;50123;1;2012;1;17,84;"warning"
"210";3485038,47671476;5743075,58796344;50123;1;2012;1;17,84;"warning"
"211";3485019,34171371;5742957,25091108;50123;1;2012;1;17,84;"warning"
"212";3485085,42765588;5743007,28045315;50123;1;2012;1;17,84;"warning"
"213";3485042,02539411;5750870,00225775;50124;1;2012;1;17,84;"warning"
"214";3485118,8892343;5750879,91524721;50124;1;2012;1;17,84;"warning"
"215";3485019,50638889;5750944,15892767;50124;1;2012;1;17,84;"warning"
"216";3485042,02539411;5750870,00225775;50124;1;2012;1;17,84;"warning"
"217";3500923,32991832;5751048,83418229;50132;1;2012;1;17,84;"B"
"218";3500955,88819031;5750972,86875473;50132;1;2012;1;17,84;"B"
"219";3500845,7948621;5751020,21421871;50132;1;2012;1;17,84;"B"
"220";3500923,32991832;5751048,83418229;50132;1;2012;1;17,84;"B"
"221";3500992,62620783;5767092,20854259;50133;1;2012;1;17,84;"no forest"
"222";3501063,26365367;5767087,95602239;50133;1;2012;1;17,84;"no forest"
"223";3500967,0678043;5767026,21990196;50133;1;2012;1;17,84;"no forest"
"224";3500992,62620783;5767092,20854259;50133;1;2012;1;17,84;"no forest"
"225";3509028,95220781;5702971,44525305;50134;1;2012;1;17,84;"B"
"226";3508997,50875707;5702915,94356225;50134;1;2012;1;17,84;"B"
"227";3508992,64556817;5703023,89481162;50134;1;2012;1;17,84;"B"
"228";3509028,95220781;5702971,44525305;50134;1;2012;1;17,84;"B"
"229";2540850,89219576;5655202,28436495;50141;1;2012;1;17,84;"no forest"
"230";2540902,13846925;5655151,98178785;50141;1;2012;1;17,84;"no forest"
"231";2540788,1136359;5655167,4220324;50141;1;2012;1;17,84;"no forest"
"232";2540850,89219576;5655202,28436495;50141;1;2012;1;17,84;"no forest"
"233";2580906,34181446;5647040,71250242;50142;2;2012;1;17,84;"no forest"
"234";2580966,52491736;5647078,54601851;50142;2;2012;1;17,84;"no forest"
"235";2580924,51164153;5646971,98668341;50142;2;2012;1;17,84;"no forest"
"236";2580906,34181446;5647040,71250242;50142;2;2012;1;17,84;"no forest"
"237";3428910,97329163;5695009,85842816;50144;1;2012;1;17,84;"B"
"238";3428947,11512952;5695081,44352046;50144;1;2012;1;17,84;"B"
"239";3428835,93617036;5695038,1442606;50144;1;2012;1;17,84;"B"
"240";3428910,97329163;5695009,85842816;50144;1;2012;1;17,84;"B"
"241";3476947,09628398;5695050,6488855;50145;1;2012;1;17,84;"B"
"242";3477018,85619428;5695035,27568236;50145;1;2012;1;17,84;"B"
"243";3476914,13779053;5694985,077872;50145;1;2012;1;17,84;"B"
"244";3476947,09628398;5695050,6488855;50145;1;2012;1;17,84;"B"
"245";3477032,17831916;5695006,62928285;50145;2;2012;1;17,84;"no forest"
"246";3477004,34491272;5694945,36293419;50145;2;2012;1;17,84;"no forest"
"247";3476985,61446246;5695055,20984729;50145;2;2012;1;17,84;"no forest"
"248";3477032,17831916;5695006,62928285;50145;2;2012;1;17,84;"no forest"
"249";2524752,12611712;5614885,11669913;50010;1;2012;2;17,84;"B"
"250";2524460,844068;5614875,93511199;50010;1;2012;2;17,84;"B"
"251";2524700,03958447;5614579,35888831;50010;1;2012;2;17,84;"B"
"252";2524752,12611712;5614885,11669913;50010;1;2012;2;17,84;"B"
"253";2556888,31163577;5598919,97745546;50023;1;2012;2;17,84;"warning"
"254";2557198,63769103;5598969,78227729;50023;1;2012;2;17,84;"warning"
"255";2556666,18288835;5598727,71630801;50023;1;2012;2;17,84;"warning"
"256";2556888,31163577;5598919,97745546;50023;1;2012;2;17,84;"warning"
"257";2556995,71862397;5686958,99656238;50024;1;2012;2;17,84;"A"
"258";2556717,78728672;5687061,99220263;50024;1;2012;2;17,84;"A"
"259";2557162,47151363;5686702,37552307;50024;1;2012;2;17,84;"A"
"260";2556995,71862397;5686958,99656238;50024;1;2012;2;17,84;"A"
"261";2588996,12159767;5679012,65682933;50042;2;2012;2;17,84;"B"
"262";2588976,415541;5678715,54714838;50042;2;2012;2;17,84;"B"
"263";2589263,51087769;5678862,1037061;50042;2;2012;2;17,84;"B"
"264";2588996,12159767;5679012,65682933;50042;2;2012;2;17,84;"B"
"265";3404895,51227609;5630966,98538559;50052;1;2012;2;17,84;"B"
"266";3405107,93280058;5630737,89605366;50052;1;2012;2;17,84;"B"
"267";3404825,51237078;5630665,50396794;50052;1;2012;2;17,84;"B"
"268";3404895,51227609;5630966,98538559;50052;1;2012;2;17,84;"B"
"269";3404961,67448396;5695006,13152297;50057;1;2012;2;17,84;"warning"
"270";3405192,72526683;5694807,37952049;50057;1;2012;2;17,84;"warning"
