"";"plot_ID";"inv_year";"e_ID";"geometry";"e_form"
"63";50010;2012;1;list(c(2524752.12611712, 2524460.844068, 2524700.03958447, 2524752.12611712, 5614885.11669913, 5614875.93511199, 5614579.35888831, 5614885.11669913));2
"64";50023;2012;1;list(c(2556888.31163577, 2557198.63769103, 2556666.18288835, 2556888.31163577, 5598919.97745546, 5598969.78227729, 5598727.71630801, 5598919.97745546));2
"65";50024;2012;1;list(c(2556995.71862397, 2556717.78728672, 2557162.47151363, 2556995.71862397, 5686958.99656238, 5687061.99220263, 5686702.37552307, 5686958.99656238));2
"66";50042;2012;2;list(c(2588996.12159767, 2588976.415541, 2589263.51087769, 2588996.12159767, 5679012.65682933, 5678715.54714838, 5678862.1037061, 5679012.65682933));2
"67";50052;2012;1;list(c(3404895.51227609, 3405107.93280058, 3404825.51237078, 3404895.51227609, 5630966.98538559, 5630737.89605366, 5630665.50396794, 5630966.98538559));2
"68";50057;2012;1;list(c(3404961.67448396, 3405192.72526683, 3404938.69511548, 3404961.67448396, 5695006.13152297, 5694807.37952049, 5695294.16715908, 5695006.13152297));2
"69";50062;2012;1;list(c(3412890.82174254, 3413177.63741123, 3412874.46669531, 3412890.82174254, 5686987.67045781, 5686851.10518311, 5686666.99068614, 5686987.67045781));2
"70";50068;2012;1;list(c(3420997.75189188, 3420758.3542008, 3420694.13818611, 3420997.75189188, 5670993.00265889, 5671196.79043354, 5670955.95959236, 5670993.00265889));2
"71";50073;2012;1;list(c(3429029.03919605, 3428928.0850868, 3429020.67631047, 3429029.03919605, 5654990.21615142, 5655290.55595386, 5655302.09039144, 5654990.21615142));2
"72";50080;2012;1;list(c(3437064.50081358, 3437341.25746431, 3436942.71492046, 3437064.50081358, 5639094.09638835, 5639258.61048244, 5639378.46735381, 5639094.09638835));2
"73";50080;2012;2;list(c(3437077.05657077, 3437036.22106084, 3436949.35794691, 3437077.05657077, 5639111.89323062, 5638814.76874593, 5639381.77525859, 5639111.89323062));2
"74";50094;2012;1;list(c(3444991.22083803, 3444930.10755827, 3445015.5461063, 3444991.22083803, 5703054.26138789, 5702727.57594755, 5702716.5691645, 5703054.26138789));2
"75";50101;2012;1;list(c(3453166.988, 3453432.76963936, 3453325.72047964, 3453166.988, 5703089.832, 5703228.9726489, 5703344.39829766, 5703089.832));2
"76";50102;2012;1;list(c(3452950.16691792, 3452775.56351574, 3452956.53989425, 3452950.16691792, 5774963.93287979, 5775216.48530569, 5775278.70959657, 5774963.93287979));2
"77";50109;2012;1;list(c(3460964.79770935, 3460673.73735653, 3461055.91791933, 3460964.79770935, 5767064.39785448, 5766984.87666175, 5766770.13179366, 5767064.39785448));2
"78";50112;2012;1;list(c(3469049.82858291, 3468859.91993032, 3468752.71141098, 3469049.82858291, 5702969.01918279, 5702710.17704373, 5703095.67118054, 5702969.01918279));2
"79";50122;2012;1;list(c(3485025.79337939, 3484824.72826868, 3485273.36684291, 3485025.79337939, 5726802.82212746, 5727033.6499935, 5726992.58301423, 5726802.82212746));2
"80";50131;2012;1;list(c(3500874.40564995, 3500603.99333418, 3500782.17110895, 3500874.40564995, 5743374.47771349, 5743520.78295168, 5743677.75958793, 5743374.47771349));2
