"";"plot_ID";"stand";"SP_code";"C_layer";"age_period";"annual_growth_cm";"stand_component";"stand_type";"compartiment";"B_t_ha_diff";"C_t_ha_diff";"N_t_ha_diff";"n_ha_diff";"n_SP_diff";"BA_percent_diff"
"37";"140043";"A";"ela";"1";11;0,345454545454545;"LT";6;"ag";0,0221010103986004;0,0110505051992895;-0,000394133364713199;NA;NA;NA
"38";"140043";"A";"ela";"1";11;0,345454545454545;"LT";6;"bg";0,28107267397932;0,14053633698965;0,00078700348714209;NA;NA;NA
"39";"140043";"A";"ela";"1";11;0,345454545454545;"LT";6;"fwb";-0,14826466416103;-0,0741323320805161;-0,00060165800716546;NA;NA;NA
"40";"140043";"A";"ela";"1";11;0,345454545454545;"LT";6;"ndl";-0,102007889560821;-0,051003944780411;0;NA;NA;NA
"41";"140043";"A";"ela";"1";11;0,345454545454545;"LT";6;"sb";-0,00447982332711994;-0,00223991166355797;-1,94379534163699e-05;NA;NA;NA
"42";"140043";"A";"ela";"1";11;0,345454545454545;"LT";6;"stb";0,0020143882186991;0,0010071941093495;8,740430480934e-06;NA;NA;NA
"43";"140043";"A";"ela";"1";11;0,345454545454545;"LT";6;"stw";0,030046262168559;0,015023131084279;2,3856732161834e-05;NA;NA;NA
"44";"140043";"A";"ela";"1";11;0,345454545454545;"LT";6;"sw";0,244792737060299;0,12239636853014;0,000194365433225801;NA;NA;NA
"45";"140043";"A";"ela";"1";11;0,345454545454545;"LT";6;"total";0,303173684377899;0,151586842188999;0,000392870122429001;NA;NA;NA
"46";"140043";"A";"gfi";"1";11;0,311780967570441;"LT";6;"ag";25,221947125463;12,6109735627314;0,034708798726246;NA;NA;NA
"47";"140043";"A";"gfi";"1";11;0,311780967570441;"LT";6;"bg";4,5224385039802;2,26121925199007;0,0187228954064781;NA;NA;NA
"48";"140043";"A";"gfi";"1";11;0,311780967570441;"LT";6;"fwb";2,5165354222871;1,25826771114356;0,0109293133389931;NA;NA;NA
"49";"140043";"A";"gfi";"1";11;0,311780967570441;"LT";6;"ndl";0,82500141570992;0,41250070785496;0;NA;NA;NA
"50";"140043";"A";"gfi";"1";11;0,311780967570441;"LT";6;"sb";1,42282199976109;0,71141099988055;0,0068864584788437;NA;NA;NA
