"";"plot_ID";"CCS_DW_inv_status";"dist_cm";"azi";"inv";"inv_year";"plot_A_ha"
"1";50001;1;-9;-9;"HBI";2012;0,0500343869018386
"2";50002;1;-9;-9;"HBI";2012;0,0500343869018386
"3";50003;1;-9;-9;"HBI";2012;0,0500343869018386
"4";50004;1;-9;-9;"HBI";2012;0,0500343869018386
"5";50005;1;-9;-9;"HBI";2012;0,0500343869018386
"6";50006;1;-9;-9;"HBI";2012;0,0500343869018386
"7";50007;1;-9;-9;"HBI";2012;0,0500343869018386
"8";50008;1;-9;-9;"HBI";2012;0,0500343869018386
"9";50009;1;-9;-9;"HBI";2012;0,0500343869018386
"10";50010;1;-9;-9;"HBI";2012;0,0500343869018386
"11";50011;1;-9;-9;"HBI";2012;0,0500343869018386
"12";50012;1;-9;-9;"HBI";2012;0,0500343869018386
"13";50013;1;-9;-9;"HBI";2012;0,0500343869018386
"14";50014;1;-9;-9;"HBI";2012;0,0500343869018386
"15";50015;1;-9;-9;"HBI";2012;0,0500343869018386
"16";50016;1;-9;-9;"HBI";2012;0,0500343869018386
"17";50017;1;-9;-9;"HBI";2012;0,0500343869018386
"18";50018;1;-9;-9;"HBI";2012;0,0500343869018386
"19";50019;1;-9;-9;"HBI";2012;0,0500343869018386
"20";50020;1;-9;-9;"HBI";2012;0,0500343869018386
"21";50021;1;-9;-9;"HBI";2012;0,0500343869018386
"22";50022;1;-9;-9;"HBI";2012;0,0500343869018386
"23";50023;1;-9;-9;"HBI";2012;0,0500343869018386
"24";50024;1;-9;-9;"HBI";2012;0,0500343869018386
"25";50025;1;-9;-9;"HBI";2012;0,0500343869018386
"26";50026;1;-9;-9;"HBI";2012;0,0500343869018386
"27";50027;1;-9;-9;"HBI";2012;0,0500343869018386
"28";50028;1;-9;-9;"HBI";2012;0,0500343869018386
"29";50029;1;-9;-9;"HBI";2012;0,0500343869018386
"30";50030;1;-9;-9;"HBI";2012;0,0500343869018386
"31";50031;1;-9;-9;"HBI";2012;0,0500343869018386
"32";50032;1;-9;-9;"HBI";2012;0,0500343869018386
"33";50033;1;-9;-9;"HBI";2012;0,0500343869018386
"34";50034;1;-9;-9;"HBI";2012;0,0500343869018386
"35";50035;1;-9;-9;"HBI";2012;0,0500343869018386
"36";50036;1;-9;-9;"HBI";2012;0,0500343869018386
"37";50037;1;-9;-9;"HBI";2012;0,0500343869018386
"38";50038;1;-9;-9;"HBI";2012;0,0500343869018386
"39";50039;1;-9;-9;"HBI";2012;0,0500343869018386
"40";50040;1;-9;-9;"HBI";2012;0,0500343869018386
"41";50041;1;-9;-9;"HBI";2012;0,0500343869018386
"42";50042;1;-9;-9;"HBI";2012;0,0500343869018386
"43";50043;1;-9;-9;"HBI";2012;0,0500343869018386
