"plot_ID","plot_A_ha","inv","stand","compartiment","SP_code","B_t_ha","C_t_ha","N_t_ha","stand_component","n_ha","n_SP"
140040,0.000804247719318987,"HBI","A","ag","gfi",0.0623563377259197,0.0311781688629598,0.000270813574743669,"RG",NA,NA
140040,0.000804247719318987,"HBI","A","ag","vbe",0.00594025346632806,0.00297012673316402,2.73311061985754e-05,"RG",NA,NA
140040,NA,"HBI","all","ag","gfi",0.0623563377259197,0.0311781688629598,0.000270813574743669,"RG",NA,NA
140040,NA,"HBI","all","ag","vbe",0.00594025346632806,0.00297012673316402,2.73311061985754e-05,"RG",NA,NA
140040,NA,"HBI","A","ag","all",0.0682965911922477,0.0341482955961239,0.000298144680942245,"RG",2486.79598581086,NA
140040,NA,"HBI","all","ag","all",0.0682965911922477,0.0341482955961239,0.000298144680942245,"RG",2486.79598581086,2
