"plot_ID","CCS_DW_inv_status","dist_cm","azi","inv_year","inv","rem_reason"
140317,-9,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
140001,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140002,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140003,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140004,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140005,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140006,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140007,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140008,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140009,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140010,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140011,-9,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
140012,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140013,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140014,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140015,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140016,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140017,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140018,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140019,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140020,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140021,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140022,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140023,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140024,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140025,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140026,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140027,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140028,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140029,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140030,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140031,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140032,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140033,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140034,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140035,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140036,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140066,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140089,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140102,-9,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
140175,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140234,-9,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
