"";"plot_ID";"stand";"SP_code";"C_layer";"age_period";"annual_growth_cm"
"124";"140052";"all";"str";"all";11;0,290909090909091
"125";"140053";"all";"gfi";"all";10;0,37
"126";"140053";"all";"isk";"all";10;1,71
"127";"140053";"all";"sbi";"all";10;0,683333333333333
"128";"140053";"all";"sei";"all";10;2,335
"129";"140054";"all";"ela";"all";11;0,554545454545454
"130";"140054";"all";"gfi";"all";11;0,274554758107389
"131";"140056";"all";"bah";"all";11;0,345454545454546
"132";"140056";"all";"ei";"all";11;0,254545454545455
"133";"140056";"all";"gfi";"all";10,9756097560976;0,210574940677636
"134";"140056";"all";"gki";"all";11;0,418181818181818
"135";"140056";"all";"sbi";"all";11;0,0984848484848486
"136";"140057";"all";"gfi";"all";11;0,344678362573099
"137";"140057";"all";"tei";"all";11;0,222727272727273
"138";"140058";"all";"tei";"all";10;1,77
"139";"140059";"all";"gfi";"all";10;1,745
"140";"140059";"all";"gki";"all";10;0,11
"141";"140059";"all";"sbi";"all";10;0,202748538011696
"142";"140059";"all";"str";"all";10;0,58
"143";"140059";"all";"tei";"all";10;0,23877192982456
"144";"140061";"all";"gki";"all";10;0,188333333333333
"145";"140061";"all";"sbi";"all";10;0,48
"146";"140061";"all";"tei";"all";10;0,4275
"147";"140062";"all";"gki";"all";10;0,253186191284663
"148";"140063";"all";"gki";"all";10;0,34
"149";"140063";"all";"rbu";"all";10;0,63
"150";"140064";"all";"gki";"all";10;0,359429824561404
"151";"140187";"all";"sbi";"all";10;4,46
"152";"140252";"all";"gfi";"all";10;0,356247139588101
"153";"140254";"all";"bah";"all";10;1,2
"154";"140254";"all";"rbu";"all";10;0,883333333333333
"155";"140254";"all";"stk";"all";10;1,79877192982456
"156";"140315";"all";"gfi";"all";10;0,3795
"157";"140315";"all";"sbi";"all";10;0,586666666666667
"158";"140316";"all";"hbu";"all";10;0,075
"159";"140316";"all";"sei";"all";10;0,275927698032961
"160";"140316";"all";"wli";"all";10;0,176666666666667
"161";"all";"all";"bah";"all";10,5;0,772727272727273
"162";"all";"all";"ei";"all";11;0,254545454545455
"163";"all";"all";"ela";"all";11;0,415151515151515
"164";"all";"all";"gfi";"all";10,7806451612903;0,338090720447257
"165";"all";"all";"gki";"all";10,008064516129;0,320388563049853
"166";"all";"all";"hbu";"all";10;0,075
"167";"all";"all";"isk";"all";10;1,71
"168";"all";"all";"rbu";"all";10,6875;0,549987041467304
"169";"all";"all";"sbi";"all";10,1794871794872;0,475183004130373
"170";"all";"all";"sei";"all";10;0,498530109056425
"171";"all";"all";"stk";"all";10;1,79877192982456
"172";"all";"all";"str";"all";10,3333333333333;0,483636363636364
"173";"all";"all";"tei";"all";10,2222222222222;0,659358497253234
"174";"all";"all";"wli";"all";10;0,176666666666667
