"stand_component","plot_ID","stand","stand_type","C_layer","SP_code","compartiment","age_period","annual_growth_cm","B_t_ha_diff","C_t_ha_diff","N_t_ha_diff","n_ha_diff","n_SP_diff","mean_DBH_cm_diff","sd_DBH_cm_diff","Dg_cm_diff","mean_BA_m2_diff","mean_H_m_diff","sd_H_m_diff","Hg_m_diff","BA_percent_diff","dw_sp","dw_type","ST_LY_type","decay","n_dec_diff","n_dw_TY_diff","mean_d_cm_diff","sd_d_cm_diff","mean_l_m_diff","sd_l_m_diff","B_t_ha_BZE3","C_t_ha_BZE3","N_t_ha_BZE3","B_t_ha_HBI","C_t_ha_HBI","N_t_ha_HBI"
"LT","140037","all",1,"all","all","sw",11,0.222890959456056,-63.37725245692,-31.6886262284603,-0.0514623289950199,-239.967282531224,0,3.1772761944387,1.194147400241,3.3628771668888,0.0188272853488707,1.2519583794029,-0.75427706037508,1.2519583794029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LT","140037","all",1,"all","all","total",11,0.222890959456056,-104.503984889749,-52.251992444875,-0.189846602358702,-239.967282531224,0,3.1772761944387,1.194147400241,3.3628771668888,0.0188272853488707,1.2519583794029,-0.75427706037508,1.2519583794029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"all","ag",NA,NA,1.07624793348809,0.538123966744046,0.0049505530872784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"all","bg",NA,NA,3.63395289154793e-07,1.81697644577397e-07,1.10108772613902e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"all","fwb",NA,NA,1.00306860416518,0.501534302082591,0.004615118647764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"all","ndl",NA,NA,5.532650953491e-07,2.76632547674551e-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"all","total",NA,NA,1.00306952082558,0.501534760412785,0.00461511974885173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"gfi","ag",NA,NA,0.00488801987441816,0.00244400993720908,2.12286703145981e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"rbu","ag",NA,NA,0.292035294181633,0.146017647090817,0.00134365365276369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"rbu","bg",NA,NA,1.05034870140865e-07,5.25174350704324e-08,3.18255656526821e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"rbu","fwb",NA,NA,0.289924453412466,0.144962226706233,0.00133394241015076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"rbu","ndl",NA,NA,1.59914366470261e-07,7.99571832351304e-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"rbu","total",NA,NA,0.289924718361704,0.144962359180852,0.00133394272840641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"vbe","ag",NA,NA,0.77932461943204,0.38966230971602,0.00358567076420011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"vbe","bg",NA,NA,2.58360419013928e-07,1.29180209506964e-07,7.82832069612203e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"vbe","fwb",NA,NA,0.713144150752715,0.356572075376358,0.00328117623761324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"vbe","ndl",NA,NA,3.9335072887884e-07,1.96675364439419e-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","A",NA,NA,"vbe","total",NA,NA,0.713144802463867,0.356572401231933,0.00328117702044531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"all","ag",NA,NA,1.07624793348809,0.538123966744046,0.0049505530872784,3220.58493853743,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"all","bg",NA,NA,3.63395289154793e-07,1.81697644577397e-07,1.10108772613902e-09,3220.58493853743,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"all","fwb",NA,NA,1.00306860416518,0.501534302082591,0.004615118647764,3220.58493853743,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"all","ndl",NA,NA,5.532650953491e-07,2.76632547674551e-07,0,3220.58493853743,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"all","total",NA,NA,1.00306952082558,0.501534760412785,0.00461511974885173,3220.58493853743,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"gfi","ag",NA,NA,0.00488801987441816,0.00244400993720908,2.12286703145981e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"rbu","ag",NA,NA,0.292035294181633,0.146017647090817,0.00134365365276369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
