"plot_ID","inv","dw_sp","dw_type","decay","compartiment","B_t_ha","C_t_ha","N_t_ha","inv_year","stand_component","ST_LY_type","mean_d_cm","sd_d_cm","mean_l_m","sd_l_m","n_ha","n_dec","n_dw_TY"
140001,"HBI","2","5","4","ag",0.454191426332564,0.227095713166282,0.00328244143810544,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","1","1","all","ag",0.313158496186216,0.156579248093108,0.00151568712154129,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","1","4","all","ag",0.194600927765401,0.0973004638827008,0.000941868490384543,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","1","all","ag",1.17132202802384,0.585661014011921,0.00846514429652829,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","2","all","ag",3.25182901349821,1.62591450674911,0.0101592176958659,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","2","all","fwb",1.54886664349628,0.774433321748144,0.00712633542672642,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","2","all","sb",0.124932184768569,0.0624660923842848,0.000902884899322453,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","2","all","stb",0.00395910939077877,0.00197955469538938,2.86124835671582e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","2","all","stw",0.0572581355956609,0.0286290677978304,7.64396110202073e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","2","all","sw",1.51681294024692,0.758406470123459,0.00202494527522964,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","3","all","ag",0.393951975457165,0.196975987728583,0.00284709092662893,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","4","all","ag",0.0390294378404716,0.0195147189202358,0.000282065747273088,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","5","all","ag",6.71522992839979,3.3576149641999,0.0222991082171919,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","5","all","fwb",2.80426789487906,1.40213394743953,0.0129024365843386,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","5","all","sb",0.246759666520264,0.123379833260132,0.00178333210994195,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","5","all","stb",0.00772801748375748,0.00386400874187874,5.58503823551153e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","5","all","stw",0.114928773812821,0.0574643869064107,0.000153429913040116,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","5","all","sw",3.08735414937133,1.54367707468566,0.00412161778941072,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","1","all","4","ag",0.339529737970319,0.169764868985159,0.00164332393177634,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","1","all","5","ag",0.168229685981299,0.0841148429906496,0.000814231680149488,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","1","ag",5.26884855178824,2.63442427589412,0.0157932830036181,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","1","fwb",2.28717974665115,1.14358987332557,0.0105233140143419,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","1","sb",0.212263798182607,0.106131899091304,0.0015340304694657,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
