"lon","lat","plot_ID","e_ID","inv_year","e_form","CCS_r_m","stand"
-39.8602882673806,-44.8459297957052,140014,1,2012,1,17.84,"B"
31.6420974399945,-50.9782077911522,140014,1,2012,1,17.84,"B"
-54.3381470290445,25.4433837657247,140014,1,2012,1,17.84,"B"
-39.8602882673806,-44.8459297957052,140014,1,2012,1,17.84,"B"
44.8730887525791,39.829711344713,140022,1,2011,1,17.84,"no forest"
55.7312381880161,-22.2267651724361,140022,1,2011,1,17.84,"no forest"
-15.4564654434803,57.9749745665705,140022,1,2011,1,17.84,"no forest"
44.8730887525791,39.829711344713,140022,1,2011,1,17.84,"no forest"
47.0589469140926,37.2217075822244,140023,1,2011,1,17.84,"no forest"
54.638625528162,-24.7915429207882,140023,1,2011,1,17.84,"no forest"
-11.5417120850963,58.8794436297146,140023,1,2011,1,17.84,"no forest"
47.0589469140926,37.2217075822244,140023,1,2011,1,17.84,"no forest"
24.9447118794616,-54.5688679491397,140024,1,2011,1,17.84,"warning"
57.8386899994718,15.9588827661901,140024,1,2011,1,17.84,"warning"
-49.9130442324995,-33.2969670607481,140024,1,2011,1,17.84,"warning"
24.9447118794616,-54.5688679491397,140024,1,2011,1,17.84,"warning"
-58.4985026913666,-13.3388598788716,140026,1,2011,1,17.84,"no forest"
-3.02368370149462,-59.9237627062363,140026,1,2011,1,17.84,"no forest"
-28.7018626690935,52.6896866504679,140026,1,2011,1,17.84,"no forest"
-58.4985026913666,-13.3388598788716,140026,1,2011,1,17.84,"no forest"
41.3607300165034,-43.4659638395598,140027,1,2011,1,17.84,"C"
54.8577149722858,24.3029032837529,140027,1,2011,1,17.84,"C"
-26.994231454418,-53.5846196980562,140027,1,2011,1,17.84,"C"
41.3607300165034,-43.4659638395598,140027,1,2011,1,17.84,"C"
20.3997891604315,56.4256023646176,140027,2,2011,1,17.84,"B"
57.7323392802244,-16.3394308723732,140027,2,2011,1,17.84,"B"
-54.8336956145618,24.3570487795542,140027,2,2011,1,17.84,"B"
20.3997891604315,56.4256023646176,140027,2,2011,1,17.84,"B"
-57.1247276766991,-18.3511712940337,140029,1,2011,1,17.84,"B"
0.948240016870539,-59.9925065393204,140029,1,2011,1,17.84,"B"
-34.1683260041498,49.3206396762465,140029,1,2011,1,17.84,"B"
-57.1247276766991,-18.3511712940337,140029,1,2011,1,17.84,"B"
54.5558590926225,-24.9731503552499,140033,1,2011,1,17.84,"B"
36.9655094408059,47.2604603424648,140033,1,2011,1,17.84,"B"
-11.6139308411047,-58.8652411055798,140033,1,2011,1,17.84,"B"
54.5558590926225,-24.9731503552499,140033,1,2011,1,17.84,"B"
-51.6148156013083,-30.5926594208961,140037,1,2011,1,17.84,"no forest"
2.14262001117934,-59.9617309580677,140037,1,2011,1,17.84,"no forest"
-51.572347533486,30.6641968733136,140037,1,2011,1,17.84,"no forest"
-51.6148156013083,-30.5926594208961,140037,1,2011,1,17.84,"no forest"
-46.8079836775246,37.5368174469359,140039,1,2011,1,17.84,"no forest"
18.3713198068888,57.118251098515,140039,1,2011,1,17.84,"no forest"
-51.7639514257242,-30.3396330365954,140039,1,2011,1,17.84,"no forest"
-46.8079836775246,37.5368174469359,140039,1,2011,1,17.84,"no forest"
-57.8871555279259,15.7821806125047,140042,1,2011,1,17.84,"B"
7.61488484075512,59.5148177251854,140042,1,2011,1,17.84,"B"
-23.6454326552388,-55.1442972078398,140042,1,2011,1,17.84,"B"
-57.8871555279259,15.7821806125047,140042,1,2011,1,17.84,"B"
16.84398750819,57.5871520812059,140043,1,2011,1,17.84,"B"
59.481155058441,-7.87351210792873,140043,1,2011,1,17.84,"B"
-54.3485422720609,25.4211713518871,140043,1,2011,1,17.84,"B"
16.84398750819,57.5871520812059,140043,1,2011,1,17.84,"B"
-2.08597216186497,59.9637283709071,140046,1,2011,1,17.84,"C"
58.5473528959042,13.1227843418406,140046,1,2011,1,17.84,"C"
-59.3177289852962,9.02258433193918,140046,1,2011,1,17.84,"C"
-2.08597216186497,59.9637283709071,140046,1,2011,1,17.84,"C"
-32.8599950359886,-50.2018000298276,140053,1,2012,1,17.84,"no forest"
31.7314812007649,-50.9226187543954,140053,1,2012,1,17.84,"no forest"
-59.3651087943209,8.70539245746247,140053,1,2012,1,17.84,"no forest"
-32.8599950359886,-50.2018000298276,140053,1,2012,1,17.84,"no forest"
-39.186153563431,45.4361680701971,140054,1,2011,1,17.84,"B"
30.987969960017,51.3784557743524,140054,1,2011,1,17.84,"B"
-55.3735307882105,-23.1035081329028,140054,1,2011,1,17.84,"B"
-39.186153563431,45.4361680701971,140054,1,2011,1,17.84,"B"
-48.6303970657256,35.143768739705,140068,1,2012,1,17.84,"no forest"
15.9139457660627,57.8510702593722,140068,1,2012,1,17.84,"no forest"
-49.9336948476236,-33.2659904236205,140068,1,2012,1,17.84,"no forest"
-48.6303970657256,35.143768739705,140068,1,2012,1,17.84,"no forest"
17.4787046321972,-57.3976905840332,140234,1,2011,1,17.84,"warning"
58.6196595176702,12.7959180222608,140234,1,2011,1,17.84,"warning"
-55.8022907048488,-22.0477743115161,140234,1,2011,1,17.84,"warning"
17.4787046321972,-57.3976905840332,140234,1,2011,1,17.84,"warning"
26.2490460664686,53.9535687475853,140316,1,2012,1,17.84,"no forest"
58.7704957061499,-12.0842390928605,140316,1,2012,1,17.84,"no forest"
-45.7818607108392,38.7817125698868,140316,1,2012,1,17.84,"no forest"
26.2490460664686,53.9535687475853,140316,1,2012,1,17.84,"no forest"
-7.67081168442959,59.5076352084505,140053,2,2012,1,17.84,"B"
57.1274262860418,18.3427687640896,140053,2,2012,1,17.84,"B"
-59.9115945337173,3.25589318428307,140053,2,2012,1,17.84,"B"
-7.67081168442959,59.5076352084505,140053,2,2012,1,17.84,"B"
-59.8357515085049,-4.4365348429209,140046,2,2011,1,17.84,"B"
-2.73612830992303,-59.9375808810435,140046,2,2011,1,17.84,"B"
-11.5457833178463,58.878645429199,140046,2,2011,1,17.84,"B"
-59.8357515085049,-4.4365348429209,140046,2,2011,1,17.84,"B"
3.23222853973867,-59.9128759004848,140055,1,2011,1,17.84,"B"
59.9822066510201,1.46112466077498,140055,1,2011,1,17.84,"B"
-59.7912609189097,-5.00051174649797,140055,1,2011,1,17.84,"B"
3.23222853973867,-59.9128759004848,140055,1,2011,1,17.84,"B"
59.9111737680361,3.26362647007724,140065,1,2012,1,17.84,"B"
17.7704218018506,-57.3080457613443,140065,1,2012,1,17.84,"B"
11.4400955264679,58.8992717641339,140065,1,2012,1,17.84,"B"
59.9111737680361,3.26362647007724,140065,1,2012,1,17.84,"B"
-18.7437386864908,-56.9971250156756,140060,1,2012,1,17.84,"B"
50.8092026192158,-31.9127706286916,140060,1,2012,1,17.84,"B"
-59.8330815451061,4.47239900016525,140060,1,2012,1,17.84,"B"
-18.7437386864908,-56.9971250156756,140060,1,2012,1,17.84,"B"
16.3491677343258,-7.48232012111762,140039,2,2011,2,17.84,"B"
-798.511191724462,2891.77797845733,140039,2,2011,2,17.84,"B"
-2542.84915025123,1591.82857087897,140039,2,2011,2,17.84,"B"
16.3491677343258,-7.48232012111762,140039,2,2011,2,17.84,"B"
-11.2114184026141,0.645753359670665,140048,1,2011,2,17.84,"B"
