"lon","lat","plot_ID","e_ID","inv_year","e_form","CCS_r_m","stand"
31.4412342153128,51.1023364536089,140037,1,2022,1,17.84,"no forest"
59.9042939442498,-3.38756063280288,140037,1,2022,1,17.84,"no forest"
-30.0289611728383,51.9447927215055,140037,1,2022,1,17.84,"no forest"
31.4412342153128,51.1023364536089,140037,1,2022,1,17.84,"no forest"
59.2337747543616,-9.55823876818092,140039,1,2022,1,17.84,"no forest"
32.4701960750463,50.4547952810043,140039,1,2022,1,17.84,"no forest"
14.9521435200431,-58.1070856622153,140039,1,2022,1,17.84,"no forest"
59.2337747543616,-9.55823876818092,140039,1,2022,1,17.84,"no forest"
-51.4469275791195,-30.8741581693953,140042,1,2022,1,17.84,"B"
5.76328010093844,-59.7225635959988,140042,1,2022,1,17.84,"B"
-49.9899406696337,33.1814079244161,140042,1,2022,1,17.84,"B"
-51.4469275791195,-30.8741581693953,140042,1,2022,1,17.84,"B"
6.73249375369321,-59.6210829141545,140043,1,2022,1,17.84,"B"
58.7267857363911,-12.2949028898974,140043,1,2022,1,17.84,"B"
-54.5062110501416,-25.0813268579919,140043,1,2022,1,17.84,"B"
6.73249375369321,-59.6210829141545,140043,1,2022,1,17.84,"B"
-28.2573607259264,52.9294017045807,140046,1,2022,1,17.84,"C"
44.4194337227616,40.3350208596598,140046,1,2022,1,17.84,"C"
-58.2299449935304,-14.4662886066337,140046,1,2022,1,17.84,"C"
-28.2573607259264,52.9294017045807,140046,1,2022,1,17.84,"C"
-10.1171677886403,59.1408734796545,140053,1,2022,1,17.84,"no forest"
48.8568745989599,34.8282328638922,140053,1,2022,1,17.84,"no forest"
-57.6558817414318,16.6072062857674,140053,1,2022,1,17.84,"no forest"
-10.1171677886403,59.1408734796545,140053,1,2022,1,17.84,"no forest"
50.2384789428806,-32.8038905239264,140054,1,2022,1,17.84,"B"
51.7408509133433,30.3790116159691,140054,1,2022,1,17.84,"B"
-7.00538672283925,-59.589634642809,140054,1,2022,1,17.84,"B"
50.2384789428806,-32.8038905239264,140054,1,2022,1,17.84,"B"
15.8279251352669,57.8746644561537,140068,1,2022,1,17.84,"no forest"
59.5127196384372,7.63126472065913,140068,1,2022,1,17.84,"no forest"
-47.3461474631567,36.8556959016788,140068,1,2022,1,17.84,"no forest"
15.8279251352669,57.8746644561537,140068,1,2022,1,17.84,"no forest"
38.4881589592371,-46.0289215594771,140316,1,2022,1,17.84,"no forest"
58.0709191723474,15.0919961065029,140316,1,2022,1,17.84,"no forest"
-25.1341540664023,-54.4818712909749,140316,1,2022,1,17.84,"no forest"
38.4881589592371,-46.0289215594771,140316,1,2022,1,17.84,"no forest"
-59.1578054648821,-10.0176869874821,140053,2,2022,1,17.84,"B"
-1.04234502958156,-59.9909452904295,140053,2,2022,1,17.84,"B"
-20.73539674696,56.3031377611067,140053,2,2022,1,17.84,"B"
-59.1578054648821,-10.0176869874821,140053,2,2022,1,17.84,"B"
59.3756461570261,-8.63322902717345,140046,2,2022,1,17.84,"B"
14.2528975889639,58.2825437872997,140046,2,2022,1,17.84,"B"
-2.93496079639373,-59.9281737175732,140046,2,2022,1,17.84,"B"
59.3756461570261,-8.63322902717345,140046,2,2022,1,17.84,"B"
-59.2008169804172,-9.76029040813587,140055,1,2022,1,17.84,"B"
9.15103219078227,-59.2980489547782,140055,1,2022,1,17.84,"B"
-10.3685166113354,59.0973253479416,140055,1,2022,1,17.84,"B"
-59.2008169804172,-9.76029040813587,140055,1,2022,1,17.84,"B"
54.397713713626,25.3157805080227,140065,1,2022,1,17.84,"B"
31.7764519880159,-50.8945684631801,140065,1,2022,1,17.84,"B"
-18.4752858064148,57.0847073599514,140065,1,2022,1,17.84,"B"
54.397713713626,25.3157805080227,140065,1,2022,1,17.84,"B"
-58.86369334596,11.6217729143526,140060,1,2022,1,17.84,"B"
-1.05246397066637,59.9907686197672,140060,1,2022,1,17.84,"B"
-23.7733316055237,-55.0892793960296,140060,1,2022,1,17.84,"B"
-58.86369334596,11.6217729143526,140060,1,2022,1,17.84,"B"
0.564765448224747,17.9711279553759,140039,2,2022,2,17.84,"B"
1714.05489913584,-2462.11612292118,140039,2,2022,2,17.84,"B"
-421.552698438542,-2970.2345568051,140039,2,2022,2,17.84,"B"
0.564765448224747,17.9711279553759,140039,2,2022,2,17.84,"B"
8.76423347440944,-7.02147503064997,140048,1,2022,2,17.84,"A"
-919.959605949381,2855.46394188781,140048,1,2022,2,17.84,"A"
-2698.88226125688,-1309.97501498041,140048,1,2022,2,17.84,"A"
8.76423347440944,-7.02147503064997,140048,1,2022,2,17.84,"A"
-11.9697422689583,-6.82742045099857,140056,1,2022,2,17.84,"no forest"
1254.85215342184,-2724.94882026297,140056,1,2022,2,17.84,"no forest"
1153.24418654838,2769.48151215934,140056,1,2022,2,17.84,"no forest"
-11.9697422689583,-6.82742045099857,140056,1,2022,2,17.84,"no forest"
2.06849176406621,-18.7361640103301,140057,1,2022,2,17.84,"A"
-2639.36048513029,1426.10526593684,140057,1,2022,2,17.84,"A"
2926.6276228349,659.432147578329,140057,1,2022,2,17.84,"A"
2.06849176406621,-18.7361640103301,140057,1,2022,2,17.84,"A"
