"plot_ID","team","date","stand_spec","stand_type","structure","hbi_status","inv_year","inv","CCS_r_m","CCS_LT_inv_status","rem_reason"
140317,"",1970-01-01,-9,-9,-9,-9,1970,"warning",5.64,-9,"whole plot excluded during inventory status sorting"
140317,"",1970-01-01,-9,-9,-9,-9,1970,"warning",12.62,-9,"whole plot excluded during inventory status sorting"
140317,"",1970-01-01,-9,-9,-9,-9,1970,"warning",17.84,-9,"whole plot excluded during inventory status sorting"
140001,"",1970-01-01,1,7,2,-9,1970,"warning",5.64,-9,"LT circle excluded during inventory status sorting"
140001,"",1970-01-01,1,7,2,-9,1970,"warning",12.62,-9,"LT circle excluded during inventory status sorting"
140001,"",1970-01-01,1,7,2,-9,1970,"warning",17.84,-9,"LT circle excluded during inventory status sorting"
140002,"",1970-01-01,1,8,2,-9,1970,"warning",5.64,-9,"LT circle excluded during inventory status sorting"
140002,"",1970-01-01,1,8,2,-9,1970,"warning",12.62,-9,"LT circle excluded during inventory status sorting"
140002,"",1970-01-01,1,8,2,-9,1970,"warning",17.84,-9,"LT circle excluded during inventory status sorting"
140003,"",1970-01-01,1,6,1,-9,1970,"warning",5.64,-9,"LT circle excluded during inventory status sorting"
140003,"",1970-01-01,1,6,1,-9,1970,"warning",12.62,-9,"LT circle excluded during inventory status sorting"
140003,"",1970-01-01,1,6,1,-9,1970,"warning",17.84,-9,"LT circle excluded during inventory status sorting"
140004,"",1970-01-01,1,6,1,-9,1970,"warning",5.64,-9,"LT circle excluded during inventory status sorting"
140004,"",1970-01-01,1,6,1,-9,1970,"warning",12.62,-9,"LT circle excluded during inventory status sorting"
140004,"",1970-01-01,1,6,1,-9,1970,"warning",17.84,-9,"LT circle excluded during inventory status sorting"
140005,"",1970-01-01,1,7,1,-9,1970,"warning",5.64,-9,"LT circle excluded during inventory status sorting"
140005,"",1970-01-01,1,7,1,-9,1970,"warning",12.62,-9,"LT circle excluded during inventory status sorting"
140005,"",1970-01-01,1,7,1,-9,1970,"warning",17.84,-9,"LT circle excluded during inventory status sorting"
140006,"",1970-01-01,1,1,1,-9,1970,"warning",5.64,-9,"LT circle excluded during inventory status sorting"
140006,"",1970-01-01,1,1,1,-9,1970,"warning",12.62,-9,"LT circle excluded during inventory status sorting"
140006,"",1970-01-01,1,1,1,-9,1970,"warning",17.84,-9,"LT circle excluded during inventory status sorting"
140007,"",1970-01-01,1,6,1,-9,1970,"warning",5.64,-9,"LT circle excluded during inventory status sorting"
140007,"",1970-01-01,1,6,1,-9,1970,"warning",12.62,-9,"LT circle excluded during inventory status sorting"
140007,"",1970-01-01,1,6,1,-9,1970,"warning",17.84,-9,"LT circle excluded during inventory status sorting"
