"plot_ID","CCS_nr","CCS_position","CCS_dist","CCS_RG_inv_status","CCS_max_dist_cm","inv_year","inv","rem_reason"
140006,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140006,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140006,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140006,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140007,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140007,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140007,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140007,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140008,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140008,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140008,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140008,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140009,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140009,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140009,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140009,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140010,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140010,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140010,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140010,4,"w",500,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140011,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140011,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140011,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140011,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140012,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140012,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140012,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140012,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140013,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140013,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140013,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140013,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140014,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140014,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140014,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140014,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
