"";"X.1";"plot_ID";"tree_ID";"tree_inventory_status";"multi_stem";"dist_cm";"azi_gon";"age";"age_meth";"SP_code";"Kraft";"C_layer";"H_dm";"C_h_dm";"D_mm";"DBH_h_cm";"plot_inventory_status";"inv_year";"inv";"X";"Nr_code";"Chr_code_ger";"name";"bot_name";"bot_genus";"bot_species";"Flora_EU";"LH_NH";"IPC";"WZE";"BWI";"BZE_al";"tpS_SP_com_name";"tpS_ID";"H_SP_group";"BWI_SP_group";"Bio_SP_group";"N_SP_group";"N_bg_SP_group";"N_f_SP_group_MoMoK";"DBH_cm";"dist_m";"X_tree";"Y_tree";"e_ID";"e_type";"e_form";"stand";"CCS_r_m";"inter_stat";"area_m2";"plot_A_ha";"old_tree_ID";"new_tree_inventory_status"
"1";1;50001;10;-9;0;809;311;61;6;"gki";2;1;224;167;333;130;0;2023;"BZE3";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";32,3;7,89;0,139430387337556;-7,88876791185334;NA;NA;NA;"A";17,84;NA;999,860870850348;0,0999860870850348;10;-9
"2";5;50001;13;2;0;675;341;61;6;"gki";2;1;1;-9;327;130;0;2023;"BZE3";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";31,7;6,55;6,48845117870302;-0,895824369833406;NA;NA;NA;"A";17,84;NA;999,860870850348;0,0999860870850348;13;2
"3";6;50001;14;3;0;1014;352;61;6;"gki";3;1;1;-9;311;130;0;2023;"BZE3";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";30,1;9,94;1,40302951575315;9,84048312726187;NA;NA;NA;"A";17,84;NA;999,860870850348;0,0999860870850348;14;3
"4";10;50001;19;7;0;842;41;61;6;"ela";2;1;253;141;379;130;0;2023;"BZE3";26;204;"ELa";"Europaeische Laerche";"Larix decidua";"Larix";"decidua";"026.005.002";"NB";116;30012;"ELA";"WAHR";"Larix decidua";10;"lae";"ki";"ki";"KI";"LA";"aNB";36,9;8,22;-1,30387833757471;-8,11592886124585;NA;NA;NA;"A";17,84;NA;999,860870850348;0,0999860870850348;19;7
