"plot_ID","inv","inv_year","stand","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Chr_code_ger","tpS_ID","LH_NH","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","DBH_class","Kraft","C_layer","H_dm","H_m","H_method","C_h_dm","D_mm","DBH_h_cm","DBH_cm","BA_m2","CCS_r_m","stand_plot_A_ha","plot_A_ha","compartiment","B_kg_tree","N_kg_tree","C_kg_tree"
140039,"HBI",2011,"A",3,-9,0,1323,25,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,27.4490558318248,"coeff_SP_P",NA,389,130,38.9,0.118847235483465,17.84,0.0999404070914056,0.0999860870850348,"stb",1.99613451339773,0.00966129104484501,0.998067256698865
140039,"HBI",2011,"A",3,-9,0,1323,25,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,27.4490558318248,"coeff_SP_P",NA,389,130,38.9,0.118847235483465,17.84,0.0999404070914056,0.0999860870850348,"sw",510.566844800982,0.414580277978397,255.283422400491
140039,"HBI",2011,"A",3,-9,0,1323,25,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,27.4490558318248,"coeff_SP_P",NA,389,130,38.9,0.118847235483465,17.84,0.0999404070914056,0.0999860870850348,"sb",44.7557513228874,0.216617836402775,22.3778756614437
140039,"HBI",2011,"A",3,-9,0,1323,25,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,27.4490558318248,"coeff_SP_P",NA,389,130,38.9,0.118847235483465,17.84,0.0999404070914056,0.0999860870850348,"fwb",85.5755469602918,0.371654600448547,42.7877734801459
140039,"HBI",2011,"A",3,-9,0,1323,25,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,27.4490558318248,"coeff_SP_P",NA,389,130,38.9,0.118847235483465,17.84,0.0999404070914056,0.0999860870850348,"ndl",42.2415230444637,0,21.1207615222318
140039,"HBI",2011,"A",3,-9,0,1323,25,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,27.4490558318248,"coeff_SP_P",NA,389,130,38.9,0.118847235483465,17.84,0.0999404070914056,0.0999860870850348,"bg",102.428674659055,0.424054713088488,51.2143373295275
140039,"HBI",2011,"A",3,-9,0,1323,25,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,27.4490558318248,"coeff_SP_P",NA,389,130,38.9,0.118847235483465,17.84,0.0999404070914056,0.0999860870850348,"total",810.925076342193,1.45553752700844,405.462538171097
140039,"HBI",2011,"A",3,-9,0,1323,25,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,27.4490558318248,"coeff_SP_P",NA,389,130,38.9,0.118847235483465,17.84,0.0999404070914056,0.0999860870850348,"ag",708.496401683138,1.03148281391995,354.248200841569
140039,"HBI",2011,"A",4,-9,0,1089,65,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",25,3,1,NA,23.9328466802256,"coeff_SP_P",NA,287,130,28.7,0.0646924613208844,12.62,0.0500115280167522,0.0500343869018386,"stw",10.9938806046759,0.00892703105099683,5.49694030233795
140039,"HBI",2011,"A",4,-9,0,1089,65,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",25,3,1,NA,23.9328466802256,"coeff_SP_P",NA,287,130,28.7,0.0646924613208844,12.62,0.0500115280167522,0.0500343869018386,"stb",0.978858465108324,0.00473767497112429,0.489429232554162
