"stand_type","compartiment","stand_component","inv","B_t_ha","C_t_ha","N_t_ha","BA_m2_ha","n_ha","n_SP","plot_ID","stand","dom_SP","SP_code"
"1","ag","DW","HBI",6.19030716661469,3.09515358330735,0.00732437834431444,NA,739.491423620109,NA,"all","all","all","all"
"1","ag","LT","HBI",135.214172218674,67.6070861093369,0.210343496708073,25.7880641582908,577.079041837464,2.20588235294118,"all","all","all","all"
"1","ag","RG","HBI",0.784667659708437,0.392333829854219,0.00292156809331126,NA,9361.3851852238,3.32352941176471,"all","all","all","all"
"1","ag","all","HBI",235.535998719995,117.767999359998,0.360633095759081,NA,NA,NA,"all","all","all","all"
"1","bg","LT","HBI",18.0635948353109,9.03179741765545,0.0730146628613391,25.7880641582908,577.079041837464,2.20588235294118,"all","all","all","all"
"1","bg","RG","HBI",0.520968182773505,0.260484091386753,0.00215680821571416,NA,9361.3851852238,3.32352941176471,"all","all","all","all"
"1","bg","all","HBI",30.1881413963501,15.094070698175,0.122695516393495,NA,NA,NA,"all","all","all","all"
"1","fwb","DW","HBI",3.83900173538933,1.91950086769467,0.0166727845367959,NA,739.491423620109,NA,"all","all","all","all"
"1","fwb","LT","HBI",16.442490070932,8.221245035466,0.0737551488054429,25.7880641582908,577.079041837464,2.20588235294118,"all","all","all","all"
"1","fwb","RG","HBI",2.72324626884599,1.36162313442299,0.0119897245501302,NA,9361.3851852238,3.32352941176471,"all","all","all","all"
"1","ndl","LT","HBI",7.82455982615904,3.91227991307952,0,25.7880641582908,577.079041837464,2.20588235294118,"all","all","all","all"
"1","ndl","RG","HBI",0.682111698589216,0.341055849294608,0,NA,9361.3851852238,3.32352941176471,"all","all","all","all"
"1","sb","DW","HBI",1.3629961973542,0.681498098677102,0.00661978341120148,NA,739.491423620109,NA,"all","all","all","all"
"1","sb","LT","HBI",8.36140983169164,4.18070491584582,0.0416662709822123,25.7880641582908,577.079041837464,2.20588235294118,"all","all","all","all"
"1","stb","DW","HBI",0.232058736331476,0.116029368165738,0.00113108395030378,NA,739.491423620109,NA,"all","all","all","all"
"1","stb","LT","HBI",0.353219797631615,0.176609898815808,0.00174185719718471,25.7880641582908,577.079041837464,2.20588235294118,"all","all","all","all"
"1","stw","DW","HBI",2.85414019471926,1.42707009735963,0.00235024949404606,NA,739.491423620109,NA,"all","all","all","all"
"1","stw","LT","HBI",4.27958435589822,2.13979217794911,0.00370992364943557,25.7880641582908,577.079041837464,2.20588235294118,"all","all","all","all"
"1","sw","DW","HBI",16.3255335357081,8.16276676785404,0.0133227715604888,NA,739.491423620109,NA,"all","all","all","all"
"1","sw","LT","HBI",96.4537217739391,48.2268608869695,0.0858308781073149,25.7880641582908,577.079041837464,2.20588235294118,"all","all","all","all"
"1","total","LT","HBI",151.634727079539,75.8173635397697,0.278652022510906,25.7880641582908,577.079041837464,2.20588235294118,"all","all","all","all"
"1","total","RG","HBI",1.05150168695097,0.525750843475484,NA,NA,9361.3851852238,3.32352941176471,"all","all","all","all"
"1","total","all","HBI",250.964745712434,125.482372856217,0.463674885723872,NA,NA,NA,"all","all","all","all"
"2","ag","DW","HBI",4.72765097910587,2.36382548955293,0.00652597310312501,NA,575.60413514214,NA,"all","all","all","all"
"2","ag","LT","HBI",92.6267011454185,46.3133505727092,0.145071419242475,23.5004578791884,1134.14262771469,2.05,"all","all","all","all"
"2","ag","RG","HBI",0.90988668696041,0.454943343480205,0.00416997594706226,NA,5183.67758061891,4,"all","all","all","all"
"2","ag","all","HBI",143.37387871914,71.68693935957,0.228306499453011,NA,NA,NA,"all","all","all","all"
"2","bg","LT","HBI",16.3126569536643,8.15632847683213,0.0312679078317339,23.5004578791884,1134.14262771469,2.05,"all","all","all","all"
"2","bg","RG","HBI",0.10224023550647,0.051120117753235,0.000199074774307382,NA,5183.67758061891,4,"all","all","all","all"
"2","bg","all","HBI",25.7278425141329,12.8639212570665,0.0483263925011308,NA,NA,NA,"all","all","all","all"
"2","fwb","DW","HBI",2.35248369120018,1.17624184560009,0.0102168366708824,NA,575.60413514214,NA,"all","all","all","all"
"2","fwb","LT","HBI",12.556041822237,6.27802091111849,0.0540681034670556,23.5004578791884,1134.14262771469,2.05,"all","all","all","all"
"2","fwb","RG","HBI",1.71942291914856,0.859711459574282,0.00878638326953843,NA,5183.67758061891,4,"all","all","all","all"
"2","ndl","LT","HBI",4.18866441464483,2.09433220732242,0,23.5004578791884,1134.14262771469,2.05,"all","all","all","all"
"2","ndl","RG","HBI",0.0926013904899803,0.0463006952449901,0,NA,5183.67758061891,4,"all","all","all","all"
"2","sb","DW","HBI",0.921936548866378,0.460968274433189,0.00446217289651327,NA,575.60413514214,NA,"all","all","all","all"
"2","sb","LT","HBI",6.90323684769049,3.45161842384525,0.0310372537424227,23.5004578791884,1134.14262771469,2.05,"all","all","all","all"
"2","stb","DW","HBI",0.0808488271851987,0.0404244135925994,0.000391308323576362,NA,575.60413514214,NA,"all","all","all","all"
"2","stb","LT","HBI",0.235299883489222,0.117649941744611,0.00104915586388686,23.5004578791884,1134.14262771469,2.05,"all","all","all","all"
"2","stw","DW","HBI",0.927727424010759,0.46386371200538,0.000753314668296736,NA,575.60413514214,NA,"all","all","all","all"
"2","stw","LT","HBI",2.24183437670313,1.12091718835157,0.00190494863520648,23.5004578791884,1134.14262771469,2.05,"all","all","all","all"
