"","plot_ID","tree_ID","tree_inventory_status","multi_stem","Dist_cm","azi_gon","age","age_meth","SP_code","DBH_class","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","DBH_cm","inv","old_tree_ID","new_tree_inventory_status","plot_inventory_status","inv_year"
"1",50001,1,1,NA,409,157,72,6,"gki",NA,2,1,NA,NA,540,130,54,"pre",1,1,-9,1970
"2",50001,2,-9,NA,1457,165,72,6,"gki",NA,2,1,NA,NA,315,130,31.5,"pre",2,-9,-9,1970
"3",50001,3,-9,NA,1018,188,72,6,"gki",NA,2,1,NA,NA,328,130,32.8,"pre",3,-9,-9,1970
"4",50001,4,-9,NA,610,212,72,6,"gki",NA,2,1,NA,NA,384,130,38.4,"pre",4,-9,-9,1970
"5",50001,5,-9,NA,1674,218,72,6,"gki",NA,2,1,NA,NA,362,130,36.2,"pre",5,-9,-9,1970
"6",50001,6,-9,NA,1138,238,72,6,"gki",NA,3,1,NA,NA,273,130,27.3,"pre",6,-9,-9,1970
"7",50001,8,-9,NA,1242,272,72,6,"gki",NA,2,1,NA,NA,368,130,36.8,"pre",8,-9,-9,1970
"8",50001,8,5,NA,1262,272,72,6,"gki",NA,2,1,NA,NA,378,130,NA,"pre",8,0,-9,1970
"9",50001,10,-9,NA,789,311,72,6,"gki",NA,2,1,214,167,323,130,32.3,"pre",10,-9,-9,1970
"10",50001,11,-9,NA,1275,313,72,6,"gki",NA,2,1,236,144,430,130,43,"pre",11,-9,-9,1970
"11",50001,12,-9,NA,1366,341,72,6,"gki",NA,2,1,233,137,366,130,36.6,"pre",12,-9,-9,1970
"12",50001,13,-9,NA,655,341,72,6,"gki",NA,2,1,NA,NA,317,130,31.7,"pre",13,-9,-9,1970
"13",50001,14,-9,NA,994,352,72,6,"gki",NA,3,1,NA,NA,301,130,30.1,"pre",14,-9,-9,1970
"14",50001,15,-9,NA,1110,391,72,6,"gki",NA,2,1,225,144,248,130,24.8,"pre",15,-9,-9,1970
"15",50001,17,-9,NA,875,20,72,6,"gki",NA,3,1,208,160,263,130,26.3,"pre",17,-9,-9,1970
"16",50001,18,-9,NA,587,20,72,6,"gki",NA,2,1,NA,NA,365,130,36.5,"pre",18,-9,-9,1970
"17",50001,19,-9,NA,822,41,72,6,"ela",NA,2,1,243,141,369,130,36.9,"pre",19,-9,-9,1970
"18",50001,20,-9,NA,1084,64,72,6,"gki",NA,2,1,NA,NA,364,130,36.4,"pre",20,-9,-9,1970
