"plot_ID","inv","stand","SP_code","compartiment","B_t_ha","C_t_ha","N_t_ha","BA_m2_ha","stand_component","BA_percent","mean_DBH_cm","sd_DBH_cm","Dg_cm","mean_BA_m2","mean_H_m","sd_H_m","Hg_m","n_ha","n_SP","plot_A_ha","dw_sp","dw_type","decay","inv_year","ST_LY_type","mean_d_cm","sd_d_cm","mean_l_m","sd_l_m","n_dec","n_dw_TY","dom_SP","stand_type","n_stands"
"140037","BZE3","A","gfi","stw",4.88143009473511,2.44071504736756,0.00396372123692491,24.0703927541971,"LT",100,36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.5092371305413,2.19307430291483,24.5092371305413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","gfi","sw",101.412794518322,50.7063972591608,0.0823471891488771,24.0703927541971,"LT",100,36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.5092371305413,2.19307430291483,24.5092371305413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","gfi","total",168.173559012722,84.086779506361,0.311306848892051,24.0703927541971,"LT",100,36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.5092371305413,2.19307430291483,24.5092371305413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","gfi","ag",0.00756798682145283,0.00378399341072642,3.28677667655697e-05,NA,"RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537721281773736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","gfi","bg",0,0,0,NA,"RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537721281773736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","gfi","total",0.00756798682145283,0.00378399341072642,3.28677667655697e-05,NA,"RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537721281773736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","rbu","ag",0.2919838640434,0.1459919320217,0.00134341702303383,NA,"RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537721281773736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","rbu","bg",1.04986883542541e-07,5.24934417712708e-08,3.18110257133901e-10,NA,"RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537721281773736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","rbu","fwb",0.289791997512141,0.144895998756071,0.00133333298055336,NA,"RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537721281773736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","rbu","ndl",1.59841307433204e-07,7.99206537166018e-08,0,NA,"RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537721281773736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
