"";"plot_ID";"inv";"stand";"SP_code";"compartiment";"B_t_ha";"C_t_ha";"N_t_ha";"BA_m2_ha";"stand_component";"dom_SP";"stand_type";"n_stands";"BA_percent";"mean_DBH_cm";"sd_DBH_cm";"Dg_cm";"mean_BA_m2";"mean_H_m";"sd_H_m";"Hg_m";"n_ha";"n_SP"
"26";"140001";"HBI";"A";"rbu";"sw";3,52245254065465;1,76122627032733;0,00470247414177396;0,725934565344165;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";"140001";"HBI";"A";"rbu";"total";5,69174605246185;2,84587302623093;0,0137074629390158;0,725934565344165;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";"140001";"HBI";"A";"sbi";"ag";45,0128933969057;22,5064466984529;0,13690267028976;9,49137225426397;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";"140001";"HBI";"A";"sbi";"bg";2,66470963258204;1,33235481629102;0,00985942564055354;9,49137225426397;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";"140001";"HBI";"A";"sbi";"fwb";12,8322060554648;6,41610302773239;0,0777246720779502;9,49137225426397;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"31";"140001";"HBI";"A";"sbi";"ndl";4,11142169795096;2,05571084897548;0;9,49137225426397;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";"140001";"HBI";"A";"sbi";"sb";1,78264169227763;0,891320846138817;0,0109293762153542;9,49137225426397;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"33";"140001";"HBI";"A";"sbi";"stb";0,0457061151845639;0,022853057592282;0,000280224192196562;9,49137225426397;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"34";"140001";"HBI";"A";"sbi";"stw";0,819089140112305;0,409544570056152;0,00149729494812529;9,49137225426397;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"35";"140001";"HBI";"A";"sbi";"sw";25,4218286959154;12,7109143479577;0,0464711028561334;9,49137225426397;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"36";"140001";"HBI";"A";"sbi";"total";47,6776030294877;23,8388015147439;0,146762095930313;9,49137225426397;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"37";"140001";"HBI";"A";"vbe";"ag";5,40983954475559;2,7049197723778;0,0153908615681779;1,17817080647789;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"38";"140001";"HBI";"A";"vbe";"bg";0,589558076123295;0,294779038061648;0,00178636097065359;1,17817080647789;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"39";"140001";"HBI";"A";"vbe";"fwb";2,065054090606;1,032527045303;0,0095013138708782;1,17817080647789;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"40";"140001";"HBI";"A";"vbe";"ndl";0,163754352232804;0,0818771761164018;0;1,17817080647789;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"41";"140001";"HBI";"A";"vbe";"sb";0,270493515651192;0,135246757825596;0,00195485663761117;1,17817080647789;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"42";"140001";"HBI";"A";"vbe";"stb";0,0083373017691713;0,00416865088458566;6,0253679885801e-05;1,17817080647789;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"43";"140001";"HBI";"A";"vbe";"stw";0,113501482586578;0,056750741293289;0,000151524479253082;1,17817080647789;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"44";"140001";"HBI";"A";"vbe";"sw";2,78869880190985;1,39434940095492;0,00372291290054965;1,17817080647789;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"45";"140001";"HBI";"A";"vbe";"total";5,99939762087889;2,99969881043944;0,0171772225388315;1,17817080647789;"LT";"sbi";"10";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"46";"140001";"HBI";"all";"all";"ag";75,1128286484249;37,5564143242125;0,193340222604466;15,6217711669749;"LT";"sbi";"10";"1";NA;21,0193498452012;11,9835406701916;24,1866894496867;0,0459454742004001;13,3153123099418;5,64235769077012;13,3153123099418;340,017993760978;4
"47";"140001";"HBI";"all";"all";"bg";7,84600230423598;3,92300115211799;0,0204115152958698;15,6217711669749;"LT";"sbi";"10";"1";NA;21,0193498452012;11,9835406701916;24,1866894496867;0,0459454742004001;13,3153123099418;5,64235769077012;13,3153123099418;340,017993760978;4
"48";"140001";"HBI";"all";"all";"fwb";18,7619751705812;9,38098758529062;0,10355182151083;15,6217711669749;"LT";"sbi";"10";"1";NA;21,0193498452012;11,9835406701916;24,1866894496867;0,0459454742004001;13,3153123099418;5,64235769077012;13,3153123099418;340,017993760978;4
"49";"140001";"HBI";"all";"all";"ndl";5,41047472946571;2,70523736473286;0;15,6217711669749;"LT";"sbi";"10";"1";NA;21,0193498452012;11,9835406701916;24,1866894496867;0,0459454742004001;13,3153123099418;5,64235769077012;13,3153123099418;340,017993760978;4
"50";"140001";"HBI";"all";"all";"sb";3,79504346807603;1,89752173403801;0,0211717953839107;15,6217711669749;"LT";"sbi";"10";"1";NA;21,0193498452012;11,9835406701916;24,1866894496867;0,0459454742004001;13,3153123099418;5,64235769077012;13,3153123099418;340,017993760978;4
"51";"140001";"HBI";"all";"all";"stb";0,10959431200931;0,0547971560046552;0,000600395154221403;15,6217711669749;"LT";"sbi";"10";"1";NA;21,0193498452012;11,9835406701916;24,1866894496867;0,0459454742004001;13,3153123099418;5,64235769077012;13,3153123099418;340,017993760978;4
"52";"140001";"HBI";"all";"all";"stw";1,49774976161249;0,748874880806244;0,0021585417894962;15,6217711669749;"LT";"sbi";"10";"1";NA;21,0193498452012;11,9835406701916;24,1866894496867;0,0459454742004001;13,3153123099418;5,64235769077012;13,3153123099418;340,017993760978;4
"53";"140001";"HBI";"all";"all";"sw";45,5379912066802;22,7689956033401;0,065857668766008;15,6217711669749;"LT";"sbi";"10";"1";NA;21,0193498452012;11,9835406701916;24,1866894496867;0,0459454742004001;13,3153123099418;5,64235769077012;13,3153123099418;340,017993760978;4
"54";"140001";"HBI";"all";"all";"total";82,9588309526609;41,4794154763305;0,213751737900336;15,6217711669749;"LT";"sbi";"10";"1";NA;21,0193498452012;11,9835406701916;24,1866894496867;0,0459454742004001;13,3153123099418;5,64235769077012;13,3153123099418;340,017993760978;4
"55";"140001";"HBI";"all";"gki";"ag";19,5049833452331;9,75249167261654;0,0288743278910345;4,22629354088892;"LT";"sbi";"10";"1";27,0538692169776;29,7833333333333;3,16571499229311;29,9483165915326;0,070442492174811;19,35;0,888247178913312;19,35;NA;NA
"56";"140001";"HBI";"all";"gki";"bg";4,08510090459938;2,04255045229969;0,00723062860114091;4,22629354088892;"LT";"sbi";"10";"1";27,0538692169776;29,7833333333333;3,16571499229311;29,9483165915326;0,070442492174811;19,35;0,888247178913312;19,35;NA;NA
"57";"140001";"HBI";"all";"gki";"fwb";2,68088078410905;1,34044039205453;0,0108790142219145;4,22629354088892;"LT";"sbi";"10";"1";27,0538692169776;29,7833333333333;3,16571499229311;29,9483165915326;0,070442492174811;19,35;0,888247178913312;19,35;NA;NA
"58";"140001";"HBI";"all";"gki";"ndl";1,02830961028471;0,514154805142357;0;4,22629354088892;"LT";"sbi";"10";"1";27,0538692169776;29,7833333333333;3,16571499229311;29,9483165915326;0,070442492174811;19,35;0,888247178913312;19,35;NA;NA
"59";"140001";"HBI";"all";"gki";"sb";1,48933811119751;0,744669055598755;0,00646223806448601;4,22629354088892;"LT";"sbi";"10";"1";27,0538692169776;29,7833333333333;3,16571499229311;29,9483165915326;0,070442492174811;19,35;0,888247178913312;19,35;NA;NA
"60";"140001";"HBI";"all";"gki";"stb";0,0490128242477843;0,0245064121238922;0,000212666644411136;4,22629354088892;"LT";"sbi";"10";"1";27,0538692169776;29,7833333333333;3,16571499229311;29,9483165915326;0,070442492174811;19,35;0,888247178913312;19,35;NA;NA
"61";"140001";"HBI";"all";"gki";"stw";0,452430847193777;0,226215423596888;0,000359230092671859;4,22629354088892;"LT";"sbi";"10";"1";27,0538692169776;29,7833333333333;3,16571499229311;29,9483165915326;0,070442492174811;19,35;0,888247178913312;19,35;NA;NA
