"plot_ID","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","inv_year","inv","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group","DBH_cm","CCS_r_m","rem_reason","dist_m","X_tree","Y_tree","e_ID","e_type","e_form","stand","inter_stat","area_m2","stand_plot_A_ha","plot_A_ha","old_tree_inventory_status","old_tree_ID","DBH_class","H_m","H_method","BA_m2"
140254,57,0,NA,1181,176,26,5,"bpa",2,1,124,15,172,130,2022,"BZE3",127,"BPa","Balsampappel","Populus balsamifera","Populus","balsamifera","","LB",230,30011,"PA","FALSCH","Populus balsamifera",20,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Populus balsamifera","Populus balsamifera","17,2","12,62","LT excluded during forest edges allocation","11,81","4,3475509672","-10,9806602983",1,1,2,"warning","partly intersecting","35,5091506282616","0,00355091506282616","0,0500343869018386",NA,NA,NA,NA,NA,NA
140254,62,0,NA,1104,212,26,5,"hbu",2,1,116,14,158,130,2022,"BZE3",109,"HBu","Hainbuche","Carpinus betulus","Carpinus","betulus","35.001.001","LB",13,30011,"HBU","WAHR","Carpinus betulus",16,"bu","aLh","bu","BU","BU","aLB","ES","aLh","Carpinus betulus","Carpinus betulus","15,8","12,62","LT excluded during forest edges allocation","11,04","-2,068689713","-10,844451248",1,1,2,"warning","partly intersecting","35,5091506282616","0,00355091506282616","0,0500343869018386",NA,NA,NA,NA,NA,NA
140254,63,0,NA,1192,227,26,5,"sli",2,1,128,64,133,130,2022,"BZE3",124,"SLi","Sommer-Linde","Tilia platyphyllos","Tilia","platyphyllos","105.001.003","LB",69,30011,"LI","WAHR","Tilia spp.",27,"bu","aLh","bu","BU","BU","aLB","ES","aLh","Tilia spp.","Tilia spp.","13,3","12,62","LT excluded during forest edges allocation","11,92","-4,9052511546","-10,8639270575",1,1,2,"warning","partly intersecting","35,5091506282616","0,00355091506282616","0,0500343869018386",NA,NA,NA,NA,NA,NA
140037,1,2,0,335,53,64,1,"gfi",2,1,-9,-9,395,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","39.5","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","3.35","2.4777641682","2.2545919203",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,1,NA,NA,NA,NA
140037,2,2,0,1332,42,64,1,"gfi",1,1,-9,-9,461,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","46.1","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","13.32","8.1639219547","10.5248647648",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,2,NA,NA,NA,NA
140037,3,2,0,1415,70,64,1,"gfi",2,1,-9,-9,325,150,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","32.5877192982456","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","14.15","12.6077423173","6.4239655713",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,3,NA,NA,NA,NA
140037,4,2,0,1564,88,64,1,"gfi",2,1,-9,-9,403,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","40.3","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","15.64","15.3629726014","2.9306437601",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,4,NA,NA,NA,NA
140037,5,2,0,1290,81,64,1,"gfi",2,1,-9,-9,321,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","32.1","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","12.9","12.3297298909","3.7931201955",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,5,NA,NA,NA,NA
140037,6,2,0,1024,83,64,1,"gfi",3,1,-9,-9,224,150,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","22.4877192982456","12.62","LT excluded during tree inventory status sorting (Baumkennzahl)","10.24","9.877067965","2.7020600316",1,1,1,"A","0","500.115280167522","0.0500115280167522","0.0500343869018386",2,6,NA,NA,NA,NA
140037,7,2,0,678,72,64,1,"gfi",2,1,-9,-9,377,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","37.7","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","6.78","6.1347274157","2.8867835968",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,7,NA,NA,NA,NA
140037,8,2,0,1378,109,64,1,"gfi",2,1,-9,-9,299,150,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","29.9877192982456","12.62","LT excluded during tree inventory status sorting (Baumkennzahl)","13.78","13.6425260033","-1.9416189761",1,1,1,"A","0","500.115280167522","0.0500115280167522","0.0500343869018386",2,8,NA,NA,NA,NA
140037,9,2,0,1634,122,64,1,"gfi",2,1,-9,-9,325,190,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","32.7631578947368","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","16.34","15.3739917647","-5.5349776168",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,9,NA,NA,NA,NA
140037,10,2,0,1099,122,64,1,"gfi",2,1,-9,-9,334,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","33.4","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","10.99","10.3402796508","-3.7227297435",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,10,NA,NA,NA,NA
140037,11,2,0,851,139,64,1,"gfi",3,1,-9,-9,258,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","25.8","12.62","LT excluded during tree inventory status sorting (Baumkennzahl)","8.51","6.9624540953","-4.8932946949",1,1,1,"A","0","500.115280167522","0.0500115280167522","0.0500343869018386",2,11,NA,NA,NA,NA
140037,14,2,0,879,162,64,1,"gfi",3,1,128,81,167,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","16.7","12.62","LT excluded during tree inventory status sorting (Baumkennzahl)","8.79","4.9407128913","-7.2700382479",1,1,1,"A","0","500.115280167522","0.0500115280167522","0.0500343869018386",2,14,NA,NA,NA,NA
140037,15,2,0,1671,145,64,1,"gfi",1,1,-9,-9,404,200,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","40.7070175438596","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","16.71","12.7063836852","-10.8522768876",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,15,NA,NA,NA,NA
140037,17,2,0,1021,188,64,1,"gfi",2,1,-9,-9,428,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","42.8","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","10.21","1.9131632219","-10.0291528299",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,17,NA,NA,NA,NA
140037,19,2,0,1100,228,64,1,"gfi",2,1,-9,-9,369,170,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","37.0754385964912","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","11","-4.6835722072","-9.9530975771",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,19,NA,NA,NA,NA
140037,23,2,0,1209,250,64,1,"gfi",2,1,-9,-9,350,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","35","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","12.09","-8.5489209845","-8.5489209845",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,23,NA,NA,NA,NA
140037,24,2,0,1141,278,64,1,"gfi",2,1,-9,-9,327,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","32.7","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","11.41","-10.7354495738","-3.86499967",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,24,NA,NA,NA,NA
140037,29,2,0,1713,326,64,1,"gfi",2,1,-9,-9,359,150,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","35.9877192982456","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","17.13","-15.721136738","6.8031433666",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,29,NA,NA,NA,NA
140037,35,2,0,1240,2,64,1,"gfi",2,1,-9,-9,325,150,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","32.5877192982456","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","12.4","0.3894934126","12.3938813485",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,35,NA,NA,NA,NA
140037,38,2,0,576,9,64,1,"gfi",2,1,-9,-9,322,150,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","32.2877192982456","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","5.76","0.811591096","5.7025362684",1,1,1,"A","0","999.404070914056","0.0999404070914056","0.0999860870850348",2,38,NA,NA,NA,NA
140038,7,2,0,1672,194,101,1,"gfi",2,1,279,156,520,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","52","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","16.72","1.5734909987","-16.6457960482",NA,NA,NA,"A",NA,"999.860870850348","0.0999860870850348","0.0999860870850348",2,7,NA,NA,NA,NA
140038,8,3,0,1352,190,101,1,"gfi",3,1,-9,-9,329,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","32.9","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","13.52","2.1149939673","-13.3535463648",NA,NA,NA,"A",NA,"999.860870850348","0.0999860870850348","0.0999860870850348",3,8,NA,NA,NA,NA
140038,10,2,0,812,198,101,1,"gfi",2,1,-9,-9,443,170,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","44.4754385964912","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","8.12","0.2550553637","-8.1159932702",NA,NA,NA,"A",NA,"999.860870850348","0.0999860870850348","0.0999860870850348",2,10,NA,NA,NA,NA
140038,16,2,0,567,279,101,1,"gfi",4,1,192,168,184,150,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","18.4877192982456","12.62","LT excluded during tree inventory status sorting (Baumkennzahl)","5.67","-5.3643039846","-1.8366117612",NA,NA,NA,"A",NA,"500.343869018386","0.0500343869018386","0.0500343869018386",2,16,NA,NA,NA,NA
140038,21,2,0,1639,313,101,1,"gfi",2,1,-9,-9,384,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","38.4","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","16.39","-16.0494618661","3.3236837709",NA,NA,NA,"A",NA,"999.860870850348","0.0999860870850348","0.0999860870850348",2,21,NA,NA,NA,NA
140038,28,2,0,1346,56,101,1,"gfi",2,1,-9,-9,422,150,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","42.2877192982456","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","13.46","10.3711082478","8.579726902",NA,NA,NA,"A",NA,"999.860870850348","0.0999860870850348","0.0999860870850348",2,28,NA,NA,NA,NA
140039,1,7,0,266,372,110,1,"gfi",3,1,201,138,229,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","22.9","12.62","LT excluded during tree inventory status sorting (Baumkennzahl)","2.66","-1.1325729156","2.4068399596",1,2,1,"B","partly intersecting","281.541177072088","0.0281541177072088","0.0500343869018386",7,1,NA,NA,NA,NA
140039,1,7,0,266,372,110,1,"gfi",3,1,201,138,229,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","22.9","12.62","LT excluded during tree inventory status sorting (Baumkennzahl)","2.66","-1.1325729156","2.4068399596",2,3,2,"B","partly intersecting","281.541177072088","0.0281541177072088","0.0500343869018386",7,1,NA,NA,NA,NA
140039,2,7,0,735,10,110,1,"gfi",2,1,271,149,434,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","43.4","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","7.35","1.149793318","7.2595093034",1,2,1,"B","partly intersecting","426.368751405637","0.0426368751405637","0.0999860870850348",7,2,NA,NA,NA,NA
140039,2,7,0,735,10,110,1,"gfi",2,1,271,149,434,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","43.4","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","7.35","1.149793318","7.2595093034",2,3,2,"B","partly intersecting","426.368751405637","0.0426368751405637","0.0999860870850348",7,2,NA,NA,NA,NA
140039,3,7,0,1323,25,110,1,"gfi",2,1,-9,-9,389,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","38.9","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","13.23","5.0629018102","12.2229262151",1,2,1,"A","0","573.035319508418","0.0573035319508418","0.0999860870850348",7,3,NA,NA,NA,NA
140039,3,7,0,1323,25,110,1,"gfi",2,1,-9,-9,389,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","38.9","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","13.23","5.0629018102","12.2229262151",2,3,2,"A","0","573.035319508418","0.0573035319508418","0.0999860870850348",7,3,NA,NA,NA,NA
140039,4,7,0,1089,65,110,1,"gfi",3,1,-9,-9,287,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","28.7","12.62","LT excluded during tree inventory status sorting (Baumkennzahl)","10.89","9.2852513898","5.6900093698",1,2,1,"A","0","218.574103095434","0.0218574103095434","0.0500343869018386",7,4,NA,NA,NA,NA
140039,4,7,0,1089,65,110,1,"gfi",3,1,-9,-9,287,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","28.7","12.62","LT excluded during tree inventory status sorting (Baumkennzahl)","10.89","9.2852513898","5.6900093698",2,3,2,"A","0","218.574103095434","0.0218574103095434","0.0500343869018386",7,4,NA,NA,NA,NA
140039,5,7,0,1360,71,110,1,"gfi",2,1,-9,-9,350,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","35","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","13.6","12.2131750303","5.98317271",1,2,1,"A","0","573.035319508418","0.0573035319508418","0.0999860870850348",7,5,NA,NA,NA,NA
140039,5,7,0,1360,71,110,1,"gfi",2,1,-9,-9,350,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","35","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","13.6","12.2131750303","5.98317271",2,3,2,"A","0","573.035319508418","0.0573035319508418","0.0999860870850348",7,5,NA,NA,NA,NA
140039,6,7,0,1151,105,110,1,"gfi",3,1,-9,-9,249,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","24.9","12.62","LT excluded during tree inventory status sorting (Baumkennzahl)","11.51","11.4745185113","-0.9030641918",1,2,1,"B","partly intersecting","281.541177072088","0.0281541177072088","0.0500343869018386",7,6,NA,NA,NA,NA
140039,6,7,0,1151,105,110,1,"gfi",3,1,-9,-9,249,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","24.9","12.62","LT excluded during tree inventory status sorting (Baumkennzahl)","11.51","11.4745185113","-0.9030641918",2,3,2,"B","partly intersecting","281.541177072088","0.0281541177072088","0.0500343869018386",7,6,NA,NA,NA,NA
140039,7,7,0,697,86,110,1,"gfi",2,1,-9,-9,416,130,2022,"BZE3",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","41.6","17.84","LT excluded during tree inventory status sorting (Baumkennzahl)","6.97","6.8021398307","1.5204583925",1,2,1,"B","partly intersecting","426.368751405637","0.0426368751405637","0.0999860870850348",7,7,NA,NA,NA,NA
