"plot_ID","CCS_DW_inv_status","dist_cm","azi","inv_year","inv","plot_A_ha"
140037,4,-9,-9,2022,"BZE3",0.0250171934509193
140038,1,-9,-9,2022,"BZE3",0.0500343869018386
140039,1,-9,-9,2022,"BZE3",0.0500343869018386
140040,1,-9,-9,2022,"BZE3",0.0500343869018386
140041,1,-9,-9,2022,"BZE3",0.0500343869018386
140042,1,-9,-9,2022,"BZE3",0.0500343869018386
140043,1,-9,-9,2022,"BZE3",0.0500343869018386
140044,1,-9,-9,2022,"BZE3",0.0500343869018386
140045,1,-9,-9,2022,"BZE3",0.0500343869018386
140046,4,-9,-9,2022,"BZE3",0.0250171934509193
140047,4,-9,-9,2022,"BZE3",0.0250171934509193
140048,1,-9,-9,2022,"BZE3",0.0500343869018386
140049,4,-9,-9,2022,"BZE3",0.0250171934509193
140050,5,-9,-9,2022,"BZE3",0.0125085967254597
140051,1,-9,-9,2022,"BZE3",0.0500343869018386
140052,1,-9,-9,2022,"BZE3",0.0500343869018386
140053,1,-9,-9,2022,"BZE3",0.0500343869018386
140054,1,-9,-9,2022,"BZE3",0.0500343869018386
140055,4,-9,-9,2022,"BZE3",0.0250171934509193
140056,1,-9,-9,2022,"BZE3",0.0500343869018386
140057,1,-9,-9,2022,"BZE3",0.0500343869018386
140058,4,-9,-9,2022,"BZE3",0.0250171934509193
140059,1,-9,-9,2022,"BZE3",0.0500343869018386
140060,4,-9,-9,2022,"BZE3",0.0250171934509193
140061,1,-9,-9,2022,"BZE3",0.0500343869018386
140062,1,-9,-9,2022,"BZE3",0.0500343869018386
140063,1,-9,-9,2022,"BZE3",0.0500343869018386
140064,1,-9,-9,2022,"BZE3",0.0500343869018386
140065,1,-9,-9,2022,"BZE3",0.0500343869018386
140067,4,-9,-9,2022,"BZE3",0.0250171934509193
140068,1,-9,-9,2022,"BZE3",0.0500343869018386
140187,1,-9,-9,2022,"BZE3",0.0500343869018386
140252,1,-9,-9,2022,"BZE3",0.0500343869018386
140254,1,-9,-9,2022,"BZE3",0.0500343869018386
140315,1,-9,-9,2022,"BZE3",0.0500343869018386
140316,1,-9,-9,2022,"BZE3",0.0500343869018386
