"plot_ID","CCS_nr","CCS_position","CCS_dist","CCS_RG_inv_status","CCS_max_dist_cm","inv_year","inv","e_ID","e_form","CCS_gon","stand","area_m2"
140037,1,"n",1600,1,172,2022,"BZE3",1,1,0,"A","9.2898415769475"
140037,2,"o",1600,1,285,2022,"BZE3",1,1,100,"A","25.5059282749987"
140037,3,"s",1600,1,152,2022,"BZE3",1,1,200,"A","7.25501959822185"
140037,4,"w",1600,1,193,2022,"BZE3",1,1,300,"A","11.6967722045605"
140038,1,"n",1600,1,240,2022,"BZE3",NA,NA,0,"A","18.0955736846772"
140038,2,"o",1600,1,100,2022,"BZE3",NA,NA,100,"A","3.14159265358979"
140038,3,"s",1600,1,250,2022,"BZE3",NA,NA,200,"A","19.6349540849362"
140038,4,"w",1600,1,178,2022,"BZE3",NA,NA,300,"A","9.9538221636339"
140039,1,"n",1600,1,387,2022,"BZE3",1,1,0,"B","47.0298229832967"
140039,1,"n",1600,1,387,2022,"BZE3",2,2,0,"B","47.0298229832967"
140039,2,"o",1600,1,130,2022,"BZE3",1,1,100,"A","5.30686596303451"
140039,2,"o",1600,1,130,2022,"BZE3",2,2,100,"A","5.30686596303451"
140039,3,"s",1600,1,120,2022,"BZE3",1,1,200,"A","4.52182661939035"
140039,3,"s",1600,1,120,2022,"BZE3",2,2,200,"A","4.52182661939035"
140039,4,"w",1600,1,279,2022,"BZE3",1,1,300,"A","24.4432990194419"
140039,4,"w",1600,1,279,2022,"BZE3",2,2,300,"A","24.4432990194419"
140040,1,"n",1600,1,355,2022,"BZE3",NA,NA,0,"A","39.5919214168654"
140040,2,"o",1600,1,146,2022,"BZE3",NA,NA,100,"A","6.696618900392"
140040,3,"s",1600,1,110,2022,"BZE3",NA,NA,200,"A","3.80132711084365"
140040,4,"w",1600,1,164,2022,"BZE3",NA,NA,300,"A","8.44962760109511"
140041,1,"n",1600,1,267,2022,"BZE3",NA,NA,0,"A","22.3960998681763"
