"plot_ID";"tree_ID";"tree_inventory_status";"multi_stem";"dist_cm";"azi_gon";"age";"age_meth";"SP_code";"Kraft";"C_layer";"H_dm";"C_h_dm";"D_mm";"DBH_h_cm";"inv_year";"inv";"Nr_code";"Chr_code_ger";"name";"bot_name";"bot_genus";"bot_species";"Flora_EU";"LH_NH";"IPC";"WZE";"BWI";"BZE_al";"tpS_SP_com_name";"tpS_ID";"H_SP_group";"BWI_SP_group";"Bio_SP_group";"N_SP_group";"N_bg_SP_group";"N_f_SP_group_MoMoK";"RG_Wolff_bio";"BWI_comparisson_group";"bark_type_SP_group";"fruit_type_SP_group";"DBH_cm";"CCS_r_m";"dist_m";"X_tree";"Y_tree";"e_ID";"e_type";"e_form";"stand";"inter_stat";"area_m2";"stand_plot_A_ha";"plot_A_ha"
140056;34;-9;0;1222;116;64;1;"gfi";3;1;-9;-9;234;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";23,4;12,62;12,22;2,89200222691158;-11,872856569484;1;1;2;"warning";"partly intersecting";93,3946357915584;0,00933946357915584;0,0500343869018386
140056;37;-9;0;1020;147;64;1;"gfi";4;1;-9;-9;138;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";13,8;12,62;10,2;6,21224902320958;-8,08999147549808;1;1;2;"warning";"partly intersecting";93,3946357915584;0,00933946357915584;0,0500343869018386
140056;38;-9;0;1174;153;64;1;"gfi";3;1;-9;-9;194;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";19,4;12,62;11,74;9,46714281830421;-6,94268009185437;1;1;2;"warning";"partly intersecting";93,3946357915584;0,00933946357915584;0,0500343869018386
140056;41;-9;0;742;153;64;1;"gfi";2;1;-9;-9;299;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";29,9;12,62;7,42;5,98349230935411;-4,38796305635089;1;1;2;"warning";"partly intersecting";93,3946357915584;0,00933946357915584;0,0500343869018386
140056;45;-9;0;1193;171;64;1;"gfi";4;1;-9;-9;124;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";12,4;12,62;11,93;11,6507290545667;2,56620585633234;1;1;2;"warning";"partly intersecting";93,3946357915584;0,00933946357915584;0,0500343869018386
140056;47;-9;0;1036;191;64;1;"gfi";3;1;-9;-9;191;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";19,1;12,62;10,36;6,16325256206038;-8,3272995536522;1;1;2;"warning";"partly intersecting";93,3946357915584;0,00933946357915584;0,0500343869018386
140056;50;-9;0;693;203;64;1;"gfi";2;1;-9;-9;235;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";23,5;12,62;6,93;6,46783622215704;-2,48837187802656;1;1;2;"warning";"partly intersecting";93,3946357915584;0,00933946357915584;0,0500343869018386
140056;51;-9;0;1122;204;64;1;"gfi";2;1;238;109;294;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";29,4;12,62;11,22;2,26779043148952;-10,9884269374121;1;1;2;"warning";"partly intersecting";93,3946357915584;0,00933946357915584;0,0500343869018386
140056;52;-9;0;1181;210;64;1;"gfi";3;1;-9;-9;210;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";21;12,62;11,81;5,52375570162798;-10,4385929582838;1;1;2;"warning";"partly intersecting";93,3946357915584;0,00933946357915584;0,0500343869018386
140056;53;-9;0;1719;203;64;1;"gfi";1;1;-9;-9;395;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";39,5;17,84;17,19;16,04359374587;-6,17245491822172;1;1;2;"warning";"partly intersecting";265,726172457322;0,0265726172457322;0,0999860870850348
