"";"plot_ID";"LT_RMS_DBH";"LT_FSI_DBH_RMS";"LT_sd_DBH_cm";"LT_FSI_DBH_SD";"LT_sd_H_m";"LT_FSI_H_SD";"LT_n_SP";"LT_FSI_n_SP";"inv";"LT_n_bark_TY";"LT_FSI_bark_TY";"LT_Vm340_plot";"LT_FSI_V40";"LT_n_fruit_TY";"LT_FSI_fruit_TY";"DW_n_dec";"DW_FSI_n_dec";"DW_LY_mean_D_cm";"DW_FSI_LY_mean_D_cm";"DW_ST_mean_D_cm";"DW_FSI_ST_mean_D_cm";"RG_n_SP";"RG_FSI_n_SP";"FSI_sum";"FSI_total"
"117";50121;25,964578714589;0,332168744523485;11,3508306580762;0,492443442788598;5,49144273080176;0,465234310733034;3;0,5;"HBI";1;0,25;16,9883106505649;0,221670316211358;3;0,6;4;0,8;25,2727272727273;0,526515151515151;32,8571428571429;0,529953917050691;5;0,555555555555556;4,71798588282232;0,428907807529302
"118";50122;36,9839611302132;0,47314135427222;10,5753903977687;0,458801810474137;2,04166395357718;0,172969503417234;1;0,166666666666667;"HBI";1;0,25;39,0921606022206;0,510090248543418;1;0,2;2;0,4;0;0;15,3333333333333;0,247311827956989;1;0,111111111111111;2,87898141133067;0,261725582848242
"119";50123;22,0742063338377;0,282398627948595;8,08150582992957;0,350607340879944;2,25613530882304;0,191139488614406;1;0,166666666666667;"HBI";1;0,25;8,19599566248255;0,106944650797813;1;0,2;4;0,8;13,375;0,278645833333333;13,1578947368421;0,212224108658744;0;0;2,8386267168995;0,258056974263591
"120";50124;24,2623651395647;0,310392071297167;9,1180854706622;0,395578221195541;4,49232898390043;0,380589524623123;4;0,666666666666667;"HBI";1;0,25;7,28982856902381;0,0951206177742205;2;0,4;4;0,8;22,3636363636364;0,465909090909091;20;0,32258064516129;3;0,333333333333333;4,0868368376271;0,371530621602463
"121";50125;31,1268649905179;0,39821064606925;8,4829390850145;0,36802308604774;5,29438467329269;0,448539577845191;5;0,833333333333333;"HBI";1;0,25;2,97604887433918;0,0388326837555968;3;0,6;5;1;18,9047619047619;0,393849206349206;18,3333333333333;0,295698924731183;8;0,888888888888889;4,6264874581315;0,420589768921045
"122";50126;31,8706965081023;0,407726594086314;10,3415364172793;0,448656309873256;4,17483328607203;0,353691330581804;1;0,166666666666667;"HBI";1;0,25;9,98233087581826;0,130253471771513;1;0,2;5;1;21,3125;0,444010416666667;18,0833333333333;0,291666666666667;3;0,333333333333333;3,69267145631289;0,335697405119353
"123";50127;31,2375717025326;0,399626933617932;4,32416438508126;0,18759916882895;1,17693280616666;0,0997095935799913;2;0,333333333333333;"HBI";1;0,25;1,92261289777344;0,025087027060416;2;0,4;4;0,8;14;0,291666666666667;14,9411764705882;0,240986717267552;2;0,222222222222222;3,02800944035484;0,275273585486804
"124";50128;21,9304963525322;0,28056012463258;4,03823672105931;0,175194508104029;2,08273970841318;0,176449436000666;1;0,166666666666667;"HBI";1;0,25;0;0;1;0,2;5;1;17,3636363636364;0,361742424242424;17,0666666666667;0,275268817204301;0;0;2,88588197685067;0,262352906986424
"125";50129;27,5875167225979;0,35293123354692;8,98132319380449;0,389644938558512;5,91640998909563;0,501237481336543;2;0,333333333333333;"HBI";1;0,25;3,86680607265778;0,0504556422639675;2;0,4;5;1;24,6571428571429;0,513690476190476;15,8918918918919;0,256320836965998;0;0;4,04761394219575;0,367964903835977
"126";50130;22,1216423175028;0,283005483592682;9,66091527983635;0,419128302077754;4,24485908057282;0,359623906743506;2;0,333333333333333;"HBI";1;0,25;20,5406079357089;0,268022121206662;2;0,4;2;0,4;34,6666666666667;0,722222222222222;0;0;2;0,222222222222222;3,43533536917616;0,312303215379651
"127";50131;29,670085617764;0,379573849354213;10,1205557551989;0,439069304190359;2,94238214862473;0,249278231228817;3;0,5;"HBI";1;0,25;0;0;3;0,6;3;0,6;26,05;0,542708333333333;25;0,403225806451613;5;0,555555555555556;3,96385552455834;0,360350502232576
"128";50132;43,9645493432325;0,562445064848168;19,0695458242457;0,827311505297188;5,03158251252863;0,426275013118615;4;0,666666666666667;"HBI";1;0,25;46,4564141562164;0,6061819934822;2;0,4;3;0,6;31,4;0,654166666666667;17,3333333333333;0,279569892473118;1;0,111111111111111;5,27261680255262;0,479328800232057
"129";50133;49,2055840327091;0,629494406643547;15,2436616202667;0,661329680189311;3,21710247507293;0,272552501395124;2;0,333333333333333;"HBI";1;0,25;49,0159722201045;0,639580137479793;1;0,2;4;0,8;23,6666666666667;0,493055555555556;24,7;0,398387096774194;3;0,333333333333333;4,67773271137086;0,425248428306442
