"plot_ID","CCS_nr","CCS_position","CCS_dist","CCS_RG_inv_status","CCS_max_dist_cm","inv_year","inv"
140037,1,"n",1600,1,172,2022,"BZE3"
140037,2,"o",1600,1,285,2022,"BZE3"
140037,3,"s",1600,1,152,2022,"BZE3"
140037,4,"w",1600,1,193,2022,"BZE3"
140038,1,"n",1600,1,240,2022,"BZE3"
140038,2,"o",1600,1,100,2022,"BZE3"
140038,3,"s",1600,1,250,2022,"BZE3"
140038,4,"w",1600,1,178,2022,"BZE3"
140039,1,"n",1600,1,387,2022,"BZE3"
140039,2,"o",1600,1,130,2022,"BZE3"
140039,3,"s",1600,1,120,2022,"BZE3"
140039,4,"w",1600,1,279,2022,"BZE3"
140040,1,"n",1600,1,355,2022,"BZE3"
140040,2,"o",1600,1,146,2022,"BZE3"
140040,3,"s",1600,1,110,2022,"BZE3"
140040,4,"w",1600,1,164,2022,"BZE3"
140041,1,"n",1600,1,267,2022,"BZE3"
140041,2,"o",1600,1,104,2022,"BZE3"
140041,3,"s",1600,1,84,2022,"BZE3"
140041,4,"w",1600,1,215,2022,"BZE3"
140042,1,"n",1600,1,153,2022,"BZE3"
140042,2,"o",1600,1,183,2022,"BZE3"
140042,3,"s",1600,1,183,2022,"BZE3"
140042,4,"w",1600,1,120,2022,"BZE3"
140043,1,"n",1600,1,424,2022,"BZE3"
140043,2,"o",1600,1,211,2022,"BZE3"
140043,3,"s",1600,1,201,2022,"BZE3"
140043,4,"w",1600,1,424,2022,"BZE3"
140044,1,"n",1600,2,500,2022,"BZE3"
140044,2,"o",1600,1,440,2022,"BZE3"
140044,3,"s",1600,1,498,2022,"BZE3"
140044,4,"w",1600,1,439,2022,"BZE3"
140045,1,"n",1600,1,56,2022,"BZE3"
140045,2,"o",1600,1,63,2022,"BZE3"
140045,3,"s",1600,1,189,2022,"BZE3"
140045,4,"w",1600,1,71,2022,"BZE3"
140046,1,"n",1600,1,160,2022,"BZE3"
140046,2,"o",1600,1,212,2022,"BZE3"
140046,3,"s",1600,1,138,2022,"BZE3"
140046,4,"w",1600,1,129,2022,"BZE3"
140047,1,"n",1600,1,261,2022,"BZE3"
140047,2,"o",1600,1,79,2022,"BZE3"
140047,3,"s",1600,2,500,2022,"BZE3"
140047,4,"w",1600,1,223,2022,"BZE3"
140048,1,"n",1600,1,90,2022,"BZE3"
140048,2,"o",1600,1,115,2022,"BZE3"
140048,3,"s",1600,1,96,2022,"BZE3"
140048,4,"w",1600,1,140,2022,"BZE3"
140049,1,"n",1600,2,500,2022,"BZE3"
140049,2,"o",1600,2,500,2022,"BZE3"
140049,3,"s",1600,2,500,2022,"BZE3"
140049,4,"w",1600,2,500,2022,"BZE3"
140050,1,"n",1600,1,322,2022,"BZE3"
140050,2,"o",1600,1,109,2022,"BZE3"
140050,3,"s",1600,2,500,2022,"BZE3"
140050,4,"w",1600,1,339,2022,"BZE3"
140051,1,"n",1600,1,253,2022,"BZE3"
140051,2,"o",1600,1,344,2022,"BZE3"
140051,3,"s",1600,1,225,2022,"BZE3"
140051,4,"w",1600,1,132,2022,"BZE3"
140052,1,"n",1600,1,63,2022,"BZE3"
140052,2,"o",1600,1,254,2022,"BZE3"
140052,3,"s",1600,1,479,2022,"BZE3"
140052,4,"w",1600,1,367,2022,"BZE3"
140053,1,"n",1600,1,317,2022,"BZE3"
140053,2,"o",1600,1,218,2022,"BZE3"
140053,3,"s",1600,1,97,2022,"BZE3"
140053,4,"w",1600,1,318,2022,"BZE3"
140054,1,"n",1600,2,500,2022,"BZE3"
140054,2,"o",1600,1,444,2022,"BZE3"
140054,3,"s",1600,2,500,2022,"BZE3"
140054,4,"w",1600,2,500,2022,"BZE3"
140055,1,"n",1600,1,500,2022,"BZE3"
140055,2,"o",1600,1,491,2022,"BZE3"
140055,3,"s",1600,1,279,2022,"BZE3"
140055,4,"w",1600,1,368,2022,"BZE3"
140056,1,"n",1600,1,60,2022,"BZE3"
140056,2,"o",1600,1,421,2022,"BZE3"
140056,3,"s",1600,1,353,2022,"BZE3"
140057,1,"n",1600,1,465,2022,"BZE3"
140057,2,"o",1600,1,492,2022,"BZE3"
