"plot_ID","inv","inv_year","stand","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Chr_code_ger","bot_name","tpS_ID","LH_NH","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","DBH_class","Kraft","C_layer","H_dm","H_m","H_method","C_h_dm","D_mm","DBH_h_cm","DBH_cm","BA_m2","CCS_r_m","stand_plot_A_ha","plot_A_ha"
140001,"HBI",2012,"A",11,-9,0,830,161,64,1,"gki","GKi","Pinus sylvestris",5,"NB","ki","ki","ki","KI","KI","KI","30",2,1,194,19.4,"sampled",116,309,130,30.9,0.0749906020393518,17.84,0.0999860870850348,0.0999860870850348
140001,"HBI",2012,"A",12,-9,0,1772,114,64,1,"sbi","SBi","Betula pendula",26,"LB","bu","aLn","shw","BI","BI","BI","30",2,1,218,21.8,"sampled",128,304,170,30.5754385964912,0.0734235320630303,17.84,0.0999860870850348,0.0999860870850348
140001,"HBI",2012,"A",13,-9,0,1033,233,30,5,"vbe","Vbe","Sorbus aucuparia",36,"LB","bu","aLh","bu","BU","BU","aLB","10",3,1,122,12.2,"sampled",88,149,130,14.9,0.0174366246255868,12.62,0.0500343869018386,0.0500343869018386
140001,"HBI",2012,"A",14,-9,0,1088,256,30,5,"vbe","Vbe","Sorbus aucuparia",36,"LB","bu","aLh","bu","BU","BU","aLB","10",3,1,128,12.8,"sampled",89,130,130,13,0.0132732289614169,12.62,0.0500343869018386,0.0500343869018386
140001,"HBI",2012,"A",15,-9,0,1243,264,64,1,"sbi","SBi","Betula pendula",26,"LB","bu","aLn","shw","BI","BI","BI","30",2,1,NA,24.4534706268642,"coeff_sp",NA,324,130,32.4,0.0824479576008105,17.84,0.0999860870850348,0.0999860870850348
140001,"HBI",2012,"A",16,-9,0,1555,289,64,1,"sbi","SBi","Betula pendula",26,"LB","bu","aLn","shw","BI","BI","BI","40",2,1,182,18.2,"sampled",104,445,130,44.5,0.15552847130678,17.84,0.0999860870850348,0.0999860870850348
140001,"HBI",2012,"A",17,-9,0,968,302,64,1,"sbi","SBi","Betula pendula",26,"LB","bu","aLn","shw","BI","BI","BI","30",2,1,NA,24.7916975747126,"coeff_sp",NA,339,130,33.9,0.0902587423357981,17.84,0.0999860870850348,0.0999860870850348
140001,"HBI",2012,"A",18,-9,0,974,296,64,1,"sbi","SBi","Betula pendula",26,"LB","bu","aLn","shw","BI","BI","BI","30",2,1,NA,24.1792418223328,"coeff_sp",NA,313,130,31.3,0.0769446726698846,17.84,0.0999860870850348,0.0999860870850348
140001,"HBI",2012,"A",19,-9,0,335,248,64,1,"gki","GKi","Pinus sylvestris",5,"NB","ki","ki","ki","KI","KI","KI","30",2,1,189,18.9,"sampled",110,315,130,31.5,0.0779311327631118,17.84,0.0999860870850348,0.0999860870850348
140001,"HBI",2012,"A",20,-9,0,396,302,30,5,"vbe","Vbe","Sorbus aucuparia",36,"LB","bu","aLh","bu","BU","BU","aLB","5",4,1,117,11.7,"sampled",76,72,130,7.2,0.00407150407905237,5.64,0.00999328056736299,0.00999328056736299
140002,"HBI",2012,"A",1,-9,0,1235,48,35,5,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","10",4,1,113,11.3,"sampled",72,103,130,10.3,0.00833228911548353,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",2,-9,0,1254,45,35,5,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","10",4,1,NA,13.0264267392568,"coeff_SP_P",NA,143,130,14.3,0.0160606070433144,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",3,-9,0,1300,49,93,1,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","50",2,1,244,24.4,"sampled",151,525,130,52.5,0.216475368786422,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",4,-9,0,1233,68,93,1,"hbu","HBu","Carpinus betulus",16,"LB","bu","aLh","bu","BU","BU","aLB","35",3,1,205,20.5,"sampled",85,357,180,35.919298245614,0.101331755818638,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",5,-9,0,1553,76,93,1,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","35",2,1,249,24.9,"sampled",159,369,130,36.9,0.10694059932636,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",6,-9,0,1082,102,20,5,"rei","REi","Quercus rubra",18,"LB","ei","ei","ei","EI","EI","aLB","10",4,1,72,7.2,"sampled",40,104,150,10.4877192982456,0.0086387715912226,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",7,-9,0,1125,110,73,1,"ges","GEs","Fraxinus excelsior",21,"LB","bu","aLh","bu","ES","BU","aLB","20",3,1,223,22.3,"sampled",160,246,130,24.6,0.04752915525616,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",8,-9,0,1669,112,73,1,"ges","GEs","Fraxinus excelsior",21,"LB","bu","aLh","bu","ES","BU","aLB","30",2,1,253,25.3,"sampled",185,347,130,34.7,0.0945690074565234,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",9,-9,0,1743,110,73,1,"ges","GEs","Fraxinus excelsior",21,"LB","bu","aLh","bu","ES","BU","aLB","30",3,1,NA,23.2349409829199,"coeff_SP_P",NA,300,130,30,0.0706858347057703,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",10,-9,0,809,144,93,1,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","45",2,1,238,23.8,"sampled",141,494,130,49.4,0.19166542620286,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",11,-9,0,739,190,93,1,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","45",3,1,NA,23.9606387728685,"coeff_SP_P",NA,473,130,47.3,0.175716345698748,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",12,-9,0,796,192,20,5,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","10",4,1,NA,10.7406860660067,"coeff_SP_P",NA,110,130,11,0.00950331777710912,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",13,-9,0,1170,166,93,1,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","50",2,1,NA,24.4093060235362,"coeff_SP_P",NA,507,130,50.7,0.201885812503151,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",14,-9,0,1526,180,93,1,"hbu","HBu","Carpinus betulus",16,"LB","bu","aLh","bu","BU","BU","aLB","45",3,1,164,16.4,"sampled",35,501,100,49.9684210526316,0.196101598698965,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",15,-9,0,1225,247,93,1,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","45",2,1,NA,23.917616399443,"coeff_SP_P",NA,470,130,47,0.173494454294496,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",16,-9,0,1251,244,30,5,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","10",4,1,NA,9.9767329451843,"coeff_SP_P",NA,100,130,10,0.00785398163397448,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",17,-9,0,366,229,40,5,"ges","GEs","Fraxinus excelsior",21,"LB","bu","aLh","bu","ES","BU","aLB","10",4,1,150,15,"sampled",111,110,130,11,0.00950331777710912,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",18,-9,0,1158,264,93,1,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","45",2,1,NA,23.9320224954717,"coeff_SP_P",NA,471,130,47.1,0.174233513966253,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",19,-9,0,1220,264,93,1,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","40",2,1,255,25.5,"sampled",152,423,130,42.3,0.140530507978542,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",20,-9,0,1055,287,93,1,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","30",3,1,182,18.2,"sampled",90,346,150,34.6877192982456,0.0945020813317699,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",21,-9,0,1697,303,73,1,"ges","GEs","Fraxinus excelsior",21,"LB","bu","aLh","bu","ES","BU","aLB","35",2,1,242,24.2,"sampled",150,393,130,39.3,0.121303960938572,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",22,-9,0,1364,322,93,1,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","55",2,1,233,23.3,"sampled",137,634,150,63.4877192982456,0.316569691725309,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",23,-9,0,607,338,73,1,"ges","GEs","Fraxinus excelsior",21,"LB","bu","aLh","bu","ES","BU","aLB","20",3,1,NA,21.1588687998959,"coeff_SP_P",NA,228,130,22.8,0.040828138126053,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",24,-9,0,1206,347,73,1,"ges","GEs","Fraxinus excelsior",21,"LB","bu","aLh","bu","ES","BU","aLB","25",3,1,219,21.9,"sampled",149,279,130,27.9,0.0611361784370208,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",25,-9,0,1059,367,30,5,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","10",4,1,NA,10.286542784149,"coeff_SP_P",NA,104,130,10.4,0.0084948665353068,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",26,-9,0,1093,398,73,1,"ges","GEs","Fraxinus excelsior",21,"LB","bu","aLh","bu","ES","BU","aLB","15",3,1,179,17.9,"sampled",117,162,130,16.2,0.0206119894002026,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",27,-9,0,892,6,73,1,"ges","GEs","Fraxinus excelsior",21,"LB","bu","aLh","bu","ES","BU","aLB","25",3,1,NA,22.9710281387064,"coeff_SP_P",NA,288,150,28.8877192982456,0.0655415023594645,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",28,-9,0,1008,20,73,1,"ges","GEs","Fraxinus excelsior",21,"LB","bu","aLh","bu","ES","BU","aLB","15",3,1,NA,19.3935411844491,"coeff_SP_P",NA,185,130,18.5,0.0268802521422777,12.62,0.0500343869018386,0.0500343869018386
