"plot_ID","inv","stand","SP_code","compartiment","B_t_ha","C_t_ha","N_t_ha","BA_m2_ha","stand_component","BA_percent","dom_SP","BL_CF_ratio","stand_type","n_stands","mean_DBH_cm","sd_DBH_cm","Dg_cm","mean_BA_m2","mean_H_m","sd_H_m","Hg_m","n_ha","n_SP"
140037,"BZE3","A","all","ag",147.760802567005,73.8804012835026,0.223849909286044,24.0703927541971,"LT",NA,"gfi","0","1","1",NA,NA,NA,NA,NA,NA,NA,219.981027838789,NA
140037,"BZE3","A","all","bg",21.1601173835933,10.5800586917967,0.0876028859680764,24.0703927541971,"LT",NA,"gfi","0","1","1",NA,NA,NA,NA,NA,NA,NA,219.981027838789,NA
140037,"BZE3","A","all","fwb",20.9338517492932,10.4669258746466,0.0909157181471803,24.0703927541971,"LT",NA,"gfi","0","1","1",NA,NA,NA,NA,NA,NA,NA,219.981027838789,NA
140037,"BZE3","A","all","ndl",10.0377561009255,5.01887805046273,0,24.0703927541971,"LT",NA,"gfi","0","1","1",NA,NA,NA,NA,NA,NA,NA,219.981027838789,NA
140037,"BZE3","A","all","sb",9.05022457114644,4.52511228557322,0.0438030869243487,24.0703927541971,"LT",NA,"gfi","0","1","1",NA,NA,NA,NA,NA,NA,NA,219.981027838789,NA
140037,"BZE3","A","all","stb",0.408902794502171,0.204451397251085,0.00197908952539051,24.0703927541971,"LT",NA,"gfi","0","1","1",NA,NA,NA,NA,NA,NA,NA,219.981027838789,NA
140037,"BZE3","A","all","stw",4.90634478111684,2.45317239055842,0.00398395196226688,24.0703927541971,"LT",NA,"gfi","0","1","1",NA,NA,NA,NA,NA,NA,NA,219.981027838789,NA
140037,"BZE3","A","all","sw",102.423722570021,51.2118612850106,0.0831680627268572,24.0703927541971,"LT",NA,"gfi","0","1","1",NA,NA,NA,NA,NA,NA,NA,219.981027838789,NA
140037,"BZE3","A","all","total",168.920919950599,84.4604599752993,0.31145279525412,24.0703927541971,"LT",NA,"gfi","0","1","1",NA,NA,NA,NA,NA,NA,NA,219.981027838789,NA
140037,"BZE3","A","gfi","ag",147.760802567005,73.8804012835026,0.223849909286044,24.0703927541971,"LT",100,"gfi","0","1","1",36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.7297478220418,2.28161787081932,24.7297478220418,NA,NA
140037,"BZE3","A","gfi","bg",21.1601173835933,10.5800586917967,0.0876028859680764,24.0703927541971,"LT",100,"gfi","0","1","1",36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.7297478220418,2.28161787081932,24.7297478220418,NA,NA
140037,"BZE3","A","gfi","fwb",20.9338517492932,10.4669258746466,0.0909157181471803,24.0703927541971,"LT",100,"gfi","0","1","1",36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.7297478220418,2.28161787081932,24.7297478220418,NA,NA
140037,"BZE3","A","gfi","ndl",10.0377561009255,5.01887805046273,0,24.0703927541971,"LT",100,"gfi","0","1","1",36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.7297478220418,2.28161787081932,24.7297478220418,NA,NA
140037,"BZE3","A","gfi","sb",9.05022457114644,4.52511228557322,0.0438030869243487,24.0703927541971,"LT",100,"gfi","0","1","1",36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.7297478220418,2.28161787081932,24.7297478220418,NA,NA
140037,"BZE3","A","gfi","stb",0.408902794502171,0.204451397251085,0.00197908952539051,24.0703927541971,"LT",100,"gfi","0","1","1",36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.7297478220418,2.28161787081932,24.7297478220418,NA,NA
140037,"BZE3","A","gfi","stw",4.90634478111684,2.45317239055842,0.00398395196226688,24.0703927541971,"LT",100,"gfi","0","1","1",36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.7297478220418,2.28161787081932,24.7297478220418,NA,NA
140037,"BZE3","A","gfi","sw",102.423722570021,51.2118612850106,0.0831680627268572,24.0703927541971,"LT",100,"gfi","0","1","1",36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.7297478220418,2.28161787081932,24.7297478220418,NA,NA
140037,"BZE3","A","gfi","total",168.920919950599,84.4604599752993,0.31145279525412,24.0703927541971,"LT",100,"gfi","0","1","1",36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.7297478220418,2.28161787081932,24.7297478220418,NA,NA
140037,"BZE3","all","all","ag",147.760802567005,73.8804012835026,0.223849909286044,24.0703927541971,"LT",NA,"gfi","0","1","1",36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.7297478220418,2.28161787081932,24.7297478220418,219.981027838789,1
140037,"BZE3","all","all","bg",21.1601173835933,10.5800586917967,0.0876028859680764,24.0703927541971,"LT",NA,"gfi","0","1","1",36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.7297478220418,2.28161787081932,24.7297478220418,219.981027838789,1
140037,"BZE3","all","all","fwb",20.9338517492932,10.4669258746466,0.0909157181471803,24.0703927541971,"LT",NA,"gfi","0","1","1",36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.7297478220418,2.28161787081932,24.7297478220418,219.981027838789,1
140037,"BZE3","all","all","ndl",10.0377561009255,5.01887805046273,0,24.0703927541971,"LT",NA,"gfi","0","1","1",36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.7297478220418,2.28161787081932,24.7297478220418,219.981027838789,1
