"plot_ID","e_ID","e_type","e_form","A_dist","A_azi","B_dist","B_azi","T_dist","T_azi","inv_year","inv"
140014,1,3,1,1982,129,1788,67,-2,-2,2012,"HBI"
140022,1,1,1,2715,290,2718,340,-2,-2,2011,"HBI"
140023,1,2,1,2795,7,2982,39,-2,-2,2011,"HBI"
140024,1,1,1,1751,343,1290,291,-2,-2,2011,"HBI"
140026,1,1,1,2022,313,2250,387,-2,-2,2011,"HBI"
140027,1,3,1,2622,297,2466,336,-2,-2,2011,"HBI"
140027,2,3,1,1848,376,2340,52,-2,-2,2011,"HBI"
140029,1,3,1,2303,299,1944,363,-2,-2,2011,"HBI"
140033,1,3,1,2276,221,2302,160,-2,-2,2011,"HBI"
140037,1,1,1,2910,48,2970,17,-2,-2,2011,"HBI"
140039,1,2,1,2420,118,3010,69,-2,-2,2011,"HBI"
140042,1,3,1,2720,245,2980,299,-2,-2,2011,"HBI"
140043,1,3,1,2537,146,1881,194,-2,-2,2011,"HBI"
140046,1,3,1,3800,294,1600,395,-2,-2,2011,"HBI"
140048,1,3,2,1555,6,2136,240,1123,143,2011,"HBI"
140053,1,1,1,2998,22,2631,381,-2,-2,2012,"HBI"
140054,1,3,1,2994,107,2684,143,-2,-2,2011,"HBI"
140056,1,1,2,2870,204,1241,378,1378,267,2011,"HBI"
140068,1,1,1,2355,30,2679,383,-2,-2,2012,"HBI"
140187,1,1,2,2430,171,2730,80,2980,121,2011,"HBI"
140234,1,2,1,2285,155,2128,190,-2,-2,2011,"HBI"
140254,1,1,2,970,186,2522,313,2478,274,2012,"HBI"
140316,1,1,1,2992,190,2611,144,-2,-2,2012,"HBI"
140039,2,3,2,1760,120,234,346,1798,2,2011,"HBI"
140053,2,3,1,1253,258,1317,326,-9,-9,2012,"HBI"
140058,1,3,2,2710,144,1945,41,1635,305,2011,"HBI"
140058,2,3,2,2657,248,2154,263,2263,290,2011,"HBI"
140046,2,3,1,1450,35,1750,188,-9,-9,2011,"HBI"
140055,1,3,1,855,385,1155,193,-9,-9,2011,"HBI"
140057,1,4,2,2123,280,2327,145,1885,193,2011,"HBI"
140068,2,3,2,2066,29,1365,240,1525,390,2012,"HBI"
140065,1,4,1,1511,140,1682,1,-9,-9,2012,"HBI"
140060,1,3,1,1751,361,1449,280,-9,-9,2012,"HBI"
