"plot_ID","inv","dw_sp","dw_type","decay","compartiment","B_t_ha","C_t_ha","N_t_ha","n_ha","inv_year","stand_component","ST_LY_type","mean_d_cm","sd_d_cm","mean_l_m","sd_l_m","n_dec","n_dw_TY"
140037,"BZE3","all","all","2","stw",2.73292557854295,1.36646278927148,0.00221913556977688,NA,NA,"DW",NA,25.1818181818182,15.6768503330113,1.21818181818182,0.823186712499882,NA,NA
140037,"BZE3","all","all","3","ag",9.98386959044206,4.99193479522103,0.00810690210743896,NA,NA,"DW",NA,29.6923076923077,16.9577151339472,2.12307692307692,2.83406476230221,NA,NA
140037,"BZE3","all","all","4","ag",0.391678868598381,0.19583943429919,0.000318043241301886,NA,NA,"DW",NA,25.25,18.6256990920252,0.375,0.419324854180304,NA,NA
140037,"BZE3","all","all","5","ag",0.043179768987922,0.021589884493961,3.50619724181926e-05,NA,NA,"DW",NA,23,NA,0.1,NA,NA,NA
140037,"BZE3","1","all","all","ag",22.3838566559759,11.1919283279879,0.0190845145988966,NA,NA,"DW",NA,27.1379310344828,15.9322766239996,1.46896551724138,2.04067626190715,NA,NA
140037,"BZE3","1","all","all","stb",0.225626364012949,0.112813182006474,0.00109203160182267,NA,NA,"DW",NA,27.1379310344828,15.9322766239996,1.46896551724138,2.04067626190715,NA,NA
140037,"BZE3","1","all","all","stw",2.73292557854295,1.36646278927148,0.00221913556977688,NA,NA,"DW",NA,27.1379310344828,15.9322766239996,1.46896551724138,2.04067626190715,NA,NA
140037,"BZE3","all","all","all","ag",22.3838566559759,11.1919283279879,0.0190845145988966,1159.20277216125,NA,"DW",NA,27.1379310344828,15.9322766239996,1.46896551724138,2.04067626190715,4,2
140037,"BZE3","all","all","all","stb",0.225626364012949,0.112813182006474,0.00109203160182267,1159.20277216125,NA,"DW",NA,27.1379310344828,15.9322766239996,1.46896551724138,2.04067626190715,4,2
140037,"BZE3","all","all","all","stw",2.73292557854295,1.36646278927148,0.00221913556977688,1159.20277216125,NA,"DW",NA,27.1379310344828,15.9322766239996,1.46896551724138,2.04067626190715,4,2
140038,"BZE3","1","1","2","ag",0.770501756827012,0.385250878413506,0.000625647426543534,59.9587640773062,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","1","1","3","ag",1.49688348431916,0.748441742159581,0.00121546938926716,139.903782847048,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","1","1","4","ag",0.324003669369928,0.162001834684964,0.000263090979528382,59.9587640773062,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","1","1","5","ag",0.400004646361647,0.200002323180824,0.000324803772845658,39.9725093848708,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","1","4","3","ag",1.82503277568622,0.912516387843109,0.00148192661385721,19.9862546924354,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","1","4","4","ag",1.33290145192523,0.666450725962612,0.00108231597896328,119.917528154612,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","1","4","5","ag",0.128151677336555,0.0640758386682774,0.000104059161997282,39.9725093848708,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","1","1","all","ag",2.99139355687775,1.49569677843888,0.00242901156818473,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","1","4","all","ag",3.286085904948,1.643042952474,0.00266830175481778,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","1","all","2","ag",0.770501756827012,0.385250878413506,0.000625647426543534,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","1","all","3","ag",3.32191626000538,1.66095813000269,0.00269739600312437,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","1","all","4","ag",1.65690512129515,0.828452560647576,0.00134540695849167,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","1","all","5","ag",0.528156323698202,0.264078161849101,0.000428862934842941,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","all","1","2","ag",0.770501756827012,0.385250878413506,0.000625647426543534,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","all","1","3","ag",1.49688348431916,0.748441742159581,0.00121546938926716,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","all","1","4","ag",0.324003669369928,0.162001834684964,0.000263090979528382,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","all","1","5","ag",0.400004646361647,0.200002323180824,0.000324803772845658,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","all","4","3","ag",1.82503277568622,0.912516387843109,0.00148192661385721,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","all","4","4","ag",1.33290145192523,0.666450725962612,0.00108231597896328,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","all","4","5","ag",0.128151677336555,0.0640758386682774,0.000104059161997282,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140038,"BZE3","all","1","all","ag",2.99139355687775,1.49569677843888,0.00242901156818473,NA,NA,"DW","L",13.1333333333333,5.15290024669418,2.54666666666667,2.03465218742898,NA,NA
140038,"BZE3","all","4","all","ag",3.286085904948,1.643042952474,0.00266830175481778,NA,NA,"DW","L",39.2222222222222,13.8814424482632,0.388888888888889,0.196497102042527,NA,NA
140038,"BZE3","all","all","2","ag",0.770501756827012,0.385250878413506,0.000625647426543534,NA,NA,"DW",NA,8.33333333333333,2.08166599946613,4.16666666666667,2.95014123955673,NA,NA
140038,"BZE3","all","all","3","ag",3.32191626000538,1.66095813000269,0.00269739600312437,NA,NA,"DW",NA,20.375,19.3386179148651,2.1125,2.01525432638166,NA,NA
140038,"BZE3","all","all","4","ag",1.65690512129515,0.828452560647576,0.00134540695849167,NA,NA,"DW",NA,30.4444444444444,14.8501777018922,0.866666666666667,0.821583836257749,NA,NA
140038,"BZE3","all","all","5","ag",0.528156323698202,0.264078161849101,0.000428862934842941,NA,NA,"DW",NA,22,7.02376916856849,1.125,1.42214626533279,NA,NA
140038,"BZE3","1","all","all","ag",6.27747946182575,3.13873973091287,0.00509731332300251,NA,NA,"DW",NA,22.9166666666667,15.8001559339214,1.7375,1.9162491668792,NA,NA
140038,"BZE3","all","all","all","ag",6.27747946182575,3.13873973091287,0.00509731332300251,479.67011261845,NA,"DW",NA,22.9166666666667,15.8001559339214,1.7375,1.9162491668792,4,2
140039,"BZE3","1","1","3","ag",0.557505318200425,0.278752659100213,0.000452694318378745,59.9587640773062,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","1","4","ag",0.237868600892604,0.118934300446302,0.000193149303924795,39.9725093848708,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","1","5","ag",0.0760339410439496,0.0380169705219748,6.1739560127687e-05,19.9862546924354,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","4","1","ag",5.26687068798803,2.63343534399402,0.00589732286257435,179.876292231919,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","4","1","stb",0.402339588859997,0.201169794429999,0.00194732361008238,179.876292231919,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","4","1","stw",4.86453109912803,2.43226554956402,0.00394999925249196,179.876292231919,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","4","3","ag",1.40825413588975,0.704127067944878,0.00114350235834248,179.876292231919,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","4","4","ag",0.748811410459588,0.374405705229795,0.000608034865293186,199.862546924354,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","4","5","ag",0.0262833376448221,0.013141668822411,2.13420701675955e-05,59.9587640773062,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","1","all","ag",0.871407860136979,0.43570393006849,0.000707583182431227,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","4","all","ag",7.45021957198219,3.7251097859911,0.00767020215637761,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","4","all","stb",0.402339588859997,0.201169794429999,0.00194732361008238,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","4","all","stw",4.86453109912803,2.43226554956402,0.00394999925249196,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","all","1","ag",5.26687068798803,2.63343534399402,0.00589732286257435,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","all","1","stb",0.402339588859997,0.201169794429999,0.00194732361008238,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","all","1","stw",4.86453109912803,2.43226554956402,0.00394999925249196,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","all","3","ag",1.96575945409018,0.98287972704509,0.00159619667672123,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","all","4","ag",0.986680011352193,0.493340005676097,0.00080118416921798,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","1","all","5","ag",0.102317278688772,0.0511586393443858,8.30816302952826e-05,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","all","1","3","ag",0.557505318200425,0.278752659100213,0.000452694318378745,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","all","1","4","ag",0.237868600892604,0.118934300446302,0.000193149303924795,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","all","1","5","ag",0.0760339410439496,0.0380169705219748,6.1739560127687e-05,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","all","4","1","ag",5.26687068798803,2.63343534399402,0.00589732286257435,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","all","4","1","stb",0.402339588859997,0.201169794429999,0.00194732361008238,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","all","4","1","stw",4.86453109912803,2.43226554956402,0.00394999925249196,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","all","4","3","ag",1.40825413588975,0.704127067944878,0.00114350235834248,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","all","4","4","ag",0.748811410459588,0.374405705229795,0.000608034865293186,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","all","4","5","ag",0.0262833376448221,0.013141668822411,2.13420701675955e-05,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140039,"BZE3","all","1","all","ag",0.871407860136979,0.43570393006849,0.000707583182431227,NA,NA,"DW","L",12.1666666666667,2.48327740429189,2.2,1.2328828005938,NA,NA
140039,"BZE3","all","4","all","ag",7.45021957198219,3.7251097859911,0.00767020215637761,NA,NA,"DW","L",32.0967741935484,12.3270835661689,0.245161290322581,0.112067567944282,NA,NA
140039,"BZE3","all","4","all","stb",0.402339588859997,0.201169794429999,0.00194732361008238,NA,NA,"DW","L",32.0967741935484,12.3270835661689,0.245161290322581,0.112067567944282,NA,NA
140039,"BZE3","all","4","all","stw",4.86453109912803,2.43226554956402,0.00394999925249196,NA,NA,"DW","L",32.0967741935484,12.3270835661689,0.245161290322581,0.112067567944282,NA,NA
140039,"BZE3","all","all","1","ag",5.26687068798803,2.63343534399402,0.00589732286257435,NA,NA,"DW",NA,41.2222222222222,14.7459975737298,0.311111111111111,0.0781735959970572,NA,NA
140039,"BZE3","all","all","1","stb",0.402339588859997,0.201169794429999,0.00194732361008238,NA,NA,"DW",NA,41.2222222222222,14.7459975737298,0.311111111111111,0.0781735959970572,NA,NA
140039,"BZE3","all","all","1","stw",4.86453109912803,2.43226554956402,0.00394999925249196,NA,NA,"DW",NA,41.2222222222222,14.7459975737298,0.311111111111111,0.0781735959970572,NA,NA
140039,"BZE3","all","all","3","ag",1.96575945409018,0.98287972704509,0.00159619667672123,NA,NA,"DW",NA,25.4166666666667,11.269091544682,0.825,1.30532127706693,NA,NA
140039,"BZE3","all","all","4","ag",0.986680011352193,0.493340005676097,0.00080118416921798,NA,NA,"DW",NA,28.4166666666667,8.61772310504065,0.458333333333333,0.540131858199851,NA,NA
140039,"BZE3","all","all","5","ag",0.102317278688772,0.0511586393443858,8.30816302952826e-05,NA,NA,"DW",NA,12.75,4.99165971062398,0.65,1.1,NA,NA
140039,"BZE3","1","all","all","ag",8.32162743211917,4.16081371605959,0.00837778533880884,NA,NA,"DW",NA,28.8648648648649,13.5260287391922,0.562162162162162,0.869019674803278,NA,NA
140039,"BZE3","1","all","all","stb",0.402339588859997,0.201169794429999,0.00194732361008238,NA,NA,"DW",NA,28.8648648648649,13.5260287391922,0.562162162162162,0.869019674803278,NA,NA
140039,"BZE3","1","all","all","stw",4.86453109912803,2.43226554956402,0.00394999925249196,NA,NA,"DW",NA,28.8648648648649,13.5260287391922,0.562162162162162,0.869019674803278,NA,NA
140039,"BZE3","all","all","all","ag",8.32162743211917,4.16081371605959,0.00837778533880884,739.49142362011,NA,"DW",NA,28.8648648648649,13.5260287391922,0.562162162162162,0.869019674803278,4,2
140039,"BZE3","all","all","all","stb",0.402339588859997,0.201169794429999,0.00194732361008238,739.49142362011,NA,"DW",NA,28.8648648648649,13.5260287391922,0.562162162162162,0.869019674803278,4,2
140039,"BZE3","all","all","all","stw",4.86453109912803,2.43226554956402,0.00394999925249196,739.49142362011,NA,"DW",NA,28.8648648648649,13.5260287391922,0.562162162162162,0.869019674803278,4,2
140040,"BZE3","1","1","3","ag",1.58481587850141,0.792407939250706,0.00128687049334315,79.9450187697416,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140040,"BZE3","1","1","4","ag",0.560257031703257,0.280128515851628,0.000454928709743044,39.9725093848708,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140040,"BZE3","1","4","3","ag",2.44445086284191,1.22222543142096,0.00198489410062764,119.917528154612,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140040,"BZE3","1","4","4","ag",0.392305185590755,0.196152592795377,0.000318551810699692,39.9725093848708,NA,"DW",NA,NA,NA,NA,NA,NA,NA
140040,"BZE3","1","1","all","ag",2.14507291020467,1.07253645510233,0.00174179920308619,NA,NA,"DW",NA,NA,NA,NA,NA,NA,NA
