"";"X.plot_ID.team.date.plot_inv_status.inv_year.inv"
"41";"41;50041;Richter / Richter;2006-01-01;0;2012;HBI"
"42";"42;50042;Dickhof / Dickhof;2006-01-01;0;2012;HBI"
"43";"43;50043;Dickhof / Dickhof;2006-01-01;0;2012;HBI"
"44";"44;50044;Richter / Richter;2006-01-01;0;2012;HBI"
"45";"45;50045;Dworschak / Hoffmann;2006-01-01;0;2012;HBI"
"46";"46;50046;Richter / Richter;2006-01-01;0;2012;HBI"
"47";"47;50047;Dickhof / Dickhof;2006-01-01;0;2012;HBI"
"48";"48;50048;Dickhof / Dickhof;2006-01-01;0;2012;HBI"
"49";"49;50049;Richter / Richter;2006-01-01;0;2012;HBI"
"50";"50;50050;Dickhof / Dickhof;2006-01-01;0;2012;HBI"
"51";"51;50051;Dworschak / Hoffmann;2006-01-01;0;2012;HBI"
"52";"52;50052;Richter / Richter;2006-01-01;0;2012;HBI"
"53";"53;50053;Koch / Koch;2006-01-01;0;2012;HBI"
"54";"54;50054;Richter / Richter;2006-01-01;0;2012;HBI"
"55";"55;50055;Richter / Richter;2006-01-01;0;2012;HBI"
"56";"56;50056;Richter / Richter;2006-01-01;0;2012;HBI"
"57";"57;50057;Dworschak / Richter;2006-01-01;0;2012;HBI"
"58";"58;50058;Dworschak / Hoffmann;2006-01-01;0;2012;HBI"
"59";"59;50059;Dickhof / Dickhof;2006-01-01;0;2012;HBI"
"60";"60;50060;Koch / Koch;2006-01-01;0;2012;HBI"
"61";"61;50061;Richter / Richter;2006-01-01;0;2012;HBI"
"62";"62;50062;Richter / Richter;2006-01-01;0;2012;HBI"
"63";"63;50063;Dworschak / Hoffmann;2006-01-01;0;2012;HBI"
"64";"64;50064;Dworschak / Hoffmann;2006-01-01;0;2012;HBI"
"65";"65;50065;Koch / Koch;2006-01-01;0;2012;HBI"
"66";"66;50066;Koch / Koch;2006-01-01;0;2012;HBI"
"67";"67;50067;Koch / Koch;2006-01-01;0;2012;HBI"
"68";"68;50068;Koch / Koch;2006-01-01;0;2012;HBI"
"69";"69;50069;Dworschak / Hoffmann;2006-01-01;0;2012;HBI"
"70";"70;50070;Dworschak / Hoffmann;2006-01-01;0;2012;HBI"
"71";"71;50071;Koch / Koch;2006-01-01;0;2012;HBI"
"72";"72;50072;Koch / Koch;2006-01-01;0;2012;HBI"
"73";"73;50073;Koch / Koch;2006-01-01;0;2012;HBI"
"74";"74;50074;Dickhof / Dickhof;2006-01-01;0;2012;HBI"
"75";"75;50075;Dickhof / Hoffmann;2006-01-01;0;2012;HBI"
"76";"76;50076;Koch / Koch;2006-01-01;0;2012;HBI"
"77";"77;50077;Dworschak / Hoffmann;2006-01-01;0;2012;HBI"
"78";"78;50078;Dworschak / Hoffmann;2006-01-01;0;2012;HBI"
"79";"79;50079;Koch / Koch;2006-01-01;0;2012;HBI"
"80";"80;50080;Koch / Koch;2006-01-01;0;2012;HBI"
"81";"81;50081;Koch / Koch;2006-01-01;0;2012;HBI"
"82";"82;50082;Koch / Koch;2006-01-01;0;2012;HBI"
"83";"83;50083;Koch / Koch;2006-01-01;0;2012;HBI"
"84";"84;50084;Dickhof / Dickhof;2006-01-01;0;2012;HBI"
"85";"85;50085;Koch / Koch;2006-01-01;0;2012;HBI"
"86";"86;50086;Dworschak / Koch;2006-01-01;0;2012;HBI"
"87";"87;50087;Dworschak / Hoffmann;2006-01-01;0;2012;HBI"
"88";"88;50088;Koch / Koch;2006-01-01;0;2012;HBI"
"89";"89;50089;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"90";"90;50090;Koch / Koch;2006-01-01;0;2012;HBI"
"91";"91;50091;Dickhof / Dickhof;2006-01-01;0;2012;HBI"
"92";"92;50092;Koch / Koch;2006-01-01;0;2012;HBI"
"93";"93;50093;Koch / Koch;2006-01-01;0;2012;HBI"
"94";"94;50094;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"95";"95;50095;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"96";"96;50096;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"97";"97;50097;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"98";"98;50098;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"99";"99;50099;Koch / Koch;2006-01-01;0;2012;HBI"
"100";"100;50100;Koch / Koch;2006-01-01;0;2012;HBI"
"101";"101;50101;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"102";"102;50102;Pahlke / Milbert;2006-01-01;0;2012;HBI"
"103";"103;50103;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"104";"104;50104;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"105";"105;50105;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"106";"106;50106;Heilmann / Siegert;2006-01-01;0;2012;HBI"
