"plot_ID","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","inv_year","inv","Nr_code","Chr_code_ger","name","icode","bot_name","bot_genus","bot_species","BWI","LH_NH","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group","DBH_cm","CCS_r_m","dist_m","X_tree","Y_tree","e_ID","e_type","e_form","stand","inter_stat","area_m2","stand_plot_A_ha","plot_A_ha"
140037,15,2,FALSE,1671,145,64,1,"gfi",1,1,-9,-9,404,200,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",40.7070175438596,17.84,16.71,12.7063836852,-10.8522768876,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,16,1,NA,1282,174,64,1,"gfi",1,1,NA,NA,473,200,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",47.6070175438596,17.84,12.82,5.0914359579,-11.7656143013,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,17,2,FALSE,1021,188,64,1,"gfi",2,1,-9,-9,428,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",42.8,17.84,10.21,1.9131632219,-10.0291528299,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,18,1,NA,1541,198,64,1,"gfi",2,1,NA,NA,478,160,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",47.9315789473684,17.84,15.41,0.4840397974,-15.4023960952,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,19,2,FALSE,1100,228,64,1,"gfi",2,1,-9,-9,369,170,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",37.0754385964912,17.84,11,-4.6835722072,-9.9530975771,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,20,1,NA,220,196,64,1,"gfi",2,1,196,129,195,150,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",19.5877192982456,12.62,2.2,0.138139143,-2.1956588025,1,1,1,"A","0",500.115280167522,0.0500115280167522,0.0500343869018386
140037,21,1,NA,377,242,64,1,"gfi",2,1,NA,NA,395,190,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",39.7631578947368,17.84,3.77,-2.3106595923,-2.9788843967,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,22,1,NA,1479,243,64,1,"gfi",2,1,244,100,394,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",39.4,17.84,14.79,-9.2473388872,-11.5425657245,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,23,2,FALSE,1209,250,64,1,"gfi",2,1,-9,-9,350,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",35,17.84,12.09,-8.5489209845,-8.5489209845,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,24,2,FALSE,1141,278,64,1,"gfi",2,1,-9,-9,327,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",32.7,17.84,11.41,-10.7354495738,-3.86499967,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,25,1,NA,765,272,64,1,"gfi",2,1,269,116,372,160,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",37.3315789473684,17.84,7.65,-6.9219269514,-3.2572115805,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,26,1,NA,554,307,64,1,"gfi",2,1,274,131,404,180,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",40.619298245614,17.84,5.54,-5.5065436932,0.6079280834,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,27,1,NA,833,309,64,1,"gfi",2,1,219,103,288,160,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",28.9315789473684,12.62,8.33,-8.2468970688,1.173707262,1,1,1,"A","0",500.115280167522,0.0500115280167522,0.0500343869018386
140037,28,1,NA,1563,294,64,1,"gfi",1,1,285,116,486,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",48.6,17.84,15.63,-15.5606335067,-1.4709129372,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,29,2,FALSE,1713,326,64,1,"gfi",2,1,-9,-9,359,150,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",35.9877192982456,17.84,17.13,-15.721136738,6.8031433666,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,30,1,NA,1029,323,64,1,"gfi",2,1,253,104,464,160,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",46.5315789473684,17.84,10.29,-9.6257190772,3.6372561425,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,31,1,NA,752,346,64,1,"gfi",2,1,NA,NA,368,180,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",37.019298245614,17.84,7.52,-5.6408352436,4.9730652272,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,32,1,NA,1767,353,64,1,"gfi",2,1,NA,NA,407,170,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",40.8754385964912,17.84,17.67,-11.8921311137,13.0692814483,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,33,1,NA,1648,378,64,1,"gfi",2,1,NA,NA,435,170,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",43.6754385964912,17.84,16.48,-5.5824009256,15.5057150724,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,34,1,NA,1554,391,64,1,"gfi",2,1,258,106,422,150,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",42.2877192982456,17.84,15.54,-2.1896051443,15.3849676409,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,35,2,FALSE,1240,2,64,1,"gfi",2,1,-9,-9,325,150,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",32.5877192982456,17.84,12.4,0.3894934126,12.3938813485,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,36,1,NA,1162,368,64,1,"gfi",2,1,256,100,408,170,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",40.9754385964912,17.84,11.62,-5.5979776931,10.1826836221,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,37,1,NA,799,381,64,1,"gfi",2,1,NA,NA,322,170,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",32.3754385964912,17.84,7.99,-2.3493821986,7.6367861882,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,38,2,FALSE,576,9,64,1,"gfi",2,1,-9,-9,322,150,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",32.2877192982456,17.84,5.76,0.811591096,5.7025362684,1,1,1,"A","0",999.404070914056,0.0999404070914056,0.0999860870850348
140037,39,1,NA,379,377,64,1,"gfi",3,1,236,133,248,150,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",24.8877192982456,12.62,3.79,-1.3396696579,3.5453328768,1,1,1,"A","0",500.115280167522,0.0500115280167522,0.0500343869018386
140038,1,1,NA,258,98,101,1,"gfi",2,1,285,191,430,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",43,17.84,2.58,2.5787269257,0.0810397584,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,2,1,NA,816,110,101,1,"gfi",2,1,305,174,545,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",54.5,17.84,8.16,8.0595368593,-1.2765052347,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,3,1,NA,1369,101,101,1,"gfi",1,1,298,133,554,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",55.4,17.84,13.69,13.6883110987,-0.215033174,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,4,1,NA,1131,116,101,1,"gfi",2,1,240,109,341,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",34.1,17.84,11.31,10.9546755524,-2.8126826238,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,5,1,NA,1553,131,101,1,"gfi",2,1,248,138,432,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",43.2,17.84,15.53,13.7248802353,-7.2669500155,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,6,1,NA,1592,163,101,1,"gfi",2,1,NA,NA,445,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",44.5,17.84,15.92,8.7404432625,-13.306053193,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,7,2,FALSE,1672,194,101,1,"gfi",2,1,279,156,520,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",52,17.84,16.72,1.5734909987,-16.6457960482,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,8,3,FALSE,1352,190,101,1,"gfi",3,1,-9,-9,329,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",32.9,17.84,13.52,2.1149939673,-13.3535463648,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,9,1,NA,1117,201,101,1,"gfi",3,1,283,157,341,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",34.1,17.84,11.17,-0.1754507344,-11.1686219848,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,10,2,FALSE,812,198,101,1,"gfi",2,1,-9,-9,443,170,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",44.4754385964912,17.84,8.12,0.2550553637,-8.1159932702,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,11,1,NA,454,218,101,1,"gfi",2,1,295,168,435,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",43.5,17.84,4.54,-1.2666196214,-4.359733333,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,12,1,NA,1484,222,101,1,"gfi",2,1,303,133,505,180,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",50.719298245614,17.84,14.84,-5.0268707364,-13.9626706113,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,13,1,NA,1454,235,101,1,"gfi",2,1,288,148,423,150,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",42.3877192982456,17.84,14.54,-7.597129131,-12.3973879897,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,14,1,NA,1533,256,101,1,"gfi",2,1,NA,NA,425,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",42.5,17.84,15.33,-11.8119680118,-9.7717097628,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,15,1,NA,738,255,101,1,"gfi",2,1,272,148,418,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",41.8,17.84,7.38,-5.6117960261,-4.7929265967,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,16,2,FALSE,567,279,101,1,"gfi",4,1,192,168,184,150,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",18.4877192982456,12.62,5.67,-5.3643039846,-1.8366117612,NA,NA,NA,"A",NA,500.343869018386,0.0500343869018386,0.0500343869018386
140038,17,1,NA,581,282,101,1,"gfi",2,1,NA,NA,445,120,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",44.4561403508772,17.84,5.81,-5.5793063138,-1.6209383261,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
140038,18,1,NA,1359,284,101,1,"gfi",2,1,276,130,428,130,2022,"BZE3","gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",42.8,17.84,13.59,-13.1630451597,-3.3796955666,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348
