"";"plot_ID";"e_ID";"inv_year";"CCS_r_m";"inter_stat";"area_m2";"stand"
"90";50039;0;2012;5,64;"0";99,8871500071255;"A"
"91";50041;1;2012;17,84;"partly intersecting";118,118613476516;"B"
"92";50041;0;2012;17,84;"0";881,285457449732;"A"
"93";50041;1;2012;12,62;"partly intersecting";7,09352293721895;"B"
"94";50041;0;2012;12,62;"0";493,021757217241;"A"
"95";50041;1;2012;5,64;"no intersections";0;"B"
"96";50041;0;2012;5,64;"0";99,8871500130626;"A"
"97";50042;1;2012;17,84;"no intersections";0;"no forest"
"98";50042;2;2012;17,84;"partly intersecting";199,433936621994;"B"
"99";50042;0;2012;17,84;"0";799,970134295756;"A"
"100";50042;1;2012;12,62;"no intersections";0;"no forest"
"101";50042;2;2012;12,62;"partly intersecting";92,0276398137212;"B"
"102";50042;0;2012;12,62;"0";408,087640358717;"A"
"103";50042;1;2012;5,64;"no intersections";0;"no forest"
"104";50042;2;2012;5,64;"no intersections";0;"B"
"105";50042;0;2012;5,64;"0";99,8871500185342;"A"
"106";50045;1;2012;17,84;"partly intersecting";294,642069326277;"B"
"107";50045;0;2012;17,84;"0";704,762001591269;"A"
"108";50045;1;2012;12,62;"partly intersecting";107,789565712781;"B"
"109";50045;0;2012;12,62;"0";392,325714457664;"A"
"110";50045;1;2012;5,64;"no intersections";0;"B"
"111";50045;0;2012;5,64;"0";99,887150026334;"A"
"112";50047;1;2012;17,84;"partly intersecting";379,151172603946;"B"
"113";50047;0;2012;17,84;"0";620,25289834803;"A"
"114";50047;1;2012;12,62;"partly intersecting";165,308426127594;"B"
"115";50047;0;2012;12,62;"0";334,806854024064;"A"
"116";50047;1;2012;5,64;"partly intersecting";14,0695699329372;"B"
"117";50047;0;2012;5,64;"0";85,8175800937461;"A"
"118";50048;1;2012;17,84;"partly intersecting";396,376575644128;"B"
"119";50048;0;2012;17,84;"0";603,027495283866;"A"
"120";50048;1;2012;12,62;"partly intersecting";177,294699526581;"B"
"121";50048;0;2012;12,62;"0";322,820580636617;"A"
"122";50048;1;2012;5,64;"partly intersecting";18,652433228679;"B"
"123";50048;0;2012;5,64;"0";81,2347167854314;"A"
"124";50050;1;2012;17,84;"partly intersecting";206,605107576936;"B"
"125";50050;0;2012;17,84;"0";792,798963385634;"A"
"126";50050;1;2012;12,62;"partly intersecting";52,0658424700378;"B"
"127";50050;0;2012;12,62;"0";448,049437714973;"A"
"128";50050;1;2012;5,64;"no intersections";0;"B"
"129";50050;0;2012;5,64;"0";99,8871500091045;"A"
"130";50052;1;2012;17,84;"partly intersecting";418,530680527678;"B"
"131";50052;0;2012;17,84;"0";580,873390388908;"A"
"132";50052;1;2012;12,62;"partly intersecting";276,913508845697;"B"
"133";50052;0;2012;12,62;"0";223,201771311928;"A"
"134";50052;1;2012;5,64;"partly intersecting";84,0140010641189;"B"
"135";50052;0;2012;5,64;"0";15,8731489380589;"A"
"136";50053;1;2012;17,84;"partly intersecting";371,183974377502;"B"
"137";50053;0;2012;17,84;"0";628,220096534584;"A"
"138";50053;1;2012;12,62;"partly intersecting";159,786555290475;"B"
"139";50053;0;2012;12,62;"0";340,328724897234;"A"
"140";50053;1;2012;5,64;"partly intersecting";12,0605902331663;"B"
"141";50053;0;2012;5,64;"0";87,8265598012367;"A"
"142";50056;1;2012;17,84;"partly intersecting";147,019671643386;"B"
"143";50056;0;2012;17,84;"0";852,384399296716;"A"
"144";50056;1;2012;12,62;"partly intersecting";19,5942181775754;"B"
"145";50056;0;2012;12,62;"0";480,521061967127;"A"
"146";50056;1;2012;5,64;"no intersections";0;"B"
"147";50056;0;2012;5,64;"0";99,8871500359965;"A"
"148";50057;1;2012;17,84;"partly intersecting";121,543170574587;"warning"
"149";50057;2;2012;17,84;"partly intersecting";48,6355435550213;"no forest"
"150";50057;0;2012;17,84;"0";829,225356741343;"A"
"151";50057;1;2012;12,62;"partly intersecting";17,433834272204;"warning"
"152";50057;2;2012;12,62;"no intersections";0;"no forest"
"153";50057;0;2012;12,62;"0";482,68144588382;"A"
"154";50057;1;2012;5,64;"no intersections";0;"warning"
"155";50057;2;2012;5,64;"no intersections";0;"no forest"
"156";50057;0;2012;5,64;"0";99,887150014285;"A"
"157";50058;1;2012;17,84;"no intersections";0;"B"
"158";50058;0;2012;17,84;"0";999,404070918914;"A"
"159";50058;1;2012;12,62;"no intersections";0;"B"
"160";50058;0;2012;12,62;"0";500,115280133206;"A"
"161";50058;1;2012;5,64;"no intersections";0;"B"
"162";50058;0;2012;5,64;"0";99,8871500133537;"A"
"163";50059;1;2012;17,84;"partly intersecting";486,877650588809;"warning"
"164";50059;2;2012;17,84;"no intersections";0;"B"
"165";50059;0;2012;17,84;"0";512,526420295471;"A"
"166";50059;1;2012;12,62;"partly intersecting";240,986578108423;"warning"
"167";50059;2;2012;12,62;"no intersections";0;"B"
"168";50059;0;2012;12,62;"0";259,128702063579;"A"
"169";50059;1;2012;5,64;"partly intersecting";45,8917538552923;"warning"
"170";50059;2;2012;5,64;"no intersections";0;"B"
"171";50059;0;2012;5,64;"0";53,9953961710562;"A"
"172";50060;1;2012;17,84;"partly intersecting";444,560844337801;"B"
"173";50060;0;2012;17,84;"0";554,843226581113;"A"
"174";50060;1;2012;12,62;"partly intersecting";211,10022624163;"B"
"175";50060;0;2012;12,62;"0";289,01505391777;"A"
"176";50060;1;2012;5,64;"partly intersecting";32,7109508280992;"B"
"177";50060;0;2012;5,64;"0";67,1761991811218;"A"
"178";50061;1;2012;17,84;"partly intersecting";2,11923623564508;"B"
"179";50061;0;2012;17,84;"0";997,284834646387;"A"
"180";50061;1;2012;12,62;"no intersections";0;"B"
"181";50061;0;2012;12,62;"0";500,115280177444;"A"
"182";50061;1;2012;5,64;"no intersections";0;"B"
"183";50061;0;2012;5,64;"0";99,8871500329114;"A"
"184";50062;1;2012;17,84;"partly intersecting";830,923478547484;"A"
"185";50062;0;2012;17,84;"0";168,480592360196;"B"
"186";50062;1;2012;12,62;"partly intersecting";483,15390446526;"A"
"187";50062;0;2012;12,62;"0";16,9613756788895;"B"
"188";50062;1;2012;5,64;"fully covering circle";99,8871500203386;"A"
"189";50062;0;2012;5,64;"0";0;"B"
"190";50063;1;2012;17,84;"no intersections";0;"A"
"191";50063;2;2012;17,84;"no intersections";0;"B"
