"plot_ID";"tree_ID";"tree_inventory_status";"multi_stem";"dist_cm";"azi_gon";"age";"age_meth";"SP_code";"Kraft";"C_layer";"H_dm";"C_h_dm";"D_mm";"DBH_h_cm";"inv_year";"inv";"Nr_code";"Chr_code_ger";"name";"bot_name";"bot_genus";"bot_species";"Flora_EU";"LH_NH";"IPC";"WZE";"BWI";"BZE_al";"tpS_SP_com_name";"tpS_ID";"H_SP_group";"BWI_SP_group";"Bio_SP_group";"N_SP_group";"N_bg_SP_group";"N_f_SP_group_MoMoK";"RG_Wolff_bio";"BWI_comparisson_group";"bark_type_SP_group";"fruit_type_SP_group";"DBH_cm";"CCS_r_m";"dist_m";"X_tree";"Y_tree";"e_ID";"e_type";"e_form";"stand";"inter_stat";"area_m2";"stand_plot_A_ha";"plot_A_ha"
140042;1;7;FALSE;1784;175;96;1;"gfi";2;1;-9;-9;439;130;2022;"BZE3";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";43,9;17,84;17,84;6,8270724334;-16,48201086;1;3;1;"warning";NA;NA;NA;0,0999860870850348
140254;57;0;NA;1181;176;26;5;"bpa";2;1;124;15;172;130;2022;"BZE3";127;"BPa";"Balsampappel";"Populus balsamifera";"Populus";"balsamifera";"";"LB";230;30011;"PA";"FALSCH";"Populus balsamifera";20;"bu";"aLn";"shw";"BI";"BI";"aLB";"BI";"aLn";"Populus balsamifera";"Populus balsamifera";17,2;12,62;11,81;4,3475509672;-10,9806602983;1;1;2;"warning";"partly intersecting";35,5091506282616;0,00355091506282616;0,0500343869018386
140254;62;0;NA;1104;212;26;5;"hbu";2;1;116;14;158;130;2022;"BZE3";109;"HBu";"Hainbuche";"Carpinus betulus";"Carpinus";"betulus";"35.001.001";"LB";13;30011;"HBU";"WAHR";"Carpinus betulus";16;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"Carpinus betulus";"Carpinus betulus";15,8;12,62;11,04;-2,068689713;-10,844451248;1;1;2;"warning";"partly intersecting";35,5091506282616;0,00355091506282616;0,0500343869018386
140254;63;0;NA;1192;227;26;5;"sli";2;1;128;64;133;130;2022;"BZE3";124;"SLi";"Sommer-Linde";"Tilia platyphyllos";"Tilia";"platyphyllos";"105.001.003";"LB";69;30011;"LI";"WAHR";"Tilia spp.";27;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"Tilia spp.";"Tilia spp.";13,3;12,62;11,92;-4,9052511546;-10,8639270575;1;1;2;"warning";"partly intersecting";35,5091506282616;0,00355091506282616;0,0500343869018386
