"";"plot_ID";"CCS_nr";"tree_ID";"SP_code";"H_cm";"D_class_cm";"inv_year";"inv"
"1";140037;1;1;"vbe";91;0;2022;"BZE3"
"2";140037;1;2;"vbe";57;0;2022;"BZE3"
"3";140037;1;3;"vbe";81;0;2022;"BZE3"
"4";140037;1;4;"vbe";74;0;2022;"BZE3"
"5";140037;1;5;"vbe";24;0;2022;"BZE3"
"6";140037;1;6;"rbu";57;0;2022;"BZE3"
"7";140037;1;7;"vbe";69;0;2022;"BZE3"
"8";140037;1;8;"vbe";153;1;2022;"BZE3"
"9";140037;1;9;"vbe";98;0;2022;"BZE3"
"10";140037;1;10;"vbe";73;0;2022;"BZE3"
"11";140037;2;1;"vbe";108;0;2022;"BZE3"
"12";140037;2;2;"vbe";196;1;2022;"BZE3"
"13";140037;2;3;"vbe";159;1;2022;"BZE3"
"14";140037;2;4;"gfi";23;0;2022;"BZE3"
"15";140037;2;5;"gfi";20;0;2022;"BZE3"
"16";140037;2;6;"gfi";21;0;2022;"BZE3"
"17";140037;2;7;"vbe";94;0;2022;"BZE3"
"18";140037;2;8;"vbe";38;0;2022;"BZE3"
"19";140037;2;9;"vbe";20;0;2022;"BZE3"
"20";140037;2;10;"vbe";70;0;2022;"BZE3"
"21";140037;3;1;"vbe";47;0;2022;"BZE3"
"22";140037;3;2;"rbu";223;1;2022;"BZE3"
"23";140037;3;3;"vbe";54;0;2022;"BZE3"
"24";140037;3;4;"vbe";47;0;2022;"BZE3"
"25";140037;3;5;"vbe";93;0;2022;"BZE3"
"26";140037;3;6;"vbe";34;0;2022;"BZE3"
"27";140037;3;7;"vbe";54;0;2022;"BZE3"
"28";140037;3;8;"vbe";63;0;2022;"BZE3"
"29";140037;3;9;"vbe";65;0;2022;"BZE3"
"30";140037;3;10;"vbe";31;0;2022;"BZE3"
"31";140037;4;1;"vbe";62;0;2022;"BZE3"
"32";140037;4;2;"vbe";23;0;2022;"BZE3"
"33";140037;4;3;"vbe";21;0;2022;"BZE3"
"34";140037;4;4;"vbe";44;0;2022;"BZE3"
"35";140037;4;5;"vbe";87;0;2022;"BZE3"
"36";140037;4;6;"gfi";31;0;2022;"BZE3"
"37";140037;4;7;"vbe";45;0;2022;"BZE3"
"38";140037;4;8;"vbe";37;0;2022;"BZE3"
"39";140037;4;9;"vbe";37;0;2022;"BZE3"
"40";140037;4;10;"vbe";77;0;2022;"BZE3"
"41";140038;1;1;"gfi";85;0;2022;"BZE3"
"42";140038;1;2;"gfi";57;0;2022;"BZE3"
"43";140038;1;3;"gfi";56;0;2022;"BZE3"
"44";140038;1;4;"gfi";54;0;2022;"BZE3"
"45";140038;1;5;"gfi";29;0;2022;"BZE3"
"46";140038;1;6;"gfi";105;0;2022;"BZE3"
"47";140038;1;7;"gfi";147;1;2022;"BZE3"
"48";140038;1;8;"gfi";168;1;2022;"BZE3"
"49";140038;1;9;"gfi";164;1;2022;"BZE3"
"50";140038;1;10;"gfi";183;1;2022;"BZE3"
"51";140038;2;1;"gfi";37;0;2022;"BZE3"
"52";140038;2;2;"gfi";43;0;2022;"BZE3"
"53";140038;2;3;"gfi";45;0;2022;"BZE3"
"54";140038;2;4;"gfi";163;1;2022;"BZE3"
"55";140038;2;5;"gfi";158;1;2022;"BZE3"
"56";140038;2;6;"gfi";215;1;2022;"BZE3"
"57";140038;2;7;"gfi";218;1;2022;"BZE3"
"58";140038;2;8;"gfi";223;1;2022;"BZE3"
"59";140038;2;9;"rbu";343;1;2022;"BZE3"
"60";140038;2;10;"gfi";119;0;2022;"BZE3"
"61";140038;3;1;"vbe";46;0;2022;"BZE3"
"62";140038;3;2;"vbe";50;0;2022;"BZE3"
"63";140038;3;3;"vbe";60;0;2022;"BZE3"
"64";140038;3;4;"vbe";21;0;2022;"BZE3"
"65";140038;3;5;"vbe";24;0;2022;"BZE3"
"66";140038;3;6;"vbe";45;0;2022;"BZE3"
"67";140038;3;7;"vbe";83;0;2022;"BZE3"
"68";140038;3;8;"vbe";76;0;2022;"BZE3"
"69";140038;3;9;"vbe";78;0;2022;"BZE3"
"70";140038;3;10;"as";47;0;2022;"BZE3"
"71";140038;4;1;"vbe";83;0;2022;"BZE3"
"72";140038;4;2;"vbe";78;0;2022;"BZE3"
"73";140038;4;3;"gfi";70;0;2022;"BZE3"
"74";140038;4;4;"vbe";69;0;2022;"BZE3"
"75";140038;4;5;"vbe";63;0;2022;"BZE3"
"76";140038;4;6;"vbe";93;0;2022;"BZE3"
"77";140038;4;7;"vbe";68;0;2022;"BZE3"
"78";140038;4;8;"vbe";96;0;2022;"BZE3"
"79";140038;4;9;"rbu";404;1;2022;"BZE3"
"80";140038;4;10;"gfi";103;0;2022;"BZE3"
"81";140039;1;1;"vbe";20;0;2022;"BZE3"
"82";140039;1;2;"vbe";20;0;2022;"BZE3"
"83";140039;1;3;"vbe";43;0;2022;"BZE3"
"84";140039;1;4;"vbe";21;0;2022;"BZE3"
"85";140039;1;5;"vbe";53;0;2022;"BZE3"
"86";140039;1;6;"vbe";22;0;2022;"BZE3"
"87";140039;1;7;"bi";50;0;2022;"BZE3"
"88";140039;1;8;"vbe";60;0;2022;"BZE3"
"89";140039;1;9;"vbe";54;0;2022;"BZE3"
"90";140039;1;10;"vbe";25;0;2022;"BZE3"
"91";140039;2;1;"gfi";23;0;2022;"BZE3"
"92";140039;2;2;"vbe";79;0;2022;"BZE3"
"93";140039;2;3;"rbu";86;0;2022;"BZE3"
"94";140039;2;4;"vbe";210;1;2022;"BZE3"
"95";140039;2;5;"vbe";170;1;2022;"BZE3"
"96";140039;2;6;"rbu";147;1;2022;"BZE3"
