"";"X.plot_ID.CCS_no.t_ID.SP_code.H_cm.D_class_cm.inv_year.inv.stand.area_m2"
"1598";"1016;50029;1;1;wli;240;1;2012;HBI;NA;NA"
"1599";"1017;50029;1;2;wli;320;2;2012;HBI;NA;NA"
"1600";"1018;50029;3;1;sei;70;0;2012;HBI;NA;NA"
"1601";"1019;50030;1;15;ges;20;0;2012;HBI;NA;NA"
"1602";"1020;50030;1;14;rbu;20;0;2012;HBI;NA;NA"
"1603";"1021;50030;1;13;rbu;30;0;2012;HBI;NA;NA"
"1604";"1022;50030;1;12;ges;20;0;2012;HBI;NA;NA"
"1605";"1023;50030;1;11;ges;50;0;2012;HBI;NA;NA"
"1606";"1024;50030;1;10;rbu;20;0;2012;HBI;NA;NA"
"1607";"1025;50030;1;9;rbu;20;0;2012;HBI;NA;NA"
"1608";"1026;50030;1;8;ges;20;0;2012;HBI;NA;NA"
"1609";"1027;50030;1;7;rbu;20;0;2012;HBI;NA;NA"
"1610";"1028;50030;1;18;rbu;20;0;2012;HBI;NA;NA"
"1611";"1029;50030;1;17;ges;20;0;2012;HBI;NA;NA"
"1612";"1030;50030;1;16;bah;20;0;2012;HBI;NA;NA"
"1613";"1031;50030;1;1;rbu;20;0;2012;HBI;NA;NA"
"1614";"1032;50030;1;2;rbu;20;0;2012;HBI;NA;NA"
"1615";"1033;50030;1;3;rbu;20;0;2012;HBI;NA;NA"
"1616";"1034;50030;1;4;rbu;30;0;2012;HBI;NA;NA"
"1617";"1035;50030;1;5;rbu;20;0;2012;HBI;NA;NA"
"1618";"1036;50030;1;6;rbu;20;0;2012;HBI;NA;NA"
"1619";"1037;50030;4;11;rbu;20;0;2012;HBI;NA;NA"
"1620";"1038;50030;4;10;bah;40;0;2012;HBI;NA;NA"
"1621";"1039;50030;4;9;ges;30;0;2012;HBI;NA;NA"
"1622";"1040;50030;4;8;rbu;20;0;2012;HBI;NA;NA"
"1623";"1041;50030;4;7;rbu;20;0;2012;HBI;NA;NA"
"1624";"1042;50030;4;6;rbu;20;0;2012;HBI;NA;NA"
"1625";"1043;50030;4;5;rbu;20;0;2012;HBI;NA;NA"
"1626";"1044;50030;4;4;bah;20;0;2012;HBI;NA;NA"
"1627";"1045;50030;4;3;bah;20;0;2012;HBI;NA;NA"
"1628";"1046;50030;4;2;rbu;20;0;2012;HBI;NA;NA"
"1629";"1047;50030;4;1;ges;30;0;2012;HBI;NA;NA"
"1630";"1048;50030;2;1;hbu;110;0;2012;HBI;NA;NA"
"1631";"1049;50030;1;28;rbu;30;0;2012;HBI;NA;NA"
"1632";"1050;50030;1;27;rbu;20;0;2012;HBI;NA;NA"
"1633";"1051;50030;1;26;rbu;20;0;2012;HBI;NA;NA"
"1634";"1052;50030;1;25;ges;20;0;2012;HBI;NA;NA"
"1635";"1053;50030;1;24;rbu;20;0;2012;HBI;NA;NA"
"1636";"1054;50030;1;23;rbu;20;0;2012;HBI;NA;NA"
"1637";"1055;50030;1;22;ges;20;0;2012;HBI;NA;NA"
"1638";"1056;50030;1;21;rbu;20;0;2012;HBI;NA;NA"
"1639";"1057;50030;1;20;rbu;20;0;2012;HBI;NA;NA"
"1640";"1058;50030;1;19;rbu;20;0;2012;HBI;NA;NA"
"1641";"1059;50031;4;1;rbu;80;0;2012;HBI;NA;NA"
"1642";"1060;50031;1;3;rbu;20;0;2012;HBI;NA;NA"
"1643";"1061;50031;1;2;rbu;350;1;2012;HBI;NA;NA"
"1644";"1062;50031;1;1;rbu;880;2;2012;HBI;NA;NA"
"1645";"1063;50031;4;7;rbu;30;0;2012;HBI;NA;NA"
"1646";"1064;50031;4;6;rbu;20;0;2012;HBI;NA;NA"
"1647";"1065;50031;4;5;rbu;70;0;2012;HBI;NA;NA"
"1648";"1066;50031;4;4;rbu;40;0;2012;HBI;NA;NA"
"1649";"1067;50031;4;9;sei;20;0;2012;HBI;NA;NA"
"1650";"1068;50031;4;8;rbu;30;0;2012;HBI;NA;NA"
"1651";"1069;50031;4;3;rbu;20;0;2012;HBI;NA;NA"
"1652";"1070;50031;4;2;rbu;50;0;2012;HBI;NA;NA"
"1653";"1071;50032;3;21;sbi;70;0;2012;HBI;NA;NA"
"1654";"1072;50032;3;22;gfi;30;0;2012;HBI;NA;NA"
"1655";"1073;50032;3;23;gfi;30;0;2012;HBI;NA;NA"
"1656";"1074;50032;3;1;sbi;180;1;2012;HBI;NA;NA"
"1657";"1075;50032;3;2;sbi;80;0;2012;HBI;NA;NA"
"1658";"1076;50032;3;3;sbi;70;0;2012;HBI;NA;NA"
"1659";"1077;50032;3;4;sbi;100;0;2012;HBI;NA;NA"
"1660";"1078;50032;3;5;gfi;100;0;2012;HBI;NA;NA"
"1661";"1079;50032;3;6;gfi;60;0;2012;HBI;NA;NA"
"1662";"1080;50032;3;7;sbi;80;0;2012;HBI;NA;NA"
"1663";"1081;50032;3;9;sbi;110;0;2012;HBI;NA;NA"
"1664";"1082;50032;3;8;sbi;80;0;2012;HBI;NA;NA"
"1665";"1083;50032;3;20;sbi;80;0;2012;HBI;NA;NA"
"1666";"1084;50032;3;19;sbi;80;0;2012;HBI;NA;NA"
"1667";"1085;50032;3;18;sbi;70;0;2012;HBI;NA;NA"
"1668";"1086;50032;3;17;sbi;50;0;2012;HBI;NA;NA"
"1669";"1087;50032;3;16;sbi;60;0;2012;HBI;NA;NA"
"1670";"1088;50032;3;15;sbi;80;0;2012;HBI;NA;NA"
"1671";"1089;50032;3;14;sbi;60;0;2012;HBI;NA;NA"
"1672";"1090;50032;3;13;sbi;80;0;2012;HBI;NA;NA"
"1673";"1091;50032;3;12;sbi;70;0;2012;HBI;NA;NA"
"1674";"1092;50032;3;11;sbi;70;0;2012;HBI;NA;NA"
"1675";"1093;50032;3;10;sbi;80;0;2012;HBI;NA;NA"
"1676";"1094;50033;2;4;bah;20;0;2012;HBI;A;7"
"1677";"83908886989311"
"1678";"1095;50033;2;4;bah;20;0;2012;HBI;A;7"
"1679";"83908886989311"
"1680";"1096;50033;2;6;bah;30;0;2012;HBI;A;7"
"1681";"83908886989311"
"1682";"1097;50033;2;6;bah;30;0;2012;HBI;A;7"
"1683";"83908886989311"
"1684";"1098;50033;2;7;bah;30;0;2012;HBI;A;7"
"1685";"83908886989311"
"1686";"1099;50033;2;7;bah;30;0;2012;HBI;A;7"
"1687";"83908886989311"
"1688";"1100;50033;2;8;bah;20;0;2012;HBI;A;7"
"1689";"83908886989311"
"1690";"1101;50033;2;8;bah;20;0;2012;HBI;A;7"
"1691";"83908886989311"
"1692";"1102;50033;2;9;ges;20;0;2012;HBI;A;7"
"1693";"83908886989311"
"1694";"1103;50033;2;9;ges;20;0;2012;HBI;A;7"
"1695";"83908886989311"
"1696";"1104;50033;2;10;bah;20;0;2012;HBI;A;7"
"1697";"83908886989311"
"1698";"1105;50033;2;10;bah;20;0;2012;HBI;A;7"
"1699";"83908886989311"
"1700";"1106;50033;3;1;kir;250;1;2012;HBI;A;2"
"1701";"54352747340707"
"1702";"1107;50033;3;1;kir;250;1;2012;HBI;A;2"
"1703";"54352747340707"
"1704";"1108;50033;3;2;wli;160;1;2012;HBI;A;2"
"1705";"54352747340707"
"1706";"1109;50033;3;2;wli;160;1;2012;HBI;A;2"
"1707";"54352747340707"
"1708";"1110;50033;3;3;ges;40;0;2012;HBI;A;2"
"1709";"54352747340707"
"1710";"1111;50033;3;3;ges;40;0;2012;HBI;A;2"
"1711";"54352747340707"
"1712";"1112;50033;3;4;wli;200;1;2012;HBI;A;2"
"1713";"54352747340707"
"1714";"1113;50033;3;4;wli;200;1;2012;HBI;A;2"
"1715";"54352747340707"
"1716";"1114;50033;3;5;wli;150;1;2012;HBI;A;2"
"1717";"54352747340707"
"1718";"1115;50033;3;5;wli;150;1;2012;HBI;A;2"
"1719";"54352747340707"
"1720";"1116;50033;3;6;wli;170;1;2012;HBI;A;2"
"1721";"54352747340707"
"1722";"1117;50033;3;6;wli;170;1;2012;HBI;A;2"
"1723";"54352747340707"
"1724";"1118;50033;3;7;wli;60;0;2012;HBI;A;2"
"1725";"54352747340707"
"1726";"1119;50033;3;7;wli;60;0;2012;HBI;A;2"
"1727";"54352747340707"
"1728";"1120;50033;3;8;wli;240;1;2012;HBI;A;2"
"1729";"54352747340707"
"1730";"1121;50033;3;8;wli;240;1;2012;HBI;A;2"
"1731";"54352747340707"
"1732";"1122;50033;3;9;wli;260;1;2012;HBI;A;2"
"1733";"54352747340707"
"1734";"1123;50033;3;9;wli;260;1;2012;HBI;A;2"
"1735";"54352747340707"
"1736";"1124;50033;3;10;wli;300;1;2012;HBI;A;2"
"1737";"54352747340707"
"1738";"1125;50033;3;10;wli;300;1;2012;HBI;A;2"
"1739";"54352747340707"
"1740";"1126;50033;4;1;wli;60;0;2012;HBI;A;1"
"1741";"58295333252408"
"1742";"1127;50033;4;1;wli;60;0;2012;HBI;A;1"
"1743";"58295333252408"
"1744";"1128;50033;4;2;wli;50;0;2012;HBI;A;1"
"1745";"58295333252408"
"1746";"1129;50033;4;2;wli;50;0;2012;HBI;A;1"
"1747";"58295333252408"
"1748";"1130;50033;4;3;wli;110;0;2012;HBI;A;1"
"1749";"58295333252408"
"1750";"1131;50033;4;3;wli;110;0;2012;HBI;A;1"
"1751";"58295333252408"
"1752";"1132;50033;4;4;ges;20;0;2012;HBI;A;1"
"1753";"58295333252408"
"1754";"1133;50033;4;4;ges;20;0;2012;HBI;A;1"
"1755";"58295333252408"
"1756";"1134;50033;4;5;ges;20;0;2012;HBI;A;1"
"1757";"58295333252408"
"1758";"1135;50033;4;5;ges;20;0;2012;HBI;A;1"
"1759";"58295333252408"
"1760";"1136;50033;4;6;wli;200;1;2012;HBI;A;1"
"1761";"58295333252408"
"1762";"1137;50033;4;6;wli;200;1;2012;HBI;A;1"
"1763";"58295333252408"
"1764";"1138;50033;4;7;wli;210;1;2012;HBI;A;1"
"1765";"58295333252408"
"1766";"1139;50033;4;7;wli;210;1;2012;HBI;A;1"
"1767";"58295333252408"
"1768";"1140;50033;4;8;wli;300;1;2012;HBI;A;1"
"1769";"58295333252408"
"1770";"1141;50033;4;8;wli;300;1;2012;HBI;A;1"
"1771";"58295333252408"
"1772";"1142;50033;4;9;wli;300;1;2012;HBI;A;1"
"1773";"58295333252408"
"1774";"1143;50033;4;9;wli;300;1;2012;HBI;A;1"
"1775";"58295333252408"
"1776";"1144;50033;4;10;ges;140;1;2012;HBI;A;1"
"1777";"58295333252408"
"1778";"1145;50033;4;10;ges;140;1;2012;HBI;A;1"
"1779";"58295333252408"
"1780";"1146;50033;1;1;wli;70;0;2012;HBI;A;15"
"1781";"1983616929509"
"1782";"1147;50033;1;1;wli;70;0;2012;HBI;A;15"
"1783";"1983616929509"
"1784";"1148;50033;1;2;bah;20;0;2012;HBI;A;15"
"1785";"1983616929509"
"1786";"1149;50033;1;2;bah;20;0;2012;HBI;A;15"
"1787";"1983616929509"
"1788";"1150;50033;1;3;bah;20;0;2012;HBI;A;15"
"1789";"1983616929509"
"1790";"1151;50033;1;3;bah;20;0;2012;HBI;A;15"
"1791";"1983616929509"
"1792";"1152;50033;1;4;wli;110;0;2012;HBI;A;15"
"1793";"1983616929509"
"1794";"1153;50033;1;4;wli;110;0;2012;HBI;A;15"
"1795";"1983616929509"
"1796";"1154;50033;1;5;wli;80;0;2012;HBI;A;15"
"1797";"1983616929509"
"1798";"1155;50033;1;5;wli;80;0;2012;HBI;A;15"
"1799";"1983616929509"
"1800";"1156;50033;1;6;wli;80;0;2012;HBI;A;15"
"1801";"1983616929509"
"1802";"1157;50033;1;6;wli;80;0;2012;HBI;A;15"
"1803";"1983616929509"
"1804";"1158;50033;1;7;wli;130;1;2012;HBI;A;15"
"1805";"1983616929509"
"1806";"1159;50033;1;7;wli;130;1;2012;HBI;A;15"
"1807";"1983616929509"
"1808";"1160;50033;1;8;wli;110;0;2012;HBI;A;15"
"1809";"1983616929509"
"1810";"1161;50033;1;8;wli;110;0;2012;HBI;A;15"
"1811";"1983616929509"
"1812";"1162;50033;1;9;wli;360;1;2012;HBI;A;15"
"1813";"1983616929509"
"1814";"1163;50033;1;9;wli;360;1;2012;HBI;A;15"
"1815";"1983616929509"
"1816";"1164;50033;1;10;wli;110;0;2012;HBI;A;15"
"1817";"1983616929509"
"1818";"1165;50033;1;10;wli;110;0;2012;HBI;A;15"
"1819";"1983616929509"
"1820";"1166;50033;1;11;bah;480;1;2012;HBI;A;15"
"1821";"1983616929509"
"1822";"1167;50033;1;11;bah;480;1;2012;HBI;A;15"
"1823";"1983616929509"
"1824";"1168;50033;2;1;bah;20;0;2012;HBI;A;7"
"1825";"83908886989311"
"1826";"1169;50033;2;1;bah;20;0;2012;HBI;A;7"
"1827";"83908886989311"
"1828";"1170;50033;2;2;ges;20;0;2012;HBI;A;7"
"1829";"83908886989311"
"1830";"1171;50033;2;2;ges;20;0;2012;HBI;A;7"
"1831";"83908886989311"
"1832";"1172;50033;2;3;ges;20;0;2012;HBI;A;7"
"1833";"83908886989311"
"1834";"1173;50033;2;3;ges;20;0;2012;HBI;A;7"
"1835";"83908886989311"
"1836";"1174;50033;2;5;wli;30;0;2012;HBI;A;7"
"1837";"83908886989311"
"1838";"1175;50033;2;5;wli;30;0;2012;HBI;A;7"
"1839";"83908886989311"
"1840";"1176;50034;1;7;rbu;20;0;2012;HBI;NA;NA"
"1841";"1177;50034;1;8;rbu;20;0;2012;HBI;NA;NA"
"1842";"1178;50034;1;4;rbu;30;0;2012;HBI;NA;NA"
"1843";"1179;50034;1;3;rbu;30;0;2012;HBI;NA;NA"
"1844";"1180;50034;1;5;hbu;30;0;2012;HBI;NA;NA"
"1845";"1181;50034;1;9;rbu;20;0;2012;HBI;NA;NA"
"1846";"1182;50034;1;10;rbu;20;0;2012;HBI;NA;NA"
"1847";"1183;50034;1;11;rbu;20;0;2012;HBI;NA;NA"
"1848";"1184;50034;1;12;rbu;20;0;2012;HBI;NA;NA"
"1849";"1185;50034;1;13;rbu;20;0;2012;HBI;NA;NA"
"1850";"1186;50034;1;14;rbu;20;0;2012;HBI;NA;NA"
"1851";"1187;50034;1;15;rbu;20;0;2012;HBI;NA;NA"
"1852";"1188;50034;1;16;rbu;20;0;2012;HBI;NA;NA"
"1853";"1189;50034;1;17;rbu;30;0;2012;HBI;NA;NA"
"1854";"1190;50034;1;18;rbu;20;0;2012;HBI;NA;NA"
"1855";"1191;50034;1;19;rbu;30;0;2012;HBI;NA;NA"
"1856";"1192;50034;1;6;rbu;20;0;2012;HBI;NA;NA"
"1857";"1193;50034;1;2;rbu;20;0;2012;HBI;NA;NA"
"1858";"1194;50034;1;1;rbu;20;0;2012;HBI;NA;NA"
"1859";"1195;50035;3;6;sbi;250;1;2012;HBI;NA;NA"
"1860";"1196;50035;3;5;sbi;210;1;2012;HBI;NA;NA"
"1861";"1197;50035;3;4;sbi;80;0;2012;HBI;NA;NA"
"1862";"1198;50035;3;3;vbe;330;1;2012;HBI;NA;NA"
"1863";"1199;50035;4;1;vbe;550;1;2012;HBI;NA;NA"
"1864";"1200;50035;1;5;sbi;300;1;2012;HBI;NA;NA"
"1865";"1201;50035;4;10;vbe;220;1;2012;HBI;NA;NA"
"1866";"1202;50035;1;4;sei;210;1;2012;HBI;NA;NA"
"1867";"1203;50035;1;3;sei;220;1;2012;HBI;NA;NA"
"1868";"1204;50035;1;2;sbi;400;1;2012;HBI;NA;NA"
"1869";"1205;50035;1;1;vbe;240;1;2012;HBI;NA;NA"
"1870";"1206;50035;1;10;sei;250;1;2012;HBI;NA;NA"
"1871";"1207;50035;3;9;sbi;130;1;2012;HBI;NA;NA"
"1872";"1208;50035;4;9;vbe;430;1;2012;HBI;NA;NA"
"1873";"1209;50035;4;8;sbi;580;1;2012;HBI;NA;NA"
"1874";"1210;50035;4;7;sbi;220;1;2012;HBI;NA;NA"
"1875";"1211;50035;4;6;sbi;510;1;2012;HBI;NA;NA"
"1876";"1212;50035;4;5;sbi;460;1;2012;HBI;NA;NA"
"1877";"1213;50035;4;4;sbi;400;1;2012;HBI;NA;NA"
"1878";"1214;50035;4;3;vbe;380;1;2012;HBI;NA;NA"
"1879";"1215;50035;4;2;sbi;400;1;2012;HBI;NA;NA"
"1880";"1216;50035;2;10;sbi;200;1;2012;HBI;NA;NA"
"1881";"1217;50035;3;10;sbi;280;1;2012;HBI;NA;NA"
"1882";"1218;50035;3;8;sbi;510;1;2012;HBI;NA;NA"
"1883";"1219;50035;3;7;sbi;300;1;2012;HBI;NA;NA"
"1884";"1220;50035;2;6;sbi;480;1;2012;HBI;NA;NA"
"1885";"1221;50035;1;8;sbi;600;1;2012;HBI;NA;NA"
"1886";"1222;50035;2;8;sbi;330;1;2012;HBI;NA;NA"
"1887";"1223;50035;2;9;sbi;150;1;2012;HBI;NA;NA"
"1888";"1224;50035;2;7;sbi;420;1;2012;HBI;NA;NA"
"1889";"1225;50035;2;5;sbi;150;1;2012;HBI;NA;NA"
"1890";"1226;50035;2;4;sbi;200;1;2012;HBI;NA;NA"
"1891";"1227;50035;2;3;sbi;150;1;2012;HBI;NA;NA"
"1892";"1228;50035;2;2;sbi;250;1;2012;HBI;NA;NA"
"1893";"1229;50035;2;1;sbi;330;1;2012;HBI;NA;NA"
"1894";"1230;50035;3;1;sbi;400;1;2012;HBI;NA;NA"
"1895";"1231;50035;1;9;sbi;530;1;2012;HBI;NA;NA"
"1896";"1232;50035;3;2;vbe;310;1;2012;HBI;NA;NA"
"1897";"1233;50035;1;7;sbi;600;1;2012;HBI;NA;NA"
"1898";"1234;50035;1;6;sbi;520;1;2012;HBI;NA;NA"
"1899";"1235;50036;2;10;rbu;360;1;2012;HBI;A;45"
"1900";"1055345441562"
"1901";"1236;50036;2;10;rbu;360;1;2012;HBI;A;45"
"1902";"1055345441562"
"1903";"1237;50036;2;11;vbe;30;0;2012;HBI;A;45"
"1904";"1055345441562"
"1905";"1238;50036;2;11;vbe;30;0;2012;HBI;A;45"
"1906";"1055345441562"
"1907";"1239;50036;2;12;vbe;30;0;2012;HBI;A;45"
"1908";"1055345441562"
"1909";"1240;50036;2;12;vbe;30;0;2012;HBI;A;45"
"1910";"1055345441562"
"1911";"1241;50036;4;1;hbu;430;2;2012;HBI;A;76"
"1912";"3212109733475"
"1913";"1242;50036;4;1;hbu;430;2;2012;HBI;A;76"
"1914";"3212109733475"
"1915";"1243;50036;4;2;sei;460;2;2012;HBI;A;76"
"1916";"3212109733475"
"1917";"1244;50036;4;2;sei;460;2;2012;HBI;A;76"
"1918";"3212109733475"
"1919";"1245;50036;4;3;sei;30;0;2012;HBI;A;76"
"1920";"3212109733475"
"1921";"1246;50036;4;3;sei;30;0;2012;HBI;A;76"
"1922";"3212109733475"
"1923";"1247;50036;4;4;mbi;40;0;2012;HBI;A;76"
"1924";"3212109733475"
"1925";"1248;50036;4;4;mbi;40;0;2012;HBI;A;76"
"1926";"3212109733475"
"1927";"1249;50036;4;5;vbe;20;0;2012;HBI;A;76"
"1928";"3212109733475"
"1929";"1250;50036;4;5;vbe;20;0;2012;HBI;A;76"
"1930";"3212109733475"
"1931";"1251;50036;4;6;sei;20;0;2012;HBI;A;76"
"1932";"3212109733475"
"1933";"1252;50036;4;6;sei;20;0;2012;HBI;A;76"
"1934";"3212109733475"
"1935";"1253;50036;4;7;mbi;130;1;2012;HBI;A;76"
"1936";"3212109733475"
"1937";"1254;50036;4;7;mbi;130;1;2012;HBI;A;76"
"1938";"3212109733475"
"1939";"1255;50036;4;8;sei;40;0;2012;HBI;A;76"
"1940";"3212109733475"
"1941";"1256;50036;4;8;sei;40;0;2012;HBI;A;76"
"1942";"3212109733475"
"1943";"1257;50036;4;9;vbe;50;0;2012;HBI;A;76"
"1944";"3212109733475"
"1945";"1258;50036;4;9;vbe;50;0;2012;HBI;A;76"
"1946";"3212109733475"
"1947";"1259;50036;4;10;vbe;50;0;2012;HBI;A;76"
"1948";"3212109733475"
"1949";"1260;50036;4;10;vbe;50;0;2012;HBI;A;76"
"1950";"3212109733475"
"1951";"1261;50036;4;11;vbe;60;0;2012;HBI;A;76"
"1952";"3212109733475"
"1953";"1262;50036;4;11;vbe;60;0;2012;HBI;A;76"
"1954";"3212109733475"
"1955";"1263;50036;4;12;vbe;30;0;2012;HBI;A;76"
"1956";"3212109733475"
"1957";"1264;50036;4;12;vbe;30;0;2012;HBI;A;76"
"1958";"3212109733475"
"1959";"1265;50036;4;13;vbe;40;0;2012;HBI;A;76"
"1960";"3212109733475"
"1961";"1266;50036;4;13;vbe;40;0;2012;HBI;A;76"
"1962";"3212109733475"
"1963";"1267;50036;4;14;vbe;60;0;2012;HBI;A;76"
"1964";"3212109733475"
"1965";"1268;50036;4;14;vbe;60;0;2012;HBI;A;76"
"1966";"3212109733475"
"1967";"1269;50036;4;15;vbe;50;0;2012;HBI;A;76"
"1968";"3212109733475"
"1969";"1270;50036;4;15;vbe;50;0;2012;HBI;A;76"
"1970";"3212109733475"
"1971";"1271;50036;4;16;sei;30;0;2012;HBI;A;76"
"1972";"3212109733475"
"1973";"1272;50036;4;16;sei;30;0;2012;HBI;A;76"
"1974";"3212109733475"
"1975";"1273;50036;4;17;sei;20;0;2012;HBI;A;76"
"1976";"3212109733475"
"1977";"1274;50036;4;17;sei;20;0;2012;HBI;A;76"
"1978";"3212109733475"
"1979";"1275;50036;1;1;sbi;210;1;2012;HBI;A;72"
"1980";"3492259102456"
"1981";"1276;50036;1;1;sbi;210;1;2012;HBI;A;72"
"1982";"3492259102456"
"1983";"1277;50036;1;2;sei;20;0;2012;HBI;A;72"
"1984";"3492259102456"
"1985";"1278;50036;1;2;sei;20;0;2012;HBI;A;72"
"1986";"3492259102456"
"1987";"1279;50036;1;3;mbi;100;0;2012;HBI;A;72"
"1988";"3492259102456"
"1989";"1280;50036;1;3;mbi;100;0;2012;HBI;A;72"
"1990";"3492259102456"
"1991";"1281;50036;1;4;sei;70;0;2012;HBI;A;72"
"1992";"3492259102456"
"1993";"1282;50036;1;4;sei;70;0;2012;HBI;A;72"
"1994";"3492259102456"
"1995";"1283;50036;1;5;mbi;20;0;2012;HBI;A;72"
"1996";"3492259102456"
"1997";"1284;50036;1;5;mbi;20;0;2012;HBI;A;72"
"1998";"3492259102456"
"1999";"1285;50036;1;6;sbi;470;1;2012;HBI;A;72"
"2000";"3492259102456"
"2001";"1286;50036;1;6;sbi;470;1;2012;HBI;A;72"
"2002";"3492259102456"
"2003";"1287;50036;2;1;kir;20;0;2012;HBI;A;45"
"2004";"1055345441562"
"2005";"1288;50036;2;1;kir;20;0;2012;HBI;A;45"
"2006";"1055345441562"
"2007";"1289;50036;2;2;sei;20;0;2012;HBI;A;45"
"2008";"1055345441562"
"2009";"1290;50036;2;2;sei;20;0;2012;HBI;A;45"
"2010";"1055345441562"
"2011";"1291;50036;2;3;vbe;30;0;2012;HBI;A;45"
"2012";"1055345441562"
"2013";"1292;50036;2;3;vbe;30;0;2012;HBI;A;45"
"2014";"1055345441562"
"2015";"1293;50036;2;4;vbe;30;0;2012;HBI;A;45"
"2016";"1055345441562"
"2017";"1294;50036;2;4;vbe;30;0;2012;HBI;A;45"
"2018";"1055345441562"
"2019";"1295;50036;2;5;vbe;50;0;2012;HBI;A;45"
"2020";"1055345441562"
"2021";"1296;50036;2;5;vbe;50;0;2012;HBI;A;45"
"2022";"1055345441562"
"2023";"1297;50036;2;6;vbe;70;0;2012;HBI;A;45"
"2024";"1055345441562"
"2025";"1298;50036;2;6;vbe;70;0;2012;HBI;A;45"
"2026";"1055345441562"
"2027";"1299;50036;2;7;vbe;40;0;2012;HBI;A;45"
"2028";"1055345441562"
"2029";"1300;50036;2;7;vbe;40;0;2012;HBI;A;45"
"2030";"1055345441562"
"2031";"1301;50036;2;8;vbe;40;0;2012;HBI;A;45"
"2032";"1055345441562"
"2033";"1302;50036;2;8;vbe;40;0;2012;HBI;A;45"
"2034";"1055345441562"
"2035";"1303;50036;2;9;vbe;50;0;2012;HBI;A;45"
"2036";"1055345441562"
"2037";"1304;50036;2;9;vbe;50;0;2012;HBI;A;45"
"2038";"1055345441562"
"2039";"1305;50037;1;2;bah;860;2;2012;HBI;NA;NA"
"2040";"1306;50037;1;4;hbu;410;3;2012;HBI;NA;NA"
"2041";"1307;50037;1;5;bah;70;0;2012;HBI;NA;NA"
"2042";"1308;50037;1;6;kir;20;0;2012;HBI;NA;NA"
"2043";"1309;50037;1;7;kir;20;0;2012;HBI;NA;NA"
"2044";"1310;50037;1;8;hbu;260;1;2012;HBI;NA;NA"
"2045";"1311;50037;2;1;hbu;580;1;2012;HBI;NA;NA"
"2046";"1312;50037;2;2;kir;20;0;2012;HBI;NA;NA"
"2047";"1313;50037;2;3;bah;20;0;2012;HBI;NA;NA"
"2048";"1314;50037;2;4;kir;20;0;2012;HBI;NA;NA"
"2049";"1315;50037;2;5;bah;20;0;2012;HBI;NA;NA"
"2050";"1316;50037;2;6;rbu;20;0;2012;HBI;NA;NA"
"2051";"1317;50037;2;7;kir;20;0;2012;HBI;NA;NA"
"2052";"1318;50037;2;8;vbe;620;3;2012;HBI;NA;NA"
"2053";"1319;50037;2;9;sei;20;0;2012;HBI;NA;NA"
"2054";"1320;50037;2;10;sei;20;0;2012;HBI;NA;NA"
"2055";"1321;50037;2;11;eib;50;0;2012;HBI;NA;NA"
"2056";"1322;50037;2;12;tei;20;0;2012;HBI;NA;NA"
"2057";"1323;50037;2;13;rei;20;0;2012;HBI;NA;NA"
"2058";"1324;50037;3;1;eib;150;1;2012;HBI;NA;NA"
"2059";"1325;50037;3;2;bah;100;0;2012;HBI;NA;NA"
"2060";"1326;50037;3;3;bah;90;0;2012;HBI;NA;NA"
"2061";"1327;50037;3;4;bah;90;0;2012;HBI;NA;NA"
"2062";"1328;50037;3;5;bah;70;0;2012;HBI;NA;NA"
"2063";"1329;50037;3;6;bah;60;0;2012;HBI;NA;NA"
"2064";"1330;50037;3;7;bah;70;0;2012;HBI;NA;NA"
"2065";"1331;50037;1;1;kir;20;0;2012;HBI;NA;NA"
"2066";"1332;50037;1;3;kir;20;0;2012;HBI;NA;NA"
"2067";"1333;50038;4;5;bah;20;0;2012;HBI;NA;NA"
"2068";"1334;50038;4;6;bah;20;0;2012;HBI;NA;NA"
"2069";"1335;50038;4;7;rbu;20;0;2012;HBI;NA;NA"
"2070";"1336;50038;4;8;rbu;20;0;2012;HBI;NA;NA"
"2071";"1337;50038;1;2;rbu;20;0;2012;HBI;NA;NA"
"2072";"1338;50038;1;1;bah;20;0;2012;HBI;NA;NA"
"2073";"1339;50038;4;1;bah;20;0;2012;HBI;NA;NA"
"2074";"1340;50038;4;3;tei;20;0;2012;HBI;NA;NA"
"2075";"1341;50038;4;2;rbu;20;0;2012;HBI;NA;NA"
"2076";"1342;50038;3;2;rbu;20;0;2012;HBI;NA;NA"
"2077";"1343;50038;3;1;rbu;20;0;2012;HBI;NA;NA"
"2078";"1344;50038;2;2;rbu;20;0;2012;HBI;NA;NA"
"2079";"1345;50038;2;1;rbu;20;0;2012;HBI;NA;NA"
"2080";"1346;50038;1;3;rbu;20;0;2012;HBI;NA;NA"
"2081";"1347;50038;4;4;rbu;20;0;2012;HBI;NA;NA"
"2082";"1348;50039;2;8;bah;20;0;2012;HBI;NA;NA"
"2083";"1349;50039;2;9;bah;30;0;2012;HBI;NA;NA"
"2084";"1350;50039;2;10;bah;20;0;2012;HBI;NA;NA"
"2085";"1351;50039;2;11;ges;60;0;2012;HBI;NA;NA"
"2086";"1352;50039;2;12;bah;20;0;2012;HBI;NA;NA"
"2087";"1353;50039;3;1;ges;140;1;2012;HBI;NA;NA"
"2088";"1354;50039;3;2;bah;20;0;2012;HBI;NA;NA"
"2089";"1355;50039;3;3;bah;20;0;2012;HBI;NA;NA"
