"";"X.plot_ID.CCS_no.t_ID.SP_code.H_cm.D_class_cm.inv_year.inv.stand.area_m2"
"110";"0091080471727"
"111";"90;50005;2;5;eib;40;0;2012;HBI;B;65"
"112";"0091080471727"
"113";"91;50005;2;6;eib;40;0;2012;HBI;B;65"
"114";"0091080471727"
"115";"92;50005;2;6;eib;40;0;2012;HBI;B;65"
"116";"0091080471727"
"117";"93;50005;2;7;rbu;30;0;2012;HBI;B;65"
"118";"0091080471727"
"119";"94;50005;2;7;rbu;30;0;2012;HBI;B;65"
"120";"0091080471727"
"121";"95;50005;2;8;eib;40;0;2012;HBI;B;65"
"122";"0091080471727"
"123";"96;50005;2;8;eib;40;0;2012;HBI;B;65"
"124";"0091080471727"
"125";"97;50005;2;9;rbu;20;0;2012;HBI;B;65"
"126";"0091080471727"
"127";"98;50005;2;9;rbu;20;0;2012;HBI;B;65"
"128";"0091080471727"
"129";"99;50005;2;10;rbu;20;0;2012;HBI;B;65"
"130";"0091080471727"
"131";"100;50005;2;10;rbu;20;0;2012;HBI;B;65"
"132";"0091080471727"
"133";"101;50005;3;1;sah;20;0;2012;HBI;B;65"
"134";"5818727522955"
"135";"102;50005;3;1;sah;20;0;2012;HBI;B;65"
"136";"5818727522955"
"137";"103;50005;4;9;vbe;50;0;2012;HBI;A;26"
"138";"0457213276884"
"139";"104;50005;4;9;vbe;50;0;2012;HBI;A;26"
"140";"0457213276884"
"141";"105;50005;4;8;hbu;20;0;2012;HBI;A;26"
"142";"0457213276884"
"143";"106;50005;4;8;hbu;20;0;2012;HBI;A;26"
"144";"0457213276884"
"145";"107;50005;4;7;rbu;30;0;2012;HBI;A;26"
"146";"0457213276884"
"147";"108;50005;4;7;rbu;30;0;2012;HBI;A;26"
"148";"0457213276884"
"149";"109;50005;4;6;bah;20;0;2012;HBI;A;26"
"150";"0457213276884"
"151";"110;50005;4;6;bah;20;0;2012;HBI;A;26"
"152";"0457213276884"
"153";"111;50005;4;5;vbe;30;0;2012;HBI;A;26"
"154";"0457213276884"
"155";"112;50005;4;5;vbe;30;0;2012;HBI;A;26"
"156";"0457213276884"
"157";"113;50005;4;4;sah;30;0;2012;HBI;A;26"
"158";"0457213276884"
"159";"114;50005;4;4;sah;30;0;2012;HBI;A;26"
"160";"0457213276884"
"161";"115;50005;4;3;eib;60;0;2012;HBI;A;26"
"162";"0457213276884"
"163";"116;50005;4;3;eib;60;0;2012;HBI;A;26"
"164";"0457213276884"
"165";"117;50005;4;2;bah;20;0;2012;HBI;A;26"
"166";"0457213276884"
"167";"118;50005;4;2;bah;20;0;2012;HBI;A;26"
"168";"0457213276884"
"169";"119;50005;4;1;rbu;70;0;2012;HBI;A;26"
"170";"0457213276884"
"171";"120;50005;4;1;rbu;70;0;2012;HBI;A;26"
"172";"0457213276884"
"173";"121;50005;3;10;rei;20;0;2012;HBI;B;65"
"174";"5818727522955"
"175";"122;50005;3;10;rei;20;0;2012;HBI;B;65"
"176";"5818727522955"
"177";"123;50005;3;9;bah;30;0;2012;HBI;B;65"
"178";"5818727522955"
"179";"124;50005;3;9;bah;30;0;2012;HBI;B;65"
"180";"5818727522955"
"181";"125;50005;3;8;vbe;20;0;2012;HBI;B;65"
"182";"5818727522955"
"183";"126;50005;3;8;vbe;20;0;2012;HBI;B;65"
"184";"5818727522955"
"185";"127;50005;3;7;bah;60;0;2012;HBI;B;65"
"186";"5818727522955"
"187";"128;50005;3;7;bah;60;0;2012;HBI;B;65"
"188";"5818727522955"
"189";"129;50005;3;6;bah;20;0;2012;HBI;B;65"
"190";"5818727522955"
"191";"130;50005;3;6;bah;20;0;2012;HBI;B;65"
"192";"5818727522955"
"193";"131;50005;3;5;rbu;20;0;2012;HBI;B;65"
"194";"5818727522955"
"195";"132;50005;3;5;rbu;20;0;2012;HBI;B;65"
"196";"5818727522955"
"197";"133;50005;4;10;rbu;30;0;2012;HBI;A;26"
"198";"0457213276884"
"199";"134;50005;4;10;rbu;30;0;2012;HBI;A;26"
"200";"0457213276884"
"201";"135;50005;3;4;rbu;20;0;2012;HBI;B;65"
"202";"5818727522955"
"203";"136;50005;3;4;rbu;20;0;2012;HBI;B;65"
"204";"5818727522955"
"205";"137;50005;3;3;vbe;20;0;2012;HBI;B;65"
"206";"5818727522955"
"207";"138;50005;3;3;vbe;20;0;2012;HBI;B;65"
"208";"5818727522955"
"209";"139;50005;1;5;bah;20;0;2012;HBI;A;38"
"210";"2474308380808"
"211";"140;50005;1;5;bah;20;0;2012;HBI;A;38"
"212";"2474308380808"
"213";"141;50005;1;1;bah;20;0;2012;HBI;A;38"
"214";"2474308380808"
"215";"142;50005;1;1;bah;20;0;2012;HBI;A;38"
"216";"2474308380808"
"217";"143;50005;1;2;rbu;20;0;2012;HBI;A;38"
"218";"2474308380808"
"219";"144;50005;1;2;rbu;20;0;2012;HBI;A;38"
"220";"2474308380808"
"221";"145;50005;1;3;rbu;20;0;2012;HBI;A;38"
"222";"2474308380808"
"223";"146;50005;1;3;rbu;20;0;2012;HBI;A;38"
"224";"2474308380808"
"225";"147;50005;1;4;bah;20;0;2012;HBI;A;38"
"226";"2474308380808"
"227";"148;50005;1;4;bah;20;0;2012;HBI;A;38"
"228";"2474308380808"
"229";"149;50006;4;1;rei;830;3;2012;HBI;A;61"
"230";"9038064194539"
"231";"150;50006;4;1;rei;830;3;2012;HBI;A;61"
"232";"9038064194539"
"233";"151;50006;2;1;rbu;480;3;2012;HBI;NA;37"
"234";"15936630779"
"235";"152;50006;2;1;rbu;480;3;2012;HBI;B;37"
"236";"15936630779"
"237";"153;50006;2;1;rbu;480;3;2012;HBI;NA;37"
"238";"15936630779"
"239";"154;50006;2;1;rbu;480;3;2012;HBI;B;37"
"240";"15936630779"
"241";"155;50007;3;5;bah;500;1;2012;HBI;A;33"
"242";"1679122689657"
"243";"156;50007;3;5;bah;500;1;2012;HBI;A;33"
"244";"1679122689657"
"245";"157;50007;3;6;as;130;1;2012;HBI;A;33"
"246";"1679122689657"
"247";"158;50007;3;6;as;130;1;2012;HBI;A;33"
"248";"1679122689657"
"249";"159;50007;3;7;vbe;260;1;2012;HBI;A;33"
"250";"1679122689657"
"251";"160;50007;3;7;vbe;260;1;2012;HBI;A;33"
"252";"1679122689657"
"253";"161;50007;3;8;as;220;1;2012;HBI;A;33"
"254";"1679122689657"
"255";"162;50007;3;8;as;220;1;2012;HBI;A;33"
"256";"1679122689657"
"257";"163;50007;3;9;as;380;1;2012;HBI;A;33"
"258";"1679122689657"
"259";"164;50007;3;9;as;380;1;2012;HBI;A;33"
"260";"1679122689657"
"261";"165;50007;3;10;as;200;1;2012;HBI;A;33"
"262";"1679122689657"
"263";"166;50007;3;10;as;200;1;2012;HBI;A;33"
"264";"1679122689657"
"265";"167;50007;4;1;vbe;350;1;2012;HBI;A;32"
"266";"1552115156647"
"267";"168;50007;4;1;vbe;350;1;2012;HBI;A;32"
"268";"1552115156647"
"269";"169;50007;4;2;as;300;1;2012;HBI;A;32"
"270";"1552115156647"
"271";"170;50007;4;2;as;300;1;2012;HBI;A;32"
"272";"1552115156647"
"273";"171;50007;4;3;bah;220;1;2012;HBI;A;32"
"274";"1552115156647"
"275";"172;50007;4;3;bah;220;1;2012;HBI;A;32"
"276";"1552115156647"
"277";"173;50007;4;4;bah;250;1;2012;HBI;A;32"
"278";"1552115156647"
"279";"174;50007;4;4;bah;250;1;2012;HBI;A;32"
"280";"1552115156647"
"281";"175;50007;4;5;bah;400;1;2012;HBI;A;32"
"282";"1552115156647"
"283";"176;50007;4;5;bah;400;1;2012;HBI;A;32"
"284";"1552115156647"
"285";"177;50007;4;6;bah;240;1;2012;HBI;A;32"
"286";"1552115156647"
"287";"178;50007;4;6;bah;240;1;2012;HBI;A;32"
"288";"1552115156647"
"289";"179;50007;4;7;bah;130;1;2012;HBI;A;32"
"290";"1552115156647"
"291";"180;50007;4;7;bah;130;1;2012;HBI;A;32"
"292";"1552115156647"
"293";"181;50007;4;8;bah;450;1;2012;HBI;A;32"
"294";"1552115156647"
"295";"182;50007;4;8;bah;450;1;2012;HBI;A;32"
"296";"1552115156647"
"297";"183;50007;4;9;bah;220;1;2012;HBI;A;32"
"298";"1552115156647"
"299";"184;50007;4;9;bah;220;1;2012;HBI;A;32"
"300";"1552115156647"
"301";"185;50007;4;10;bah;120;0;2012;HBI;A;32"
"302";"1552115156647"
"303";"186;50007;4;10;bah;120;0;2012;HBI;A;32"
"304";"1552115156647"
