"plot_ID","tree_ID","old_tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","inv_year","inv","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group","DBH_cm","CCS_r_m","dist_m","X_tree","Y_tree","e_ID","e_type","e_form","stand","inter_stat","area_m2","stand_plot_A_ha","plot_A_ha","old_tree_ID","tree_inventory_status"
140039,11,-9,0,282,151,99,1,"gfi",2,1,-9,-9,400,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",40,17.84,2.82,1.96247408639033,-2.02511615969219,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,11,-9
140039,12,-9,0,941,154,99,1,"gfi",2,1,-9,-9,417,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",41.7,17.84,9.41,6.22294465269556,-7.05854516522262,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,12,-9
140039,13,-9,0,1542,168,99,1,"gfi",2,1,269,204,310,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",31,17.84,15.42,7.42864165464845,-13.5126490062764,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,13,-9
140039,14,-9,0,1031,171,99,1,"gfi",2,1,-9,-9,396,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",39.6,17.84,10.31,4.53577284121449,-9.25866430609195,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,14,-9
140039,15,-9,0,368,216,99,1,"gfi",2,1,274,167,370,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",37,17.84,3.68,-0.915178784766665,-3.56438603295336,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,15,-9
140039,16,-9,0,932,240,99,1,"gfi",2,1,-9,-9,403,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",40.3,17.84,9.32,-5.47815855136585,-7.54003838757451,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,16,-9
140039,17,-9,0,1372,231,99,1,"gfi",2,1,275,172,463,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",46.3,17.84,13.72,-6.41999705165507,-12.1252644448169,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,17,-9
140039,18,-9,0,1714,299,99,1,"gfi",2,1,-9,-9,401,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",40.1,17.84,17.14,-17.1378854807357,-0.269223418724608,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,18,-9
140039,19,-9,0,1168,297,99,1,"gfi",2,1,-9,-9,318,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",31.8,17.84,11.68,-11.6670337395558,-0.550203344288625,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,19,-9
140039,20,-9,0,944,291,99,1,"gfi",2,1,-9,-9,303,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",30.3,17.84,9.44,-9.3458233288443,-1.33010762949078,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,20,-9
