"";"X.2";"X.1";"plot_ID";"tree_ID";"old_tree_inventory_status";"multi_stem";"dist_cm";"azi_gon";"age";"age_meth";"SP_code";"Kraft";"C_layer";"H_dm";"C_h_dm";"D_mm";"DBH_h_cm";"inv_year";"inv";"X";"Nr_code";"Chr_code_ger";"name";"bot_name";"bot_genus";"bot_species";"Flora_EU";"LH_NH";"IPC";"WZE";"BWI";"BZE_al";"tpS_SP_com_name";"tpS_ID";"H_SP_group";"BWI_SP_group";"Bio_SP_group";"N_SP_group";"N_bg_SP_group";"N_f_SP_group_MoMoK";"RG_Wolff_bio";"DBH_cm";"CCS_r_m";"dist_m";"X_tree";"Y_tree";"e_ID";"e_type";"e_form";"stand";"inter_stat";"area_m2";"stand_plot_A_ha";"plot_A_ha";"old_tree_ID";"tree_inventory_status"
"1";1;1;50001;1;-9;0;429;157;61;6;"gki";2;1;-9;-9;453;130;2023;"BZE3";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";44,3;17,84;4,09;-0,325353540357613;4,07703876284942;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;1;1
"2";2;2;50001;2;-1;0;1477;165;61;6;"gki";2;1;-9;-9;325;130;2023;"BZE3";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";31,5;17,84;14,57;14,5379063615849;-0,966529162410038;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;2;1
"3";3;3;50001;3;0;0;1038;188;61;6;"gki";2;1;-9;-9;338;130;2023;"BZE3";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";32,8;17,84;10,18;-4,84083095054275;8,95537579938817;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;3;0
"4";4;4;50001;4;1;0;630;212;61;6;"gki";2;1;-9;-9;394;130;2023;"BZE3";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";38,4;17,84;6,1;-6,08991727216031;-0,350581828170759;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;4;1
"5";5;5;50001;5;2;0;1694;218;61;6;"gki";2;1;-9;-9;372;130;2023;"BZE3";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";36,2;17,84;16,74;-15,7778605874942;-5,59345289437546;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;5;2
"6";6;6;50001;6;3;0;1158;238;61;6;"gki";3;1;-9;-9;283;130;2023;"BZE3";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";27,3;12,62;11,38;-7,84851416799144;8,2404626905798;NA;NA;NA;"A";NA;500,343869018386;0,0500343869018386;0,0500343869018386;6;3
"7";8;8;50001;8;5;0;1262;272;61;6;"gki";2;1;-9;-9;378;130;2023;"BZE3";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";36,8;17,84;12,42;12,0269931753593;-3,09965081256929;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;8;5
"8";10;10;50001;10;7;0;809;311;61;6;"gki";2;1;224;167;333;130;2023;"BZE3";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";32,3;17,84;7,89;0,139430387337556;-7,88876791185334;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;10;7
"9";9;9;50001;27;0;0;1631;273;61;6;"gki";2;1;-9;-9;653;130;2023;"BZE3";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";34,3;17,84;16,11;-10,1478727616947;-12,5121052749909;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;27;1
"10";9;9;50001;28;0;0;1631;275;61;6;"gki";2;1;-9;-9;453;130;2023;"BZE3";28;211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"026.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";34,3;17,84;16,11;-10,1478727616947;-12,5121052749909;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;9;0
