"plot_ID","inv","stand","SP_code","compartiment","B_t_ha","C_t_ha","N_t_ha","BA_m2_ha","stand_component","BA_percent","mean_DBH_cm","sd_DBH_cm","Dg_cm","mean_BA_m2","mean_H_m","sd_H_m","Hg_m","n_ha","n_SP"
140020,"HBI",NA,NA,"bg",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140020,"HBI",NA,NA,"total",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140030,"HBI","all","all","ag",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
140030,"HBI","all","all","bg",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
140030,"HBI","all","all","total",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
140030,"HBI","all",NA,"ag",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140030,"HBI","all",NA,"bg",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140030,"HBI","all",NA,"total",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140030,"HBI",NA,"all","ag",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
140030,"HBI",NA,"all","bg",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
140030,"HBI",NA,"all","total",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
140030,"HBI",NA,NA,"ag",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140030,"HBI",NA,NA,"bg",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140030,"HBI",NA,NA,"total",0,0,0,0,"LT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140037,"HBI","A","all","ag",153.95834908171,76.9791745408548,0.236130868615089,26.1998299066619,"LT",NA,NA,NA,NA,NA,NA,NA,NA,239.967282531224,NA
140037,"HBI","A","all","bg",23.3551458225687,11.6775729112843,0.0966903037054344,26.1998299066619,"LT",NA,NA,NA,NA,NA,NA,NA,NA,239.967282531224,NA
140037,"HBI","A","all","fwb",22.8026043606978,11.4013021803489,0.0990317107385107,26.1998299066619,"LT",NA,NA,NA,NA,NA,NA,NA,NA,239.967282531224,NA
140037,"HBI","A","all","ndl",10.8988289432421,5.44941447162107,0,26.1998299066619,"LT",NA,NA,NA,NA,NA,NA,NA,NA,239.967282531224,NA
140037,"HBI","A","all","sb",9.37017390274676,4.68508695137338,0.0453516416892943,26.1998299066619,"LT",NA,NA,NA,NA,NA,NA,NA,NA,239.967282531224,NA
140037,"HBI","A","all","stb",0.423903124321068,0.211951562160534,0.00205169112171397,26.1998299066619,"LT",NA,NA,NA,NA,NA,NA,NA,NA,239.967282531224,NA
140037,"HBI","A","all","stw",5.1119235151313,2.55596175756565,0.00415088189428662,26.1998299066619,"LT",NA,NA,NA,NA,NA,NA,NA,NA,239.967282531224,NA
140037,"HBI","A","all","sw",105.35091523557,52.6754576177852,0.0855449431712832,26.1998299066619,"LT",NA,NA,NA,NA,NA,NA,NA,NA,239.967282531224,NA
140037,"HBI","A","all","total",177.313494904278,88.6567474521391,0.332821172320523,26.1998299066619,"LT",NA,NA,NA,NA,NA,NA,NA,NA,239.967282531224,NA
140037,"HBI","A","gfi","ag",153.95834908171,76.9791745408548,0.236130868615089,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","A","gfi","bg",23.3551458225687,11.6775729112843,0.0966903037054344,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","A","gfi","fwb",22.8026043606978,11.4013021803489,0.0990317107385107,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","A","gfi","ndl",10.8988289432421,5.44941447162107,0,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","A","gfi","sb",9.37017390274676,4.68508695137338,0.0453516416892943,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","A","gfi","stb",0.423903124321068,0.211951562160534,0.00205169112171397,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","A","gfi","stw",5.1119235151313,2.55596175756565,0.00415088189428662,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","A","gfi","sw",105.35091523557,52.6754576177852,0.0855449431712832,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","A","gfi","total",177.313494904278,88.6567474521391,0.332821172320523,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","all","all","ag",153.95834908171,76.9791745408548,0.236130868615089,26.1998299066619,"LT",NA,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,239.967282531224,1
140037,"HBI","all","all","bg",23.3551458225687,11.6775729112843,0.0966903037054344,26.1998299066619,"LT",NA,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,239.967282531224,1
140037,"HBI","all","all","fwb",22.8026043606978,11.4013021803489,0.0990317107385107,26.1998299066619,"LT",NA,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,239.967282531224,1
140037,"HBI","all","all","ndl",10.8988289432421,5.44941447162107,0,26.1998299066619,"LT",NA,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,239.967282531224,1
140037,"HBI","all","all","sb",9.37017390274676,4.68508695137338,0.0453516416892943,26.1998299066619,"LT",NA,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,239.967282531224,1
140037,"HBI","all","all","stb",0.423903124321068,0.211951562160534,0.00205169112171397,26.1998299066619,"LT",NA,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,239.967282531224,1
140037,"HBI","all","all","stw",5.1119235151313,2.55596175756565,0.00415088189428662,26.1998299066619,"LT",NA,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,239.967282531224,1
140037,"HBI","all","all","sw",105.35091523557,52.6754576177852,0.0855449431712832,26.1998299066619,"LT",NA,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,239.967282531224,1
140037,"HBI","all","all","total",177.313494904278,88.6567474521391,0.332821172320523,26.1998299066619,"LT",NA,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,239.967282531224,1
140037,"HBI","all","gfi","ag",153.95834908171,76.9791745408548,0.236130868615089,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","all","gfi","bg",23.3551458225687,11.6775729112843,0.0966903037054344,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
