"";"plot_ID";"CCS_nr";"CCS_position";"CCS_dist";"RG_inv_status";"CCS_max_dist_cm";"inv_year";"inv";"e_ID";"e_form";"CCS_gon";"stand";"area_m2"
"1";50001;4;"w";1000;2;500;2012;"HBI";NA;NA;300;NA;NA
"2";50001;1;"n";1000;2;500;2012;"HBI";NA;NA;0;NA;NA
"3";50001;2;"o";1000;2;500;2012;"HBI";NA;NA;100;NA;NA
"4";50001;3;"s";1000;2;500;2012;"HBI";NA;NA;200;NA;NA
"5";50002;3;"s";1000;2;500;2012;"HBI";NA;NA;200;NA;NA
"6";50002;1;"n";1000;2;500;2012;"HBI";NA;NA;0;NA;NA
"7";50002;4;"w";1000;2;500;2012;"HBI";NA;NA;300;NA;NA
"8";50002;2;"o";1000;2;500;2012;"HBI";NA;NA;100;NA;NA
"9";50003;2;"o";1000;1;230;2012;"HBI";NA;NA;100;NA;NA
"10";50003;3;"s";1000;1;425;2012;"HBI";NA;NA;200;NA;NA
"11";50003;1;"n";1000;1;500;2012;"HBI";NA;NA;0;NA;NA
"12";50003;4;"w";1000;1;237;2012;"HBI";NA;NA;300;NA;NA
"13";50004;4;"w";1000;1;500;2012;"HBI";1;2;300;NA;NA
"14";50004;3;"s";1000;1;500;2012;"HBI";1;2;200;NA;NA
"15";50004;2;"o";1000;1;500;2012;"HBI";1;2;100;NA;NA
"16";50004;1;"n";1000;1;202;2012;"HBI";1;2;0;NA;NA
"17";50005;2;"o";1000;1;455;2012;"HBI";1;1;100;"B";65,0091080471727
"18";50005;2;"o";1000;1;455;2012;"HBI";1;1;100;"B";65,0091080471727
"19";50005;1;"n";1000;1;349;2012;"HBI";1;1;0;"A";38,2474308380808
"20";50005;1;"n";1000;1;349;2012;"HBI";1;1;0;"A";38,2474308380808
"21";50005;4;"w";1000;1;288;2012;"HBI";1;1;300;"A";26,0457213276884
"22";50005;4;"w";1000;1;288;2012;"HBI";1;1;300;"A";26,0457213276884
"23";50005;3;"s";1000;1;457;2012;"HBI";1;1;200;"B";65,5818727522955
"24";50005;3;"s";1000;1;457;2012;"HBI";1;1;200;"B";65,5818727522955
"25";50006;4;"w";1000;1;444;2012;"HBI";1;1;300;"A";61,9038064194539
