"stand_type","stand_component","plot_ID","dom_SP","stand","SP_code","compartiment","B_t_ha_diff","C_t_ha_diff","N_t_ha_diff","BA_m2_ha_diff","n_ha_diff","n_SP_diff"
1,"DW","all","all","all","all","ag",-2.05007147928508,-1.02503573964255,-0.00273956365981119,0,-505.878503205699,0
10,"DW","all","all","all","all","ag",4.00982177535233,2.00491088767616,0.00563110516808443,0,-798.736392886974,0
2,"DW","all","all","all","all","ag",-3.12340947123736,-1.56170473561868,-0.00487412731324926,0,-395.727842910221,0
3,"DW","all","all","all","all","ag",3.976137020722,1.988068510361,0.00348445024098763,0,346.42841466888,0
5,"DW","all","all","all","all","ag",0.550039591318829,0.27501979565942,-0.0027845291277473,0,-148.988444070882,0
6,"DW","all","all","all","all","ag",4.93034470516251,2.46517235258125,0.00788366721286731,0,-185.872168639649,0
NA,"DW","all","all","all","all","ag",7.71450681113562,3.85725340556781,0.00897948801018372,0,-187.870794108893,0
1,"DW","all","all","all","all","fwb",-0.59507657329608,-0.29753828664804,-0.0025844175578249,0,-505.878503205699,0
10,"DW","all","all","all","all","fwb",4.73138090726652,2.36569045363326,0.0206201040402344,0,-798.736392886974,0
2,"DW","all","all","all","all","fwb",-2.1600326840575,-1.08001634202875,-0.00938102194686172,0,-395.727842910221,0
5,"DW","all","all","all","all","fwb",0,0,0,0,-148.988444070882,0
6,"DW","all","all","all","all","fwb",2.19227814246745,1.09613907123372,0.00952106397273615,0,-185.872168639649,0
1,"DW","all","all","all","all","sb",-0.26748213237656,-0.133741066188283,-0.00131749533670972,0,-505.878503205699,0
10,"DW","all","all","all","all","sb",0.704076704070093,0.352038352035047,0.00313925735967927,0,-798.736392886974,0
2,"DW","all","all","all","all","sb",-0.783977138178434,-0.391988569089217,-0.00379444934878362,0,-395.727842910221,0
5,"DW","all","all","all","all","sb",0,0,0,0,-148.988444070882,0
6,"DW","all","all","all","all","sb",0.761659671143926,0.380829835571964,0.00368643280833661,0,-185.872168639649,0
1,"DW","all","all","all","all","stb",-0.130539090736795,-0.0652695453683972,-0.000639728865625521,0,-505.878503205699,0
10,"DW","all","all","all","all","stb",0.226978592107981,0.11348929605399,0.00110917930159218,0,-798.736392886974,0
2,"DW","all","all","all","all","stb",-0.0184118769641035,-0.0092059384820518,-8.9113484506261e-05,0,-395.727842910221,0
3,"DW","all","all","all","all","stb",0.158323636915914,0.0791618184579568,0.000766286402673023,0,346.42841466888,0
5,"DW","all","all","all","all","stb",0.276969553020426,0.138484776510213,0.00130578889508673,0,-148.988444070882,0
6,"DW","all","all","all","all","stb",0.0373330459581046,0.0186665229790524,0.000180691942437227,0,-185.872168639649,0
NA,"DW","all","all","all","all","stb",0.626043222189091,0.313021611094545,0.0030300491953952,0,-187.870794108893,0
1,"DW","all","all","all","all","stw",-1.61552985240201,-0.807764926201003,-0.00134449789608445,0,-505.878503205699,0
10,"DW","all","all","all","all","stw",2.89524074846447,1.44762037423223,0.00241186099908137,0,-798.736392886974,0
2,"DW","all","all","all","all","stw",-0.226984463532061,-0.113492231766031,-0.000184311384388033,0,-395.727842910221,0
3,"DW","all","all","all","all","stw",1.85507462827497,0.927537314137485,0.00150632059815927,0,346.42841466888,0
5,"DW","all","all","all","all","stw",3.35383356707987,1.67691678353994,0.00258428067502545,0,-148.988444070882,0
6,"DW","all","all","all","all","stw",0.439665936772316,0.219832968386158,0.00035700874065912,0,-185.872168639649,0
NA,"DW","all","all","all","all","stw",7.67106104802656,3.83553052401328,0.00622890157099757,0,-187.870794108893,0
