"stand_type","stand_component","plot_ID","dom_SP","stand","SP_code","compartiment","B_t_ha_diff","C_t_ha_diff","N_t_ha_diff","BA_m2_ha_diff","n_ha_diff","n_SP_diff"
1,"DW","all","all","all","all","sw",-3.3250465438021,-1.66252327190105,-0.0027663761230611,0,-505.878503205699,0
10,"DW","all","all","all","all","sw",8.78252280968485,4.39126140484243,0.0064969202118373,0,-798.736392886974,0
2,"DW","all","all","all","all","sw",-7.98133059544276,-3.99066529772138,-0.00648084044349953,0,-395.727842910221,0
5,"DW","all","all","all","all","sw",0,0,0,0,-148.988444070882,0
6,"DW","all","all","all","all","sw",7.78804170373665,3.89402085186835,0.00632388986343419,0,-185.872168639649,0
1,"LT","all","all","all","all","ag",-5.25186974148602,-2.62593487074311,-0.010647294244651,-0.00970388111610276,-115.703225257144,-0.20588235294118
10,"LT","all","all","all","all","ag",-49.401349022805,-24.7006745114025,-0.1282014753816,-6.5918876122865,-119.971021885485,1.4
2,"LT","all","all","all","all","ag",10.1051027270295,5.0525513635149,0.013417363066196,2.2003393461477,-321.200494229266,-0.38333333333333
3,"LT","all","all","all","all","ag",-91.0890003515971,-45.5445001757987,-0.132385637279862,-14.4131759689497,-459.749971037014,-1
5,"LT","all","all","all","all","ag",-66.7577332230527,-33.3788666115264,-0.186997866691838,-12.6975534011941,-376.894004605483,-0.5
6,"LT","all","all","all","all","ag",34.56047681777,17.2802384088849,0.062997312200675,0.103645651595503,-224.9505369375,-0.75
NA,"LT","all","all","all","all","ag",-41.2843609754679,-20.6421804877339,-0.0563913350360888,-6.9185190202707,-23.3586178355494,1
1,"LT","all","all","all","all","bg",0.741995158331999,0.370997579165989,0.0036961892404111,-0.00970388111610276,-115.703225257144,-0.20588235294118
10,"LT","all","all","all","all","bg",-5.13626420926084,-2.56813210463042,-0.0172121317465453,-6.5918876122865,-119.971021885485,1.4
2,"LT","all","all","all","all","bg",2.5828758710479,1.29143793552397,0.0035237319513898,2.2003393461477,-321.200494229266,-0.38333333333333
3,"LT","all","all","all","all","bg",-13.7453911254636,-6.87269556273183,-0.0387777075974487,-14.4131759689497,-459.749971037014,-1
5,"LT","all","all","all","all","bg",-20.2362859249597,-10.1181429624798,-0.0747829293583613,-12.6975534011941,-376.894004605483,-0.5
6,"LT","all","all","all","all","bg",1.7408500470013,0.870425023500649,0.0115627156175099,0.103645651595503,-224.9505369375,-0.75
NA,"LT","all","all","all","all","bg",-6.43619194125409,-3.21809597062705,-0.0269851256050737,-6.9185190202707,-23.3586178355494,1
1,"LT","all","all","all","all","fwb",0.0563501128507014,0.0281750564253702,-9.27097443190195e-06,-0.00970388111610276,-115.703225257144,-0.20588235294118
10,"LT","all","all","all","all","fwb",-6.68123457876234,-3.3406172893812,-0.0342536432591782,-6.5918876122865,-119.971021885485,1.4
2,"LT","all","all","all","all","fwb",-0.146992052420101,-0.0734960262100497,-0.0013482408911571,2.2003393461477,-321.200494229266,-0.38333333333333
3,"LT","all","all","all","all","fwb",-11.6030123604605,-5.80150618023024,-0.0471742019686621,-14.4131759689497,-459.749971037014,-1
5,"LT","all","all","all","all","fwb",-8.3176300960148,-4.15881504800747,-0.0518368129191818,-12.6975534011941,-376.894004605483,-0.5
6,"LT","all","all","all","all","fwb",-1.3125955453823,-0.65629777269113,-0.00566461168920991,0.103645651595503,-224.9505369375,-0.75
NA,"LT","all","all","all","all","fwb",-3.72491579621048,-1.86245789810524,-0.0145919160339086,-6.9185190202707,-23.3586178355494,1
1,"LT","all","all","all","all","ndl",-0.176375413317929,-0.08818770665897,0,-0.00970388111610276,-115.703225257144,-0.20588235294118
10,"LT","all","all","all","all","ndl",-0.73691860887073,-0.368459304435363,0,-6.5918876122865,-119.971021885485,1.4
2,"LT","all","all","all","all","ndl",-0.55616258314428,-0.27808129157215,0,2.2003393461477,-321.200494229266,-0.38333333333333
3,"LT","all","all","all","all","ndl",-4.93103398233539,-2.4655169911677,0,-14.4131759689497,-459.749971037014,-1
5,"LT","all","all","all","all","ndl",-0.83716525196661,-0.418582625983306,0,-12.6975534011941,-376.894004605483,-0.5
6,"LT","all","all","all","all","ndl",0.20195388084222,0.10097694042111,0,0.103645651595503,-224.9505369375,-0.75
NA,"LT","all","all","all","all","ndl",-2.26761467448237,-1.13380733724119,0,-6.9185190202707,-23.3586178355494,1
1,"LT","all","all","all","all","sb",-0.38923027789881,-0.19461513894941,-0.0025130507077864,-0.00970388111610276,-115.703225257144,-0.20588235294118
10,"LT","all","all","all","all","sb",-3.42929674737202,-1.71464837368601,-0.023030426844273,-6.5918876122865,-119.971021885485,1.4
2,"LT","all","all","all","all","sb",0.57731375278221,0.2886568763911,0.0028094009807535,2.2003393461477,-321.200494229266,-0.38333333333333
3,"LT","all","all","all","all","sb",-7.09531702700288,-3.54765851350144,-0.0308435877830709,-14.4131759689497,-459.749971037014,-1
5,"LT","all","all","all","all","sb",-6.8061647408817,-3.40308237044086,-0.0443893937189081,-12.6975534011941,-376.894004605483,-0.5
6,"LT","all","all","all","all","sb",1.00898435685141,0.5044921784257,0.00734370043563819,0.103645651595503,-224.9505369375,-0.75
NA,"LT","all","all","all","all","sb",-1.09097677274825,-0.54548838637413,-0.0041893486315352,-6.9185190202707,-23.3586178355494,1
1,"LT","all","all","all","all","stb",0.008716837540029,0.004358418770014,3.085442526901e-05,-0.00970388111610276,-115.703225257144,-0.20588235294118
10,"LT","all","all","all","all","stb",-0.0895300308151338,-0.0447650154075671,-0.000593409367289807,-6.5918876122865,-119.971021885485,1.4
2,"LT","all","all","all","all","stb",0.026378933500629,0.013189466750315,0.00012471263377914,2.2003393461477,-321.200494229266,-0.38333333333333
3,"LT","all","all","all","all","stb",-0.220812408586541,-0.11040620429327,-0.000960463103404032,-14.4131759689497,-459.749971037014,-1
5,"LT","all","all","all","all","stb",-0.184276809487427,-0.092138404743713,-0.00120456004294576,-12.6975534011941,-376.894004605483,-0.5
6,"LT","all","all","all","all","stb",0.01371378476819,0.00685689238409498,0.00011055324749472,0.103645651595503,-224.9505369375,-0.75
NA,"LT","all","all","all","all","stb",-0.078653186516973,-0.0393265932584866,-0.000351810234930732,-6.9185190202707,-23.3586178355494,1
1,"LT","all","all","all","all","stw",-0.0654965314614104,-0.0327482657307101,-0.00013047167544292,-0.00970388111610276,-115.703225257144,-0.20588235294118
10,"LT","all","all","all","all","stw",-1.02296942595007,-0.511484712975037,-0.00160921761729325,-6.5918876122865,-119.971021885485,1.4
2,"LT","all","all","all","all","stw",0.19437158698056,0.09718579349027,0.00014431803754791,2.2003393461477,-321.200494229266,-0.38333333333333
3,"LT","all","all","all","all","stw",-2.0226996886952,-1.0113498443476,-0.00160688105096999,-14.4131759689497,-459.749971037014,-1
5,"LT","all","all","all","all","stw",-1.95794518058392,-0.978972590291962,-0.00346672728653339,-12.6975534011941,-376.894004605483,-0.5
6,"LT","all","all","all","all","stw",-0.0449289691333599,-0.0224644845666899,6.82480358727301e-05,0.103645651595503,-224.9505369375,-0.75
NA,"LT","all","all","all","all","stw",-0.8711764540731,-0.435588227036551,-0.00058170243919208,-6.9185190202707,-23.3586178355494,1
1,"LT","all","all","all","all","sw",-5.1512856102634,-2.5756428051316,-0.0075642629516566,-0.00970388111610276,-115.703225257144,-0.20588235294118
10,"LT","all","all","all","all","sw",-29.3483376114832,-14.6741688057416,-0.0452016052687065,-6.5918876122865,-119.971021885485,1.4
2,"LT","all","all","all","all","sw",10.4633826629034,5.2316913314517,0.0087067052417437,2.2003393461477,-321.200494229266,-0.38333333333333
3,"LT","all","all","all","all","sw",-64.8667026662655,-32.4333513331327,-0.0515229549451945,-14.4131759689497,-459.749971037014,-1
5,"LT","all","all","all","all","sw",-63.7981540204241,-31.8990770102121,-0.112421332234571,-12.6975534011941,-376.894004605483,-0.5
6,"LT","all","all","all","all","sw",27.3935276703543,13.6967638351771,0.033684677399844,0.103645651595503,-224.9505369375,-0.75
NA,"LT","all","all","all","all","sw",-15.8658292235184,-7.9329146117592,-0.009019520129803,-6.9185190202707,-23.3586178355494,1
1,"LT","all","all","all","all","total",-3.34184328990301,-1.6709216449518,-0.00295337037002597,-0.00970388111610276,-115.703225257144,-0.20588235294118
10,"LT","all","all","all","all","total",-41.8303166858166,-20.9151583429083,-0.112376725176835,-6.5918876122865,-119.971021885485,1.4
2,"LT","all","all","all","all","total",12.812286896442,6.4061434482211,0.015721325524894,2.2003393461477,-321.200494229266,-0.38333333333333
3,"LT","all","all","all","all","total",-104.834391477062,-52.4171957385306,-0.171163344877311,-14.4131759689497,-459.749971037014,-1
5,"LT","all","all","all","all","total",-82.810473571692,-41.4052367858458,-0.24642925097175,-12.6975534011941,-376.894004605483,-0.5
6,"LT","all","all","all","all","total",22.108913809471,11.0544569047357,0.050630301566506,0.103645651595503,-224.9505369375,-0.75
NA,"LT","all","all","all","all","total",-47.720552916722,-23.860276458361,-0.0833764606411628,-6.9185190202707,-23.3586178355494,1
1,"RG","all","all","all","all","ag",1.24061287419828,0.620306437099141,0.00449894898663585,0,-3370.12650463708,0.0764705882352898
10,"RG","all","all","all","all","ag",0.29571703327831,0.147858516639157,0.00192731229586669,0,1757.95255095312,-1.03333333333333
2,"RG","all","all","all","all","ag",-0.511683633908488,-0.255841816954244,-0.0021585423013005,0,-3231.10347049895,1
3,"RG","all","all","all","all","ag",0.635508698289542,0.317754349144771,0.00320321323631824,0,-4432.95530489542,2
5,"RG","all","all","all","all","ag",-0.653317933301174,-0.326658966650586,-0.00301385037649056,0,-3020.12368608582,0
6,"RG","all","all","all","all","ag",0.329388447709214,0.164694223854607,0.00155699457725834,0,-874.22936365158,-0.25
NA,"RG","all","all","all","all","ag",-1.17319570842561,-0.586597854212805,-0.00482850615512847,0,-47047.7405053459,0.66666666666667
1,"RG","all","all","all","all","bg",0.290126839177003,0.145063419588501,0.00118294829821367,0,-3370.12650463708,0.0764705882352898
10,"RG","all","all","all","all","bg",-0.0926680941820743,-0.0463340470910372,-0.000383646194805908,0,1757.95255095312,-1.03333333333333
2,"RG","all","all","all","all","bg",-0.0827501127770435,-0.0413750563885218,-0.000164577057033382,0,-3231.10347049895,1
3,"RG","all","all","all","all","bg",3.20515806179099e-07,1.6025790308955e-07,1.04401331188147e-09,0,-4432.95530489542,2
5,"RG","all","all","all","all","bg",0.00267609422745318,0.00133804711372659,1.10791661448105e-05,0,-3020.12368608582,0
6,"RG","all","all","all","all","bg",0.00129681498958799,0.00064840749479398,5.36864588046801e-06,0,-874.22936365158,-0.25
NA,"RG","all","all","all","all","bg",0.0189015303524035,0.00945076517620179,7.82519601813597e-05,0,-47047.7405053459,0.66666666666667
1,"RG","all","all","all","all","fwb",0.21348490469468,0.10674245234735,0.000955754834399899,0,-3370.12650463708,0.0764705882352898
10,"RG","all","all","all","all","fwb",0.4259458795242,0.2129729397621,0.00277588619134416,0,1757.95255095312,-1.03333333333333
2,"RG","all","all","all","all","fwb",-1.17177613179831,-0.585888065899158,-0.00592217692481408,0,-3231.10347049895,1
3,"RG","all","all","all","all","fwb",0.930446618994247,0.465223309497124,0.00462589910800862,0,4520.32358694629,6
5,"RG","all","all","all","all","fwb",-2.89755138960705,-1.44877569480353,-0.0133358290998456,0,-3020.12368608582,0
6,"RG","all","all","all","all","fwb",-0.029993518510933,-0.014996759255467,-7.84581570025702e-05,0,-874.22936365158,-0.25
NA,"RG","all","all","all","all","fwb",1.18146201049812,0.59073100524906,0.00572600669165968,0,4415.4430763284,3.66666666666667
1,"RG","all","all","all","all","ndl",-0.0349926059354551,-0.017496302967728,0,0,-3370.12650463708,0.0764705882352898
10,"RG","all","all","all","all","ndl",-0.0625404936662107,-0.0312702468331053,0,0,1757.95255095312,-1.03333333333333
2,"RG","all","all","all","all","ndl",-0.075287279181426,-0.0376436395907129,0,0,-3231.10347049895,1
3,"RG","all","all","all","all","ndl",5.88018391156369e-07,2.94009195578184e-07,0,0,4520.32358694629,6
5,"RG","all","all","all","all","ndl",0.00544737051143907,0.00272368525571953,0,0,-3020.12368608582,0
6,"RG","all","all","all","all","ndl",-0.00254521236957994,-0.00127260618478999,0,0,-874.22936365158,-0.25
NA,"RG","all","all","all","all","ndl",0.0146584655461798,0.00732923277308992,0,0,4415.4430763284,3.66666666666667
1,"RG","all","all","all","all","total",1.55424733129821,0.777123665649106,0.00981142851442351,0,-3370.12650463708,0.0764705882352898
10,"RG","all","all","all","all","total",0.19825109604364,0.0991255480218219,0.00730244673157237,0,1757.95255095312,-1.03333333333333
2,"RG","all","all","all","all","total",-0.689480156332959,-0.344740078166482,0.00204018174349009,0,-3231.10347049895,1
3,"RG","all","all","all","all","total",0.635508973017377,0.317754486508688,0.00320321413118679,0,-4432.95530489542,2
5,"RG","all","all","all","all","total",-0.651597589930226,-0.325798794965112,-0.0030067280642394,0,-3020.12368608582,0
6,"RG","all","all","all","all","total",0.331098972312706,0.165549486156353,0.00156407599433651,0,-874.22936365158,-0.25
NA,"RG","all","all","all","all","total",-1.1419108224708,-0.570955411235402,-0.00469898694412664,0,-47047.7405053459,0.66666666666667
1,"all","all","all","all","all","ag",2.24742832983699,1.123714164918,0.000666053465936012,0,0,0
10,"all","all","all","all","all","ag",-60.458079981997,-30.2290399909979,-0.186585549375152,0,0,0
2,"all","all","all","all","all","ag",9.42009114983398,4.71004557491719,0.00169053310798498,0,0,0
3,"all","all","all","all","all","ag",-116.079749974996,-58.039874987498,-0.167685368811241,0,0,0
5,"all","all","all","all","all","ag",-166.36031015754,-83.1801550787705,-0.478012559202543,0,0,0
6,"all","all","all","all","all","ag",22.277540292297,11.138770146148,0.0407251066679321,0,0,0
NA,"all","all","all","all","all","ag",-38.0912657227066,-19.0456328613533,-0.060787867334428,0,0,0
1,"all","all","all","all","all","bg",2.9170439396401,1.4585219698201,0.013172940402649,0,0,0
10,"all","all","all","all","all","bg",-10.6631336053397,-5.33156680266985,-0.0354811381728321,0,0,0
2,"all","all","all","all","all","bg",1.1030018949392,0.5515009474696,0.000211516690109902,0,0,0
3,"all","all","all","all","all","bg",-19.6368718366143,-9.81843591830716,-0.0553707239643469,0,0,0
5,"all","all","all","all","all","bg",-40.4327894739652,-20.2163947369826,-0.14966264753219,0,0,0
6,"all","all","all","all","all","bg",-2.57074449137,-1.2853722456851,0.00378364547175501,0,0,0
NA,"all","all","all","all","all","bg",-8.16165164437931,-4.08082582218966,-0.0340154324325728,0,0,0
1,"all","all","all","all","all","total",5.23538210128399,2.61769105064199,0.017042481507121,0,0,0
10,"all","all","all","all","all","total",-102.817151488126,-51.4085757440628,-0.266906146731612,0,0,0
2,"all","all","all","all","all","total",9.272702916322,4.6363514581608,0.00451731905712399,0,0,0
3,"all","all","all","all","all","total",-149.041297633703,-74.5206488168512,-0.234832320957372,0,0,0
5,"all","all","all","all","all","total",-213.464807181969,-106.732403590984,-0.634892011131298,0,0,0
6,"all","all","all","all","all","total",-2.47215329411904,-1.23607664705901,0.00852066853691702,0,0,0
NA,"all","all","all","all","all","total",-62.705710071126,-31.352855035563,-0.114630953944325,0,0,0
7,"DW","all","all","all","all","ag",-3.73569989059107,-1.86784994529553,-0.00562513323149734,0,-759.477678312545,0
8,"DW","all","all","all","all","ag",-11.960643459346,-5.98032172967301,-0.0159711246208349,0,-519.64262200332,0
7,"DW","all","all","all","all","fwb",-1.96728492645633,-0.983642463228164,-0.00905147794662558,0,-759.477678312545,0
7,"DW","all","all","all","all","sb",-0.313662092156892,-0.156831046078446,-0.00226683594001787,0,-759.477678312545,0
7,"DW","all","all","all","all","stb",-0.00860828145148402,-0.00430414072574201,-6.22120500498749e-05,0,-759.477678312545,0
7,"DW","all","all","all","all","stw",-0.14473723500705,-0.0723686175035248,-0.000193224208734411,0,-759.477678312545,0
7,"DW","all","all","all","all","sw",-4.39460511562187,-2.19730255781094,-0.0058667978293552,0,-759.477678312545,0
7,"LT","all","all","all","all","ag",-77.8959519403801,-38.9479759701901,-0.182071941009742,-12.2906420803691,-519.77484822532,-5
8,"LT","all","all","all","all","ag",-53.0748624747135,-26.5374312373568,-0.166607549148063,-9.62412808056315,-1000.03087802945,-2.33333333333333
9,"LT","all","all","all","all","ag",-131.564990013843,-65.7824950069214,-0.215686219006657,-21.6315014087216,-596.430145240697,-3.33333333333333
7,"LT","all","all","all","all","bg",-6.66264095699813,-3.33132047849906,-0.0212768546948824,-12.2906420803691,-519.77484822532,-5
8,"LT","all","all","all","all","bg",-3.27645460903666,-1.63822730451833,-0.0119365080449565,-9.62412808056315,-1000.03087802945,-2.33333333333333
9,"LT","all","all","all","all","bg",-19.4828365325541,-9.74141826627705,-0.0530546919986736,-21.6315014087216,-596.430145240697,-3.33333333333333
7,"LT","all","all","all","all","fwb",-12.3857377758806,-6.19286888794031,-0.0694974714321148,-12.2906420803691,-519.77484822532,-5
8,"LT","all","all","all","all","fwb",-12.435032408546,-6.21751620427298,-0.0745905375271262,-9.62412808056315,-1000.03087802945,-2.33333333333333
9,"LT","all","all","all","all","fwb",-15.808582763095,-7.90429138154751,-0.0713725997756069,-21.6315014087216,-596.430145240697,-3.33333333333333
7,"LT","all","all","all","all","ndl",-1.9377722280094,-0.968886114004701,0,-12.2906420803691,-519.77484822532,-5
8,"LT","all","all","all","all","ndl",-1.2015436717487,-0.600771835874351,0,-9.62412808056315,-1000.03087802945,-2.33333333333333
9,"LT","all","all","all","all","ndl",-4.97901887880444,-2.48950943940222,0,-21.6315014087216,-596.430145240697,-3.33333333333333
7,"LT","all","all","all","all","sb",-4.74261840520983,-2.37130920260491,-0.0263414636996435,-12.2906420803691,-519.77484822532,-5
8,"LT","all","all","all","all","sb",-2.43409678826167,-1.21704839413084,-0.0151161108425797,-9.62412808056315,-1000.03087802945,-2.33333333333333
9,"LT","all","all","all","all","sb",-8.1494731602467,-4.07473658012335,-0.040738887295173,-21.6315014087216,-596.430145240697,-3.33333333333333
7,"LT","all","all","all","all","stb",-0.115507744523645,-0.0577538722618225,-0.000623545061784097,-12.2906420803691,-519.77484822532,-5
8,"LT","all","all","all","all","stb",-0.0857488319606864,-0.0428744159803432,-0.000534566523782707,-9.62412808056315,-1000.03087802945,-2.33333333333333
9,"LT","all","all","all","all","stb",-0.29503662839862,-0.14751831419931,-0.00141554858466924,-21.6315014087216,-596.430145240697,-3.33333333333333
7,"LT","all","all","all","all","stw",-1.97286029907064,-0.986430149535321,-0.0027700498568315,-12.2906420803691,-519.77484822532,-5
8,"LT","all","all","all","all","stw",-1.14469697574714,-0.572348487873571,-0.00206530655262495,-9.62412808056315,-1000.03087802945,-2.33333333333333
9,"LT","all","all","all","all","stw",-3.75379200724386,-1.87689600362193,-0.00355535152730848,-21.6315014087216,-596.430145240697,-3.33333333333333
7,"LT","all","all","all","all","sw",-56.4047837826766,-28.2023918913383,-0.0826612552274296,-12.2906420803691,-519.77484822532,-5
8,"LT","all","all","all","all","sw",-26.4961766800157,-13.2480883400078,-0.0478870138797763,-9.62412808056315,-1000.03087802945,-2.33333333333333
9,"LT","all","all","all","all","sw",-101.167411079004,-50.5837055395022,-0.0984287857785835,-21.6315014087216,-596.430145240697,-3.33333333333333
7,"LT","all","all","all","all","total",-84.5585928973783,-42.2792964486891,-0.203348795704624,-12.2906420803691,-519.77484822532,-5
8,"LT","all","all","all","all","total",-56.3513170837502,-28.1756585418751,-0.17854405719302,-9.62412808056315,-1000.03087802945,-2.33333333333333
9,"LT","all","all","all","all","total",-147.563356108101,-73.7816780540506,-0.258770632261834,-21.6315014087216,-596.430145240697,-3.33333333333333
7,"RG","all","all","all","all","ag",-1.60597711888766,-0.802988559443831,-0.00756691760792208,0,-7398.6199273389,-3.5
8,"RG","all","all","all","all","ag",-1.67895114494045,-0.839475572470227,-0.00928933652754499,0,-2836.4137608849,-4.33333333333333
9,"RG","all","all","all","all","ag",-0.260643948811102,-0.130321974405551,-0.00117831333878781,0,-1882.6055101312,-4
7,"RG","all","all","all","all","bg",-7.67653494023321e-07,-3.83826747011661e-07,-2.38433601745804e-09,0,-7398.6199273389,-3.5
8,"RG","all","all","all","all","bg",-0.0529779903309157,-0.0264889951654579,-9.37716202078062e-05,0,-2836.4137608849,-4.33333333333333
9,"RG","all","all","all","all","bg",-0.0071817494656546,-0.00359087473282731,-2.97324167850584e-05,0,-1882.6055101312,-4
7,"RG","all","all","all","all","fwb",-2.8439059005148,-1.4219529502574,-0.0134070933062282,0,-7398.6199273389,-3.5
8,"RG","all","all","all","all","fwb",-3.1928636447746,-1.5964318223873,-0.0178508900257481,0,-2836.4137608849,-4.33333333333333
9,"RG","all","all","all","all","fwb",-0.629598175236278,-0.314799087618139,-0.00288927596699231,0,-1882.6055101312,-4
7,"RG","all","all","all","all","ndl",-1.6385212625364e-06,-8.19260631268201e-07,0,0,-7398.6199273389,-3.5
8,"RG","all","all","all","all","ndl",-0.0404607620178355,-0.0202303810089177,0,0,-2836.4137608849,-4.33333333333333
9,"RG","all","all","all","all","ndl",-0.00974654715708008,-0.00487327357854004,0,0,-1882.6055101312,-4
7,"RG","all","all","all","all","total",-2.04140005357474,-1.02070002678737,0,0,-7398.6199273389,-3.5
8,"RG","all","all","all","all","total",-1.68636923082752,-0.843184615413758,0,0,-2836.4137608849,-4.33333333333333
9,"RG","all","all","all","all","total",-0.295670763709659,-0.147835381854829,0,0,-1882.6055101312,-4
7,"all","all","all","all","all","ag",-194.93269498855,-97.4663474942751,-0.457841705127099,0,0,0
8,"all","all","all","all","all","ag",-110.302391431948,-55.151195715974,-0.337449109753452,0,0,0
9,"all","all","all","all","all","ag",-243.251606673013,-121.625803336506,-0.401420347143539,0,0,0
7,"all","all","all","all","all","bg",-15.5461635763893,-7.77308178819462,-0.049645998460647,0,0,0
8,"all","all","all","all","all","bg",-5.92504763733901,-2.9625238186695,-0.0214638187054278,0,0,0
9,"all","all","all","all","all","bg",-34.6505173345831,-17.3252586672915,-0.0943789172756565,0,0,0
7,"all","all","all","all","all","total",-200.916833288107,-100.458416644053,-0.477794658690646,0,0,0
8,"all","all","all","all","all","total",-106.251060219609,-53.1255301098045,-0.344553087390482,0,0,0
9,"all","all","all","all","all","total",-277.902124007596,-138.951062003798,-0.49467218532485,0,0,0
