"plot_ID","tree_ID","dw_type","dw_sp","count","d_cm","l_dm","decay","inv_year","inv","plot_A_ha","LH_NH_stand","SP_code","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group","dec_type_BWI","ST_LY_type","compartiment","B_kg_tree","N_kg_tree","C_kg_tree"
140001,6,5,2,-9,20,101,1,2012,"HBI",0.0500343869018386,"LB","rbu",111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","36.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica",1,"L","ag",133.834282703091,0.39143114056322,66.9171413515455
140001,7,5,2,-9,16,100,2,2012,"HBI",0.0500343869018386,"LB","rbu",111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","36.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica",1,"L","stw",1.53115711876941,0.00204409475355716,0.765578559384705
140001,7,5,2,-9,16,100,2,2012,"HBI",0.0500343869018386,"LB","rbu",111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","36.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica",1,"L","stb",0.102197518564814,0.000738581466667911,0.051098759282407
140001,7,5,2,-9,16,100,2,2012,"HBI",0.0500343869018386,"LB","rbu",111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","36.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica",1,"L","sw",42.6505138160892,0.0569384359444791,21.3252569080446
140001,7,5,2,-9,16,100,2,2012,"HBI",0.0500343869018386,"LB","rbu",111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","36.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica",1,"L","sb",3.30351857055593,0.0238745287094077,1.65175928527797
140001,7,5,2,-9,16,100,2,2012,"HBI",0.0500343869018386,"LB","rbu",111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","36.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica",1,"L","fwb",35.2355384622112,0.162118712464634,17.6177692311056
140001,7,5,2,-9,16,100,2,2012,"HBI",0.0500343869018386,"LB","rbu",111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","36.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica",1,"L","ag",82.8229254861906,0.245714353338746,41.4114627430953
140001,8,1,2,-9,11,14,2,2012,"HBI",0.0500343869018386,"LB","rbu",111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","36.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica",1,"L","ag",4.94932789831843,0.0357687927211473,2.47466394915921
140001,9,5,2,-9,11,86,1,2012,"HBI",0.0500343869018386,"LB","rbu",111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","36.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica",1,"L","stw",0.619232294471419,0.000826675113119344,0.30961614723571
140001,9,5,2,-9,11,86,1,2012,"HBI",0.0500343869018386,"LB","rbu",111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","36.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica",1,"L","stb",0.0449476683510916,0.000324836799173339,0.0224738341755458
140001,9,5,2,-9,11,86,1,2012,"HBI",0.0500343869018386,"LB","rbu",111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","36.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica",1,"L","sw",14.78858302256,0.0197427583351176,7.39429151128
