"";"plot_ID";"CCS_no";"tree_ID";"SP_code";"H_cm";"D_class_cm";"stand";"area_m2"
"1";50003;4;9;"dgl";510;3;"A";17,6460117759485
"2";50003;4;11;"dgl";580;2;"A";17,6460117759485
"3";50003;2;2;"vbe";630;1;"A";16,61902513749
"4";50003;2;3;"vbe";710;2;"A";16,61902513749
"5";50003;2;4;"vbe";770;2;"A";16,61902513749
"6";50003;2;5;"dgl";610;2;"A";16,61902513749
"7";50003;2;6;"vbe";830;2;"A";16,61902513749
"8";50003;2;7;"vbe";690;1;"A";16,61902513749
"9";50003;2;8;"vbe";650;1;"A";16,61902513749
"10";50003;2;9;"vbe";670;1;"A";16,61902513749
"11";50003;2;10;"vbe";780;2;"A";16,61902513749
"12";50003;3;1;"vbe";630;2;"A";56,7450173054656
"13";50003;3;2;"vbe";610;1;"A";56,7450173054656
"14";50003;3;3;"dgl";660;2;"A";56,7450173054656
"15";50003;3;4;"dgl";720;3;"A";56,7450173054656
"16";50003;3;5;"vbe";300;1;"A";56,7450173054656
"17";50003;3;6;"vbe";710;2;"A";56,7450173054656
"18";50003;3;7;"gfi";520;3;"A";56,7450173054656
"19";50003;3;8;"vbe";620;2;"A";56,7450173054656
"20";50003;3;9;"vbe";660;2;"A";56,7450173054656
"21";50003;3;10;"dgl";810;3;"A";56,7450173054656
"22";50003;4;1;"vbe";300;1;"A";17,6460117759485
"23";50003;4;2;"vbe";660;1;"A";17,6460117759485
"24";50003;4;3;"vbe";710;2;"A";17,6460117759485
"25";50003;4;4;"vbe";780;2;"A";17,6460117759485
"26";50003;4;5;"vbe";670;1;"A";17,6460117759485
"27";50003;4;6;"vbe";730;2;"A";17,6460117759485
"28";50003;4;7;"dgl";630;1;"A";17,6460117759485
"29";50003;4;8;"gfi";250;1;"A";17,6460117759485
"30";50003;4;10;"gfi";400;1;"A";17,6460117759485
"31";50003;1;1;"vbe";640;3;"A";78,5398163397448
"32";50003;1;2;"vbe";390;1;"A";78,5398163397448
"33";50003;1;3;"vbe";660;2;"A";78,5398163397448
"34";50003;1;4;"gfi";80;0;"A";78,5398163397448
"35";50003;1;5;"vbe";60;0;"A";78,5398163397448
"36";50003;1;6;"vbe";660;1;"A";78,5398163397448
"37";50003;1;7;"vbe";410;1;"A";78,5398163397448
"38";50003;1;8;"vbe";660;3;"A";78,5398163397448
"39";50003;1;9;"vbe";690;1;"A";78,5398163397448
"40";50003;2;1;"vbe";740;1;"A";16,61902513749
"41";50004;4;5;"gfi";20;0;"A";78,5398163397448
"42";50004;4;4;"gfi";20;0;"A";78,5398163397448
"43";50004;4;3;"gfi";20;0;"A";78,5398163397448
"44";50004;4;2;"gfi";20;0;"A";78,5398163397448
"45";50004;4;1;"gfi";30;0;"A";78,5398163397448
"46";50004;3;5;"dgl";40;0;"A";78,5398163397448
"47";50004;3;4;"dgl";40;0;"A";78,5398163397448
"48";50004;3;3;"gfi";20;0;"A";78,5398163397448
"49";50004;3;2;"gfi";30;0;"A";78,5398163397448
"50";50004;3;1;"gfi";20;0;"A";78,5398163397448
"51";50004;2;6;"dgl";20;0;"A";78,5398163397448
"52";50004;2;5;"dgl";20;0;"A";78,5398163397448
"53";50004;2;4;"dgl";30;0;"A";78,5398163397448
"54";50004;2;3;"gfi";20;0;"A";78,5398163397448
"55";50004;2;2;"dgl";50;0;"A";78,5398163397448
"56";50004;2;1;"dgl";20;0;"A";78,5398163397448
"57";50004;1;12;"gfi";20;0;"A";12,8189546637078
"58";50004;1;11;"gfi";30;0;"A";12,8189546637078
"59";50004;1;10;"dgl";40;0;"A";12,8189546637078
"60";50004;1;9;"gfi";20;0;"A";12,8189546637078
"61";50004;1;8;"gfi";20;0;"A";12,8189546637078
"62";50004;1;7;"gfi";20;0;"A";12,8189546637078
"63";50004;1;1;"gfi";20;0;"A";12,8189546637078
"64";50004;1;2;"gfi";20;0;"A";12,8189546637078
"65";50004;1;3;"gfi";30;0;"A";12,8189546637078
"66";50004;1;4;"gfi";20;0;"A";12,8189546637078
"67";50004;1;5;"gfi";20;0;"A";12,8189546637078
"68";50004;1;6;"gfi";20;0;"A";12,8189546637078
"69";50005;3;2;"rei";20;0;"B";65,5818727522955
"70";50005;1;6;"rbu";20;0;"A";38,2474308380808
"71";50005;1;7;"rbu";20;0;"A";38,2474308380808
"72";50005;1;8;"rbu";20;0;"A";38,2474308380808
"73";50005;1;9;"rei";20;0;"A";38,2474308380808
"74";50005;1;10;"eib";20;0;"A";38,2474308380808
"75";50005;2;1;"bah";20;0;"B";65,0091080471727
"76";50005;2;2;"rei";20;0;"B";65,0091080471727
"77";50005;2;3;"bah";20;0;"B";65,0091080471727
"78";50005;2;4;"rei";20;0;"B";65,0091080471727
"79";50005;2;5;"eib";40;0;"B";65,0091080471727
"80";50005;2;6;"eib";40;0;"B";65,0091080471727
"81";50005;2;7;"rbu";30;0;"B";65,0091080471727
"82";50005;2;8;"eib";40;0;"B";65,0091080471727
"83";50005;2;9;"rbu";20;0;"B";65,0091080471727
"84";50005;2;10;"rbu";20;0;"B";65,0091080471727
"85";50005;3;1;"sah";20;0;"B";65,5818727522955
"86";50005;4;9;"vbe";50;0;"A";26,0457213276884
"87";50005;4;8;"hbu";20;0;"A";26,0457213276884
"88";50005;4;7;"rbu";30;0;"A";26,0457213276884
"89";50005;4;6;"bah";20;0;"A";26,0457213276884
"90";50005;4;5;"vbe";30;0;"A";26,0457213276884
"91";50005;4;4;"sah";30;0;"A";26,0457213276884
"92";50005;4;3;"eib";60;0;"A";26,0457213276884
"93";50005;4;2;"bah";20;0;"A";26,0457213276884
"94";50005;4;1;"rbu";70;0;"A";26,0457213276884
"95";50005;3;10;"rei";20;0;"B";65,5818727522955
"96";50005;3;9;"bah";30;0;"B";65,5818727522955
"97";50005;3;8;"vbe";20;0;"B";65,5818727522955
"98";50005;3;7;"bah";60;0;"B";65,5818727522955
"99";50005;3;6;"bah";20;0;"B";65,5818727522955
"100";50005;3;5;"rbu";20;0;"B";65,5818727522955
"101";50005;4;10;"rbu";30;0;"A";26,0457213276884
"102";50005;3;4;"rbu";20;0;"B";65,5818727522955
"103";50005;3;3;"vbe";20;0;"B";65,5818727522955
"104";50005;1;5;"bah";20;0;"A";38,2474308380808
"105";50005;1;1;"bah";20;0;"A";38,2474308380808
"106";50005;1;2;"rbu";20;0;"A";38,2474308380808
"107";50005;1;3;"rbu";20;0;"A";38,2474308380808
"108";50005;1;4;"bah";20;0;"A";38,2474308380808
"109";50006;4;1;"rei";830;3;"A";61,9038064194539
"110";50006;2;1;"rbu";480;3;NA;37,15936630779
"111";50006;2;1;"rbu";480;3;"B";37,15936630779
"112";50007;3;5;"bah";500;1;"A";33,1679122689657
"113";50007;3;6;"as";130;1;"A";33,1679122689657
"114";50007;3;7;"vbe";260;1;"A";33,1679122689657
"115";50007;3;8;"as";220;1;"A";33,1679122689657
"116";50007;3;9;"as";380;1;"A";33,1679122689657
"117";50007;3;10;"as";200;1;"A";33,1679122689657
"118";50007;4;1;"vbe";350;1;"A";32,1552115156647
"119";50007;4;2;"as";300;1;"A";32,1552115156647
"120";50007;4;3;"bah";220;1;"A";32,1552115156647
"121";50007;4;4;"bah";250;1;"A";32,1552115156647
"122";50007;4;5;"bah";400;1;"A";32,1552115156647
"123";50007;4;6;"bah";240;1;"A";32,1552115156647
"124";50007;4;7;"bah";130;1;"A";32,1552115156647
"125";50007;4;8;"bah";450;1;"A";32,1552115156647
"126";50007;4;9;"bah";220;1;"A";32,1552115156647
"127";50007;4;10;"bah";120;0;"A";32,1552115156647
"128";50007;1;1;"ges";70;0;"A";69,957682053768
"129";50007;1;2;"bah";80;0;"A";69,957682053768
"130";50007;1;3;"bah";110;0;"A";69,957682053768
"131";50007;1;4;"sbi";730;1;"A";69,957682053768
"132";50007;1;5;"bah";110;0;"A";69,957682053768
"133";50007;1;6;"bah";30;0;"A";69,957682053768
"134";50007;1;7;"bah";100;0;"A";69,957682053768
"135";50007;1;8;"bah";220;1;"A";69,957682053768
"136";50007;3;2;"ser";300;1;"A";33,1679122689657
"137";50007;3;4;"as";240;1;"A";33,1679122689657
"138";50007;2;10;"as";100;0;"A";28,2614163711897
"139";50007;3;1;"as";160;1;"A";33,1679122689657
"140";50007;3;3;"vbe";250;1;"A";33,1679122689657
"141";50007;1;9;"bah";140;1;"A";69,957682053768
"142";50007;1;10;"bah";110;0;"A";69,957682053768
"143";50007;2;1;"bah";110;0;"A";28,2614163711897
"144";50007;2;2;"bah";50;0;"A";28,2614163711897
"145";50007;2;3;"bah";110;0;"A";28,2614163711897
"146";50007;2;4;"bah";70;0;"A";28,2614163711897
"147";50007;2;5;"bah";60;0;"A";28,2614163711897
"148";50007;2;6;"as";160;1;"A";28,2614163711897
"149";50007;2;7;"as";200;1;"A";28,2614163711897
"150";50007;2;8;"bah";300;1;"A";28,2614163711897
"151";50007;2;9;"sbi";820;1;"A";28,2614163711897
"152";50008;2;1;"gfi";250;1;"A";50,2654824574367
"153";50008;3;1;"vbe";100;0;"A";9,0792027688745
"154";50008;2;2;"gfi";160;1;"A";50,2654824574367
"155";50009;2;3;"vbe";60;0;"A";66,47610054996
"156";50009;2;3;"vbe";60;0;"A";66,47610054996
"157";50009;2;1;"vbe";60;0;"A";66,47610054996
"158";50009;2;1;"vbe";60;0;"A";66,47610054996
"159";50009;1;10;"gfi";30;0;"B";2,11144181866533
"160";50009;1;10;"gfi";30;0;"B";2,11144181866533
"161";50009;1;9;"gfi";20;0;"B";2,11144181866533
"162";50009;1;9;"gfi";20;0;"B";2,11144181866533
"163";50009;1;8;"gfi";40;0;"B";2,11144181866533
"164";50009;1;8;"gfi";40;0;"B";2,11144181866533
"165";50009;1;7;"gfi";30;0;"B";2,11144181866533
"166";50009;1;7;"gfi";30;0;"B";2,11144181866533
"167";50009;1;6;"gfi";20;0;"B";2,11144181866533
"168";50009;1;6;"gfi";20;0;"B";2,11144181866533
"169";50009;1;5;"gfi";20;0;"B";2,11144181866533
"170";50009;1;5;"gfi";20;0;"B";2,11144181866533
"171";50009;1;4;"gfi";20;0;"B";2,11144181866533
"172";50009;1;4;"gfi";20;0;"B";2,11144181866533
"173";50009;1;3;"gfi";20;0;"B";2,11144181866533
"174";50009;1;3;"gfi";20;0;"B";2,11144181866533
"175";50009;1;2;"gfi";20;0;"B";2,11144181866533
"176";50009;1;2;"gfi";20;0;"B";2,11144181866533
"177";50009;1;1;"gfi";40;0;"B";2,11144181866533
"178";50009;1;1;"gfi";40;0;"B";2,11144181866533
"179";50009;4;10;"gfi";20;0;"A";4,52182661939035
"180";50009;4;10;"gfi";20;0;"A";4,52182661939035
"181";50009;4;9;"gfi";20;0;"A";4,52182661939035
"182";50009;4;9;"gfi";20;0;"A";4,52182661939035
"183";50009;4;8;"gfi";40;0;"A";4,52182661939035
"184";50009;4;8;"gfi";40;0;"A";4,52182661939035
"185";50009;4;7;"gfi";40;0;"A";4,52182661939035
"186";50009;4;7;"gfi";40;0;"A";4,52182661939035
"187";50009;4;6;"gfi";40;0;"A";4,52182661939035
"188";50009;4;6;"gfi";40;0;"A";4,52182661939035
