"";"plot_ID";"tree_ID";"tree_inventory_status";"multi_stem";"dist_cm";"azi_gon";"age";"age_meth";"SP_code";"Kraft";"C_layer";"H_dm";"C_h_dm";"D_mm";"DBH_h_cm";"inv_year";"inv";"X";"Nr_code";"Chr_code_ger";"name";"bot_name";"bot_genus";"bot_species";"Flora_EU";"LH_NH";"IPC";"WZE";"BWI";"BZE_al";"tpS_SP_com_name";"tpS_ID";"H_SP_group";"BWI_SP_group";"Bio_SP_group";"N_SP_group";"N_bg_SP_group";"N_f_SP_group_MoMoK";"RG_Wolff_bio";"BWI_comparisson_group";"bark_type_SP_group";"fruit_type_SP_group";"DBH_cm";"CCS_r_m"
"1";140023;25;-9;FALSE;1873;34;161;5;"rka";3;1;177;56;840;100;1970;"HBI";56;144;"RKa";"Rosskastanie";"Aesculus hippocastanum";"Aesculus";"hippocastanum";"097.001.001";"LB";221;30011;"KA";"WAHR";"Magnoliopsida trees";35;"bu";"aLh";"bu";"BU";"BU";"aLB";"ES";"aLh";"broadleaf species";"broadleaf species";83,8684210526316;17,84
"2";140028;5;-9;FALSE;1952;85;161;5;"ela";1;1;338;166;812;130;1970;"HBI";26;204;"ELa";"Europaeische Laerche";"Larix decidua";"Larix";"decidua";"026.005.002";"NB";116;30012;"ELA";"WAHR";"Larix decidua";10;"lae";"ki";"ki";"KI";"LA";"aNB";"FI";"lae";"Larix decidua";"Larix decidua";81,2;17,84
"3";140045;1;4;FALSE;1905;14;211;5;"rbu";1;1;329;84;1346;130;2022;"BZE3";8;111;"RBu";"Rot-Buche";"Fagus sylvatica";"Fagus";"sylvatica";"036.001.001";"LB";20;30016;"BU";"WAHR";"Fagus sylvatica";15;"bu";"bu";"bu";"BU";"BU";"aLB";"BU";"bu";"Fagus sylvatica";"Fagus sylvatica";134,6;17,84
"4";140046;1;2;FALSE;541;216;79;1;"gfi";2;1;290;177;368;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";36,8;17,84
"5";140046;2;2;FALSE;1106;228;79;1;"gfi";3;1;260;152;295;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";29,5;12,62
"6";140046;3;2;FALSE;1603;230;79;1;"gfi";2;1;-9;-9;311;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";31,1;17,84
"7";140046;4;2;FALSE;1003;254;79;1;"gfi";2;1;-9;-9;382;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";38,2;17,84
"8";140046;5;2;FALSE;371;261;79;1;"gfi";2;1;278;167;340;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";34;17,84
"9";140046;6;2;FALSE;384;327;79;1;"gfi";3;1;-9;-9;279;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";27,9;12,62
"10";140046;7;2;FALSE;819;296;79;1;"gfi";2;1;-9;-9;392;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";39,2;17,84
