"";"plot_ID";"team";"date";"stand_spec";"stand_type";"structure";"inv_year";"inv";"CCS_r_m";"CCS_LT_inv_status";"CCS_LT_inv_status_old"
"273";50137;"Tilo Schindler; Karin Morgenstern";"2011-09-13";1;4;1;2012;"HBI";12,62;1;1
"274";50137;"Tilo Schindler; Karin Morgenstern";"2011-09-13";1;4;1;2012;"HBI";17,84;1;1
"275";50138;"Tilo Schindler; Karin Morgenstern";"2011-09-16";1;4;2;2012;"HBI";17,84;1;1
"276";50139;"Tilo Schindler; Karin Morgenstern";"2011-09-16";1;4;2;2012;"HBI";17,84;1;1
"277";50139;"Tilo Schindler; Karin Morgenstern";"2011-09-16";1;4;2;2012;"HBI";12,62;1;1
"278";50139;"Tilo Schindler; Karin Morgenstern";"2011-09-16";1;4;2;2012;"HBI";5,64;1;1
"279";50140;"Tilo Schindler; Karin Morgenstern";"2011-09-13";1;4;1;2012;"HBI";12,62;1;1
"280";50140;"Tilo Schindler; Karin Morgenstern";"2011-09-13";1;4;1;2012;"HBI";17,84;1;1
"281";50141;"Tilo Schindler; Karin Morgenstern";"2011-10-03";1;4;1;2012;"HBI";12,62;1;1
"282";50142;"Tilo Schindler; Karin Morgenstern";"2011-10-04";1;8;6;2012;"HBI";12,62;1;1
"283";50142;"Tilo Schindler; Karin Morgenstern";"2011-10-04";1;8;6;2012;"HBI";17,84;1;1
"284";50142;"Tilo Schindler; Karin Morgenstern";"2011-10-04";1;8;6;2012;"HBI";5,64;1;1
"285";50143;"KT";"2011-11-07";1;8;2;2012;"HBI";12,62;1;1
"286";50143;"KT";"2011-11-07";1;8;2;2012;"HBI";17,84;1;1
"287";50143;"KT";"2011-11-07";1;8;2;2012;"HBI";5,64;1;1
"288";50144;"Tilo Schindler; Karin Morgenstern";"2011-11-03";1;1;1;2012;"HBI";17,84;1;1
"289";50145;"Tilo Schindler; Karin Morgenstern";"2011-11-05";1;1;1;2012;"HBI";12,62;1;1
"290";50145;"Tilo Schindler; Karin Morgenstern";"2011-11-05";1;1;1;2012;"HBI";5,64;1;1
"291";50146;"Tilo Schindler; Karin Morgenstern";"2012-04-18";1;2;2;2012;"HBI";17,84;1;1
"292";50146;"Tilo Schindler; Karin Morgenstern";"2012-04-18";1;2;2;2012;"HBI";12,62;1;1
