"";"plot_ID";"team";"date";"stand_spec";"stand_type";"structure";"hbi_status";"inv_year";"inv";"CCS_r_m";"CCS_LT_inv_status"
"1";130016;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";5,64;-1
"2";130016;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";12,62;-1
"3";130016;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";17,84;-1
"4";130031;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";5,64;-1
"5";130031;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";12,62;-1
"6";130031;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";17,84;-1
"7";130062;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";5,64;-1
"8";130062;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";12,62;-1
"9";130062;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";17,84;-1
"10";130066;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";5,64;-1
"11";130066;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";12,62;-1
"12";130066;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";17,84;-1
"13";130085;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";5,64;-1
"14";130085;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";12,62;-1
"15";130085;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";17,84;-1
"16";130086;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";5,64;-1
"17";130086;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";12,62;-1
"18";130086;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";17,84;-1
"19";130087;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";5,64;-1
"20";130087;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";12,62;-1
"21";130087;"-9";1970-01-01;-9;-9;-9;1;2012;"HBI";17,84;-1
