"";"stand_component";"plot_ID";"inv";"compartiment";"SP_code";"B_t_ha";"C_t_ha";"N_t_ha";"stand";"n_ha";"n_SP"
"57";"RG";140039;"BZE3";"ag";"all";0,103733819344135;0,0518669096720677;0,000501458625702688;"B";NA;NA
"58";"RG";140039;"BZE3";"bg";"all";6,66596860118522e-06;3,33298430059262e-06;2,01978848615913e-08;"A";NA;NA
"59";"RG";140039;"BZE3";"fwb";"all";18,3998637840119;9,19993189200594;0,0846577732702387;"A";NA;NA
"60";"RG";140039;"BZE3";"ndl";"all";1,01488595581598e-05;5,07442977907989e-06;0;"A";NA;NA
"61";"RG";140039;"BZE3";"total";"all";4,59997014971002;2,29998507485502;0,0423288967340618;"A";NA;NA
"62";"RG";140039;"BZE3";"ag";"all";5,66066123159418;2,83033061579709;0,0897404933088373;"all";69863,1393282152;4
"63";"RG";140039;"BZE3";"bg";"all";6,66596860118522e-06;3,33298430059262e-06;2,01978848615913e-08;"all";69863,1393282152;4
"64";"RG";140039;"BZE3";"fwb";"all";18,3998637840119;9,19993189200594;0,0846577732702387;"all";69863,1393282152;4
"65";"RG";140039;"BZE3";"ndl";"all";1,01488595581598e-05;5,07442977907989e-06;0;"all";69863,1393282152;4
"66";"RG";140039;"BZE3";"total";"all";4,59997014971002;2,29998507485502;0,0423288967340618;"all";69863,1393282152;4
"67";"RG";140040;"BZE3";"ag";"bah";0,0066086392420457;0,00330431962102285;2,82717586774715e-05;"all";NA;NA
"68";"RG";140040;"BZE3";"ag";"gfi";0,551077947611478;0,275538973805739;0,00188548502191725;"all";NA;NA
"69";"RG";140040;"BZE3";"ag";"vbe";0,300977752260119;0,150488876130059;0,00138479796261123;"all";NA;NA
"70";"RG";140040;"BZE3";"ag";"wta";0,740064303153453;0,370032151576726;0,00245232951175635;"all";NA;NA
"71";"RG";140040;"BZE3";"bg";"gfi";0,172327200013632;0,0861636000068161;0,000713434608056435;"all";NA;NA
"72";"RG";140040;"BZE3";"bg";"vbe";9,64369124806584e-08;4,82184562403293e-08;2,92203844816396e-10;"all";NA;NA
"73";"RG";140040;"BZE3";"bg";"wta";0,258490800020448;0,129245400010224;0,00107015191208465;"all";NA;NA
"74";"RG";140040;"BZE3";"fwb";"gfi";0,349011488028901;0,17450574401445;0,00151575689250952;"all";NA;NA
"75";"RG";140040;"BZE3";"fwb";"vbe";0,266191780903273;0,133095890451636;0,00122474838393596;"all";NA;NA
"76";"RG";140040;"BZE3";"fwb";"wta";0,523517232043351;0,261758616021676;0,00227363533876427;"all";NA;NA
"77";"RG";140040;"BZE3";"ndl";"gfi";0,116934493336264;0,058467246668132;0;"all";NA;NA
"78";"RG";140040;"BZE3";"ndl";"vbe";1,46824076071215e-07;7,34120380356074e-08;0;"all";NA;NA
"79";"RG";140040;"BZE3";"ndl";"wta";0,175401740004396;0,087700870002198;0;"all";NA;NA
"80";"RG";140040;"BZE3";"total";"gfi";0,638273181378799;0,319136590689399;0,00222919150056595;"all";NA;NA
"81";"RG";140040;"BZE3";"total";"vbe";0,266192024164262;0,133096012082131;0,0012247486761398;"all";NA;NA
