"stand_component","plot_ID","dw_sp","dw_type","ST_LY_type","decay","compartiment","B_t_ha_diff","C_t_ha_diff","N_t_ha_diff","n_ha_diff","n_dec_diff","n_dw_TY_diff","mean_d_cm_diff","sd_d_cm_diff","mean_l_m_diff","sd_l_m_diff"
"DW","140037","all","4",NA,"3","ag",5.28070617162405,2.64035308581202,0.0255586178706604,NA,NA,NA,NA,NA,NA,NA
"DW","140037","all","4",NA,"4","ag",-0.031216957461932,-0.015608478730966,-0.00015109007411575,NA,NA,NA,NA,NA,NA,NA
"DW","140037","all","4",NA,"5","ag",-0.572886972857714,-0.286443486428857,-0.00277277294863134,NA,NA,NA,NA,NA,NA,NA
"DW","140037","all","all",NA,"2","ag",10.8840222931132,5.44201114655659,0.0440323628437468,NA,NA,NA,4.0151515151515,6.09735834926463,-0.19848484848485,-2.30437890098718
"DW","140037","all","all",NA,"2","stb",0.198369038201485,0.0991845191007418,0.000957939923273248,NA,NA,NA,4.0151515151515,6.09735834926463,-0.19848484848485,-2.30437890098718
"DW","140037","all","all",NA,"2","stw",2.42193980328577,1.21096990164289,0.00195993889141518,NA,NA,NA,4.0151515151515,6.09735834926463,-0.19848484848485,-2.30437890098718
"DW","140037","all","all",NA,"3","ag",9.27727414287186,4.63863707143593,0.0449020068514998,NA,NA,NA,10.6923076923077,6.6620849929602,1.04307692307692,1.96977314484893
"DW","140037","all","all",NA,"4","ag",-0.753657126137419,-0.376828563068709,-0.00364770049050509,NA,NA,NA,6.4605263157895,12.8658867169134,-0.172368421052632,-0.192928199033472
"DW","140037","all","all",NA,"5","ag",-0.760216972531213,-0.380108486265606,-0.00367945014705107,NA,NA,NA,1.3125,-7.11541753284139,-0.34375,-0.518933200582374
"DW","140037","all","all",NA,"all","ag",17.5818483609602,8.79092418048003,0.0771398910790749,139.90378284704,-1,-2,7.765382014875,8.42505134613901,0.45720081135903,0.21479049781088
"DW","140037","all","all",NA,"all","stb",0.182951993808139,0.0914759969040692,0.000883321428409457,139.90378284704,-1,-2,7.765382014875,8.42505134613901,0.45720081135903,0.21479049781088
"DW","140037","all","all",NA,"all","stw",2.25062647981285,1.12531323990643,0.00182083247275517,139.90378284704,-1,-2,7.765382014875,8.42505134613901,0.45720081135903,0.21479049781088
"DW","140038","1","1",NA,"2","ag",0.066825982454332,0.033412991227166,0.00032343775507898,NA,NA,NA,NA,NA,NA,NA
"DW","140038","1","1",NA,"3","ag",0.811545141287069,0.405772570643536,0.00392787848382941,NA,NA,NA,NA,NA,NA,NA
"DW","140038","1","1",NA,"4","ag",-0.114813793917537,-0.057406896958769,-0.00055569876256088,NA,NA,NA,NA,NA,NA,NA
"DW","140038","1","1",NA,"5","ag",0.368660541841114,0.184330270920558,0.00178431702251099,NA,NA,NA,NA,NA,NA,NA
"DW","140038","1","1",NA,"all","ag",0.42034817573796,0.21017408786898,0.0020344851705717,NA,NA,NA,NA,NA,NA,NA
"DW","140038","1","4",NA,"3","ag",1.64318579670033,0.821592898350165,0.0079530192560296,NA,NA,NA,NA,NA,NA,NA
"DW","140038","1","4",NA,"4","ag",0.916862148728784,0.458431074364389,0.00443761279984729,NA,NA,NA,NA,NA,NA,NA
"DW","140038","1","4",NA,"5","ag",-0.204797807921921,-0.102398903960961,-0.000991221390342095,NA,NA,NA,NA,NA,NA,NA
"DW","140038","1","4",NA,"all","ag",-0.36076172704007,-0.18038086352004,0.00834756343965087,NA,NA,NA,NA,NA,NA,NA
"DW","140038","1","all",NA,"2","ag",-0.307089971142328,-0.153544985571165,-9.96226776540498e-05,NA,NA,NA,NA,NA,NA,NA
"DW","140038","1","all",NA,"3","ag",2.4547309379874,1.2273654689937,0.011880897739859,NA,NA,NA,NA,NA,NA,NA
"DW","140038","1","all",NA,"4","ag",0.802048354811239,0.401024177405621,0.00388191403728642,NA,NA,NA,NA,NA,NA,NA
"DW","140038","1","all",NA,"5","ag",0.163862733919193,0.081931366959596,0.0007930956321689,NA,NA,NA,NA,NA,NA,NA
"DW","140038","1","all",NA,"all","ag",0.0595864486978899,0.0297932243489401,0.0103820486102226,NA,NA,NA,1.6416666666667,4.3580216969254,1.0675,0.878203666172
"DW","140038","all","1","L","all","ag",0.42034817573796,0.21017408786898,0.0020344851705717,NA,NA,NA,-2.3282051282052,-0.924590801090051,0.88512820512821,0.66258655395363
"DW","140038","all","1",NA,"2","ag",0.066825982454332,0.033412991227166,0.00032343775507898,NA,NA,NA,NA,NA,NA,NA
"DW","140038","all","1",NA,"3","ag",0.811545141287069,0.405772570643536,0.00392787848382941,NA,NA,NA,NA,NA,NA,NA
"DW","140038","all","1",NA,"4","ag",-0.114813793917537,-0.057406896958769,-0.00055569876256088,NA,NA,NA,NA,NA,NA,NA
"DW","140038","all","1",NA,"5","ag",0.368660541841114,0.184330270920558,0.00178431702251099,NA,NA,NA,NA,NA,NA,NA
"DW","140038","all","4","L","all","ag",-0.36076172704007,-0.18038086352004,0.00834756343965087,NA,NA,NA,15.1481481481481,1.4596070644725,0.196296296296296,0.058027649910336
