"","plot_ID","tree_ID","tree_inventory_status","multi_stem","Dist_cm","azi_gon","age","age_meth","SP_code","DBH_class","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","DBH_cm","inv","inv_year","new_tree_inventory_status"
"1",50001,1,-9,NA,429,157,72,6,"gki",NA,2,1,NA,NA,550,130,55,"BZE3",2023,"1"
"2",50001,2,-1,NA,1477,165,72,6,"gki",NA,2,1,NA,NA,325,130,32.5,"BZE3",2023,"-1"
"3",50001,3,0,NA,1038,188,72,6,"gki",NA,2,1,NA,NA,338,130,33.8,"BZE3",2023,"0"
"4",50001,4,1,NA,630,212,72,6,"gki",NA,2,1,NA,NA,394,130,39.4,"BZE3",2023,"1"
"5",50001,27,0,NA,1631,273,72,6,"gki",NA,2,1,NA,NA,383,130,35.3,"BZE3",2023,"1"
"6",50001,28,0,NA,1631,275,72,6,"gki",NA,2,1,NA,NA,363,130,35.3,"BZE3",2023,"0"
"7",50001,8,5,NA,1262,272,72,6,"gki",NA,2,1,NA,NA,378,130,37.8,"BZE3",2023,"1"
