"";"plot_ID";"e_ID";"geometry";"e_form"
"1";50005;1;list(c(17.0236811237151, 57.7216618366841, -57.3396715830084, 17.0236811237151, -57.5342878725206, 16.3771106979064, -17.6681086354126, -57.5342878725206));1
"2";50006;1;list(c(30.9016074181759, 54.0715974958504, -48.3471044870089, 30.9016074181759, -51.4304448646221, 26.0050445922854, -35.5324849640755, -51.4304448646221));1
"3";50007;1;list(c(35.7556751177226, 55.7965608221659, -37.2824057792035, 35.7556751177226, 48.1822757544294, -22.0622709714648, 47.0108734157835, 48.1822757544294));1
"4";50009;1;list(c(8.76894530564151, 59.6320739268939, -59.0030562456868, 8.76894530564151, 59.3557545502259, -6.63443736706155, 10.8921693738355, 59.3557545502259));1
"5";50009;2;list(c(-6.31720498839537, 53.6917277446017, -58.1092824746084, -6.31720498839537, -59.6665142365011, -26.7805595871252, -14.9436036579589, -59.6665142365011));1
"6";50013;1;list(c(-13.9518844924436, 52.82680007886, -59.9817964314189, -13.9518844924436, 58.3553332533498, 28.4487116303737, 1.47786902661317, 58.3553332533498));1
"7";50014;1;list(c(59.2078589948622, 31.1006021890908, 13.0682197724787, 59.2078589948622, -9.7174808075199, 51.3103551291152, -58.5595562822858, -9.7174808075199));1
"8";50025;1;list(c(-26.1793341787323, 43.8914165837336, -59.3011814691987, -26.1793341787323, -53.9874287400156, -40.9089666243619, 9.13071061622037, -53.9874287400156));1
"9";50026;1;list(c(16.5794612885943, 59.5623954325954, -54.3084497537279, 16.5794612885943, 57.6638661848128, -7.23332913195143, 25.5067105944066, 57.6638661848128));1
"10";50033;1;list(c(54.7396550932395, 32.9994856006258, -15.5044055455183, 54.7396550932395, 24.567664933265, -50.1102180208197, 57.9621722218906, 24.567664933265));1
"11";50036;1;list(c(-19.6540338150246, 32.5953201016454, -56.781344563749, -19.6540338150246, -56.6896723821709, -50.3740519262772, -19.3875967962202, -56.6896723821709));1
"12";50039;1;list(c(20.3519932398356, 59.2383774096807, -39.5251996176632, 20.3519932398356, -56.4428593461182, -9.52967165584562, -45.1415395748071, -56.4428593461182));1
"13";50039;2;list(c(59.8691901650424, 12.7597801753341, 4.92704192588731, 59.8691901650424, 3.95980668492696, -58.6275362767117, 59.7973599572803, 3.95980668492696));1
"14";50041;1;list(c(-8.14189967036632, 56.7595058176535, -59.899388068461, -8.14189967036632, -59.4450121520527, -19.451439518343, -3.4732274650403, -59.4450121520527));1
