bund_nr,lfd_nr,typ,baumgruppe,anzahl,durchmesser,laenge,zersetzung
50008,14,4,1,-9,20,1,1
50008,15,1,1,-9,14,3,4
50008,16,4,1,-9,13,1,5
50008,17,1,1,-9,19,2,4
50008,18,4,1,-9,16,2,4
50008,19,1,1,-9,15,1,4
50008,20,1,1,-9,11,3,4
50008,21,4,1,-9,37,2,5
50008,22,4,1,-9,38,2,5
50008,23,4,1,-9,10,2,5
50008,24,4,1,-9,17,4,3
50008,25,4,1,-9,22,2,1
50008,26,4,1,-9,42,1,5
50008,27,4,1,-9,30,1,5
50008,28,4,1,-9,30,1,1
50008,29,4,1,-9,11,1,5
50008,30,4,1,-9,28,2,5
50008,31,4,1,-9,20,1,5
50008,32,1,1,-9,12,8,5
50008,33,4,1,-9,26,2,5
50008,34,1,1,-9,19,8,5
50008,35,4,1,-9,17,2,4
50008,36,1,1,-9,12,22,3
50008,37,4,1,-9,19,2,5
50008,38,4,1,-9,20,2,5
50008,39,4,1,-9,15,2,5
50008,40,1,1,-9,19,1,1
50008,41,4,1,-9,17,1,5
50008,42,4,1,-9,15,1,5
50008,43,4,1,-9,14,1,3
50008,44,1,1,-9,22,3,1
50008,45,1,1,-9,11,26,1
50008,46,4,1,-9,11,2,4
50008,47,4,1,-9,31,3,1
50008,48,4,1,-9,16,3,1
50008,49,4,1,-9,15,2,1
50008,50,4,1,-9,16,1,5
50008,51,4,1,-9,15,3,3
50008,53,1,1,-9,7,54,1
50008,54,1,1,-9,13,26,1
50008,55,1,1,-9,9,20,1
50008,56,1,1,-9,11,20,1
50008,57,1,1,-9,31,3,1
50008,58,1,1,-9,12,18,1
50008,59,1,1,-9,9,15,1
50008,60,4,1,-9,32,2,1
50008,61,1,1,-9,28,3,2
50008,62,4,1,-9,30,1,5
50008,63,4,1,-9,20,3,4
50008,64,4,1,-9,25,1,5
50008,65,1,1,-9,14,2,4
50009,1,4,1,-9,24,2,4
50009,2,4,1,-9,25,2,5
50009,3,1,1,-9,10,10,2
50009,4,1,1,-9,9,8,3
50009,5,4,1,-9,51,3,2
50009,6,1,1,-9,15,15,2
50009,7,1,1,-9,11,14,3
50009,8,1,1,-9,14,25,2
50009,9,1,1,-9,24,12,4
50009,10,4,1,-9,29,5,4
50009,11,1,1,-9,10,6,3
50009,12,1,1,-9,12,7,3
50009,13,1,1,-9,11,3,2
50009,14,1,1,-9,11,6,3
50009,15,1,1,-9,9,14,3
50009,16,4,1,-9,20,2,4
50009,17,4,1,-9,19,2,5
50009,18,1,1,-9,35,8,4
50009,19,1,1,-9,14,25,2
50009,20,1,1,-9,18,2,3
50009,21,4,1,-9,27,2,5
50009,22,4,1,-9,17,2,5
50009,23,1,1,-9,47,5,2
50009,24,1,1,-9,10,33,3
50009,25,1,1,-9,14,20,5
50009,26,4,1,-9,12,2,5
50009,27,1,1,-9,12,13,3
50009,28,1,1,-9,8,15,3
50009,29,1,1,-9,40,4,2
50009,30,1,1,-9,12,39,2
50009,31,1,1,-9,25,4,3
50009,32,4,1,-9,37,3,2
50009,33,1,1,-9,18,15,3
50009,34,1,1,-9,12,12,3
50009,35,1,1,-9,20,9,5
50009,36,4,1,-9,10,1,5
